# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Itaibigai and titled "Death of Aogioso".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "09 DEATH OF AOGIOSO No.2.pdf".

<line_1>	Xabagi hi gA-sai isaitaOgi * hi ioi xa-haI
<glossing>	Abagi_NNP 3_PRP speak_VB-old_info Steve_NNP * 3_PRP com_IN go_VB-REL_CERT
<translation>	Abagi said, I will go with Steve.

<line_2>	hi aho ahAp-i-xiI-haI baI * ioAi-xi XaogiosohoagI
<glossing>	3_PRP talk_VB go_VB-state-INTENT-REL_CERT Bai_NNP * die_VB-state Xaogioso_NNP
<translation>	I intend to go and tell bai her father that Aogioso has died.

<line_3>	hi hoi-hiab Aa-hA * iig-op-ai-saI
<glossing>	3_PRP one_few_CD-neg be_VB-COMPL_CERT * carry_VB-go-be-old_info
<translation>	Only one cannot carry her up the river bank.

<line_4>	* itai-kaAh aaga i * hOi-hi Ai
<glossing>	* heavy_JJ-much? be_VB 3_PRP * one_few_CD-* be_VB
<translation>	She is very heavy, and I am only one.

<line_5>	XaogiosohoagI hi *-abA xai * iig-op-ai-sai
<glossing>	Xaogioso_NNP 3_PRP *-NEG be_VB * carry_VB-go-be-old_info
<translation>	Aogioso is no longer here, and I probably can't bring her up.

<line_6>	* * ioo a-haI isaitaogi
<glossing>	* * com_IN do_VB-REL_CERT Steve_NNP
<translation>	I will go with Steve.

<line_7>	* hOi-hI ai hi ga-sai * itai-kaAh aaga
<glossing>	* one_few_CD-?? be_VB 3_PRP speak_VB-old_info * heavy_JJ-much? be_VB
<translation>	I am only one he said, and she is very heavy.

<line_8>	hi *-hiab-i-kaAh-aaga baagi-sai
<glossing>	3_PRP *-NEG-transition_vowel-important_info-be many_NN-old_info
<translation>	There are not lots of people around.

<line_9>	* isaitaOgi ioo xa-haI
<glossing>	* Steve_NNP com_IN go_VB-REL_CERT
<translation>	I will go with Steve.

<line_10>	hi ai-hiab-i-kaAh aaga
<glossing>	3_PRP be_VB-NEG-transition_vowel-much? be_VB
<translation>	The others are not here.

<line_11>	* big aI-sai * iig-op-i-sai-hi
<glossing>	* dirt_NN be_VB-old_info * carry-go-transition_vowel-old_info-INTER
<translation>	Am I to bring her up the river bank?

<line_12>	hi hOi-hI ai
<glossing>	3_PRP one_few_CD-?? be_VB
<translation>	There is only one of him.

<line_13>	* aoaI-kaAh aaga-i-sai
<glossing>	* die_VB-important_info be_VB-proximate-old_info
<translation>	She has died.

<line_14>	hi ga-sai * hi xioo xa-haI isaitaOgi
