# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Itaibigai and titled "Visit of the anthropologists".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "05 VISIT OF THE ANTHROPOLOGISTS.pdf".

<line_5.1>	Xabagi hi aigIa gA xai-haI * aogI igIo ai-haI aogI
<glossing>	Abagi_NNP 3_PRP thus_RB speak_VB do_VB-REL_CERT * foreign_woman_NN com_IN be_VB-REL_CERT foreign_woman_NN
<translation>	Abagi said, I will live with the anthropologists.

<line_5.2>	* aogI igIo * * Xoi-kab-i-haI
<glossing>	* foreign_woman_NN com_IN * * move_VB-NEG-transition_vowel-REL_CERT
<translation>	I'll stay with them, I won't leave.

<line_5.3>	ahoOgi hi aOgi aIso ag-Abai
<glossing>	Ahoogi_NNP 3_PRP foreign_woman_NN also_RB go_VB-frustrated_initiation
<translation>	Ahoogi almost went away from the anthropologists, and his younger brother also.

<line_5.4>	kohoibiIsai hi aigIa gA xai-sai * aogI aIso xai-kab-i-haI
<glossing>	Kohoibiisai_NNP 3_PRP thus_RB speak_VB do_VB-old_info * foreign_woman_NN also_RB do_VB-NEG-transition_vowel-REL_CERT
<translation>	Kohoibiisai the younger brother then said, don't go away from the girls.

<line_5.5>	gIxa baAbi xi-isai
<glossing>	2_PRP sick_JJ be_VB-old_info
<translation>	You will be sick.

<line_5.6>	* aogI igIo *
<glossing>	* foreign_woman_NN com_IN *
<translation>	Stay with the girls.

<line_5.7>	hi aigIa aogI a bagIa-baI-xI
<glossing>	3_PRP thus_RB foreign_woman_NN thing_clitic_NN steal_VB-INTENS-be
<translation>	Well the children were stealing from the girls.

<line_5.8>	hi aOgi a bAI *-si-sai-hIaga
<glossing>	3_PRP foreign_woman_NN thing_clitic_NN bad_JJ *-old_info-old_info-hearsay
<translation>	They were doing bad things.

<line_5.9>	ahoOgi hi gA xai-sai-hiAi hi aOgi xai-sahaxaI
<glossing>	Ahoogi_NNP 3_PRP speak_VB do_VB-old_info-hearsay 2_PRP foreign_woman_NN do_VB-PROHIBITIVE
