# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Baigibohoasi and titled "Iohabi, the dog, and the snake".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "10 IOHABI, THE DOG, AND THE SNAKE.pdf".

<line_1>	* iAohoabi hi-gI is Ik ab-Abai-sai-hIai tigaiti iaOhoabi
<glossing>	* Iaohoabi_NNP 3_PRP-real dog_NN it_PRP bite_VB-frustrated_completion-old_info-hearsay snake_NN Iaohoabi_NNP
<translation>	The snake almost bit Iohoabi's dog.

<line_2>	I hi hi aopi-sai-hIai Xopisi
<glossing>	tree_NN 3_PRP 3_PRP climb_VB-old_info-hearsay Opisi_NNP
<translation>	Opisi and the snake climbed the tree.

<line_3>	hi gA-sai iaOhoabi Is ai hoag-Ixi
<glossing>	3_PRP speak_VB-old_info Iaohoabi_NNP animal_NN angry_JJ become_VB-state
<translation>	Iohoabi said, "The snake has become angry."

<line_4>	I hi akab-Abai-sai-hIahi tigaiti
<glossing>	animal_NN 3_PRP go_after_VB-frustrated_completion-old_info-hearsay snake_NN
<translation>	The snake almost went after Opisi.

<line_5>	iaOhoabi hi gA-sai tigaiti Is ai hoag-Ixi
<glossing>	Iaohoabi_NNP 3_PRP speak_VB-old_info snake_NN animal_NN angry_JJ become_VB-state
<translation>	Iaohoabi said, "The snake has become angry."

<line_6>	* ao-xai
<glossing>	* exist_VB-be
<translation>	It snake is there.

<line_7>	* iO xik ohoai-sahaxaI Xopisi
<glossing>	* jungle_NN it_PRP hunt_VB-PROHIBITIVE Opisi_NNP
<translation>	Don't go into the jungle to hunt!

<line_8>	hi gA-sai iaOhoabi * Ik oabAipi-hiaba-hA tigaiti
<glossing>	3_PRP speak_VB-old_info Iaohoabi_NNP * it_PRP kill_VB-NEG-COMPL_CERT snake_NN
<translation>	Iaohoabi said, "Opisi you did not kill the snake."

<line_9>	Is ai hoagI
<glossing>	animal_NN angry_JJ become_VB
<translation>	The snake has become angry.

<line_10>	hi gA-sai iaOhoabi * Ik oabAipi-hiab-a Xopisi
<glossing>	3_PRP speak_VB-old_info NNP * it_PRP kill_VB-NEG-DECL Opisi_NNP
<translation>	Iohoabi said, "Don't hunt Opisi."

<line_11>	Is ai * Is ai hoagI-sahaxaI
<glossing>	animal_NN angry_JJ * animal_NN angry_JJ become_VB-PROHIBITIVE
<translation>	It's angry.  It has become angry.

<line_12>	* kai-hiab-i-haI
<glossing>	* do_VB-NEG-transition_vowel-REL_CERT
<translation>	He Opisi will not do it.

<line_13>	hi gA-sai iaOhoabi tigaiti Is ai hoagI
<glossing>	3_PRP speak_VB-old_info Iaohoabi_NNP snake_NN animal_NN angry_JJ become_VB
<translation>	Iaohoabi said, "The snake has become angry."

<line_14>	Xopisi i hi ab-abaI-aO-xai tigaiti
<glossing>	Opisi_NNP animal_NN 3_PRP bite_VB-frustrated_completion-COMPLETIVE-do snake_NN
<translation>	The snake almost bit Opisi.

<line_15>	hi gA-sai iaOhoabi Is ai hoag-Ixi
<glossing>	3_PRP speak_VB-old_info Iaohoabi_NNP animal_NN angry_JJ become_VB-state
<translation>	Iaohoabi said, "The snake has become angry."

<line_16>	Ik oabAipi-hiaba-hA
<glossing>	it_PRP die_VB-NEG-COMPL_CERT
<translation>	It was not killed yet.

<line_17>	* iO xik ohoai-sahaxaI
<glossing>	* jungle_NN it_PRP hunt_VB-NEG
<translation>	Do not go hunting in the jungle!

<line_18>	hi gA-sai iaOhoabi Is ik ab-Abai-sO-xai
<glossing>	3_PRP speak_VB-old_info Iaohoabi_NNP animal_NN it_PRP bite_VB-frustrated_completion-COMPLETIVE-do
<translation>	Iaohoabi said, "It almost bit the dog."

<line_19>	Is ai iaOhoAbi *
<glossing>	animal_NN be_VB Iaohoabi_NNP *
<translation>	The dog is Iaohoabi's.

<line_20>	is ai hoagI
<glossing>	animal_NN angry_JJ become_VB
<translation>	The snake has become angry.

<line_21>	* ao-xai-hIai
<glossing>	* exist_VB-be-hearsay
<translation>	It is there, yes it is.

<line_22>	* iO xik ohoai-sahaxaI
<glossing>	* jungle_NN it_PRP hunt_VB-PROHIBITIVE
<translation>	Do not hunt in the jungle!

<line_23>	hi gA Is ai hoagi
<glossing>	3_PRP speak_VB animal_NN angry_JJ become_VB
<translation>	She Iaohoabi siad, "It has become angry."

<line_24>	* iO xik ohoai-sahaxaI
