# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	2009
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	Sentences involving the usage of number words by a speaker named Kaioá.
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this text is named "03 Sept29AMFX3.pdf".

<line_1>	tIi baAbi *-ha-saa-go-Ai
<glossing>	1_PRP sick_JJ *-??-??-INTER-be
<translation>	Am I getting ill?

<line_2>	bAIhiigI
<glossing>	slowly_RB
<translation>	taping goes slowly

<line_3>	xai bAIhiigI
<glossing>	thus_RB slowly_RB
<translation>	Yeah. Slowly.

<line_4>	xaiO
<glossing>	thus_RB
<translation>	That's right.

<line_5>	xitaIbIgaisi kapiiga kagak-aA
<glossing>	Sarah_NNP paper_NN mark_VB-??
<translation>	Sarah {documentary producer} writes a lot

<line_6>	xai gIxai xahoa-Ati topagahai
<glossing>	thus_RB 2_PRP talk_VB-IMPERATIVE tape_recorder_NN
<translation>	Yeah, is it OK for you to speak to the recorder?

<line_7>	xai xaoOi xaaIbAi xoI kapiOxiai kob-ai-sog-abagaI hiaitIihI xigIa-oaxAi
<glossing>	thus_RB foreigners_NN many_JJ jungle_NN another_DT see_VB-do-want-frustrated_initiation Piraha_NN okay_UH-INTER
<translation>	There are many foreigners in other jungles who want to see the Pirahãs. Is that OK?

<line_8>	xigIai
<glossing>	okay_UH
<translation>	OK

<line_9>	xai kapiiga hi ahoAi
<glossing>	thus_RB paper_NN 3_PRP talk_VB
<translation>	OK I will talk to the paper/image

<line_10>	xoogiAi hi go
<glossing>	Dan_PRP 3_PRP FOCUS_RP
<translation>	Dan, what did you say?

<line_11>	xaoOi xaaIbai xaI hiaitIi *
<glossing>	foreigners_NN many_JJ thus_RB Piraha_NN *
<translation>	There are foreigners who want to see the Pirahãs?

<line_12>	xaIbai-si
<glossing>	many_JJ-NOMINALIZER
<translation>	Many?

<line_13>	xaoOi xao xaagA xoI kapiOxio
<glossing>	foreigners_NN foreigner_clitic_NN be_VB jungle_NN another_DT
