# language_name_wals:	Martuthunira 
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma 
# year_composed:	NA
# year_published:	1994   
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here. 
# short_description:	A story titled "Hunting and cooking an emu" told by Algy Paterson. For details see Dench (1994), p. 22.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 264-266.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines.

<line_1>	Ngayu jirrunanpalha jankurnaa kulhangkaa ,
<segmentation>	Ngayu jirruna-npa-lha jankurna-a kulha-ngka-a ,
<glossing>	1SG.NOM creep.up-INCH-PAST emu-ACC scrub-LOC-ACC
<translation>	I crept up on an emu in the scrub ,

<line_2>	karrinyilaa mungkal.yarramarrwalanyku . Ngayu ngurnaa
<segmentation>	karri-nyila-a mungka-l.yarramarrwalany-ku . Ngayu ngurnaa
<glossing>	stand-PrREL-ACC eat-CTEMP cockroach.bush-ACC 1SG.NOM that.ACC
<translation>	standing eating cockroach bush . I  

<line_3>	jirrunanpalha , panyumal.yarra ngurnta panyunpalha
<segmentation>	jirruna-npa-lha , panyu-ma-l.yarra ngurnta panyu-npa-lha
<glossing>	creep.up-INCH-PAST good-CAUS-CTEMP style good-INCH-PAST
<translation>	crept up on it , doing it properly . I crept along with good style ,

<line_4>	jirruna karrangurni .
<segmentation>	jirruna karra-ngurni .
<glossing>	creep.up scrub-OBSCRD
<translation>	in the shelter of the bushes .

<line_5>	Purrkurulwa , murnanpalha mirrungkamarninyjirru
<segmentation>	Purrkuru-lwa , murna-npa-lha mirru-ngka-ma-rninyji-rru
<glossing>	true-ID close-INCH-PAST spearthrower-LOC-CAUS-FUT-NOW
<translation>	All right , having come close [ I ] put [ a spear ] on the spearthrower .

<line_6>	mulurrumalalharru nhawungarramarninyji . Palwarru ngunhaa .
<segmentation>	mulurru-ma-lalha-rru nhawungarra-ma-rninyji . Palwarru ngunhaa .
<glossing>	straight-CAUS-PAST-NOW look.after-CAUS-FUT all.right that.NOM
<translation>	Once [ I ] have made it straight [ I ] check it . That's right .

<line_7>	Murnangkanguruwarra , ngayu thathulalha mulurru thanturriwaa
<segmentation>	Murna-ngka-nguruwarra , ngayu thathu-lalha mulurru thanturri-waa
<glossing>	close-LOC-ABL CONT 1SG.NOM send-PAST straight go.down-PURPs=o
<translation>	From close up I sent the spear straight so [it] goes down 

<line_8>	yantingka waruul . Nhawulayi ngurnaa kurryartamartaarru ,
<segmentation>	yanti-ngka waruul . Nhawu-layi ngurnaa kurryarta-marta-a-rru ,
<glossing>	side-LOC still see-FUT that.ACC spear-PROP-ACC-NOW
<translation>	into the emu's side . Then I see that it has a spear in it now ,

<line_9>	yangarninyjirru .
<segmentation>	yanga-rninyji-rru .
<glossing>	chase-FUT-NOW
<translation>	and now I chase it .

<line_10>	Purrkuruwuraalwarru , mankumarni , ngunhaa pungkalharru nhurntirru .
<segmentation>	Purrkuruwuraal-wa-rru , manku-marni , ngunhaa pungka-lha-rru nhurnti-rru .
<glossing>	true.all.right-Ø-NOW grab-CONTR that.NOM fall-PAST-NOW dead-NOW
<translation>	All right now , [ I ] would have grabbed [ it ] ( I was about to grab it ) but it fell down dead .

<line_11>	Ngayu ngurnaa mankulharru wilyaralamalalha .
<segmentation>	Ngayu ngurnaa manku-lha-rru wilyara-la-ma-lalha .
<glossing>	1SG.NOM that.ACC grab-PAST-NOW shoulder-LOC-CAUS-PAST
<translation>	I grabbed it and put it on [ my ] shoulder .

<line_12>	Wuraal , mulurrumalalha ngurraartarru , kanarrilha
<segmentation>	Wuraal , mulurru-ma-lalha ngurra-arta-rru , kanarri-lha
<glossing>	all.right straight-CAUS-PAST ground-DIRALL-NOW come-PAST
<translation>	All right , I went straight home ,

<line_13>	ngurraarta pamararrilharru wirurru panyunpawaa .
<segmentation>	ngurra-arta pamararri-lha-rru wiru-rru panyu-npa-waa .
<glossing>	camp-DIRALL shout.out-PAST-NOW feelings-NOW good-INCH-PURPs=o
<translation>	came to the camp and shouted out [ to the people in camp ] so that [ their ] feelings would become good .

<line_14>	Ngulaa warntitharninyji , palwarru , kanarriwala maruwarlarru
<segmentation>	Ngula-a warntitha-rninyji , palwarru , kanarri-wala maruwarla-rru
<glossing>	there-ACC throw-FUT true come-PURPds many.people-NOW
<translation>	Then I throw it down on the ground there , all right , so people come

<line_15>	yurrarninyji ngurnaa kulyumal.yarra jankurnamarnu . Karla-ngara
<segmentation>	yurra-rninyji ngurnaa kulyu-ma-l.yarra jankurna-marnu . Karla-ngara
<glossing>	dig-FUT that.ACC hole-CAUS-CTEMP emu-ASSOC fire-PL
<translation>	and dig, make a trench for that emu . Meanwhile firewood

<line_16>	kurtinngulinyilarru ngulanguru , kulyungkarru warntithanngulayi .
<segmentation>	kurti-nnguli-nyila-rru ngula-nguru , kulyu-ngka-rru warntitha-nngu-layi .
<glossing>	gather-PASS-PrREL-NOW there-ABL hole-LOC-NOW throw-PASS-FUT
<translation>	is being gathered from around there and is then thrown in the hole .

<line_17>	Palwarru , kamparninyjirrungurnaa , wirrirrinpalwaarru . Ngurnu
<segmentation>	Palwarru , kampa-rninyji-rrungurnaa , wirrirri-npa-lwaa-rru . Ngurnu
<glossing>	true light-FUT-NOW that.ACC flame-INCH-PURPs=o-NOW that.ACC
<translation>	All right , I light the firewood so that it bursts into flame

<line_18>	wartawirrinpalayi nhawulayi puwaranpanyilaa . Mankulayi
<segmentation>	wartawirrinpa-layi nhawu-layi puwara-npa-nyila-a . Manku-layi
<glossing>	wait.for-FUT see-FUT charcoal-INCH-PrREL-ACC grab-FUT
<translation>	and then wait and watch it burning down to the coals . Then get

<line_19>	yawankurru . Palwarru , ngurnaa wantharninyji yawanngaraa .
<segmentation>	yawan-ku-rru . Palwarru , ngurnaa wantha-rninyji yawan-ngara-a .
<glossing>	hot.stone-ACC-NOW true that.ACC put-FUT hot.stone-PL-ACC
<translation>	the hot cooking stones . All right , I put the hot cooking stones inside it ( the emu ) .

<line_20>	Wuraalwarru ngunhaa . Kurnimarninyjirru jankaarninyjirru
<segmentation>	Wuraal-wa-rru ngunhaa . Kurni-ma-rninyji-rru jankaa-rninyji-rru
<glossing>	all.right-Ø-NOW that.NOM closed.up-CAUS-FUT-NOW tie.up-FUT-NOW
<translation>	That's right . Close it up , tie

<line_21>	wirtatharraa , jankaarninyji parnathurtii . Palwarru ngunhaa .
<segmentation>	wirta-tharra-a , jankaa-rninyji parna-thurti-i . Palwarru ngunhaa .
<glossing>	leg-DU-ACC tie.up-FUT head-CONJ-ACC true that.NOM
<translation>	the two legs together and tie up the head as well . That's that .

<line_22>	Warntitharninyjirru purntangkarru .
<segmentation>	Warntitha-rninyji-rru purnta-ngka-rru .
<glossing>	throw-FUT-NOW hole-LOC-NOW
<translation>	I throw it in the hole now .

<line_23>	Palwarrungunhaa . Kamparninyjirru . Palyangumarninyji . Nharnungaraa
<segmentation>	Palwarrungunhaa . Kampa-rninyji-rru . Palyangu-ma-rninyji . Nharnu-ngara-a
<glossing>	true.that.NOM cook-FUT-NOW cover-CAUS-FUT sand-PL-ACC
<translation>	That's right . Cook it now . Cover it over . Move the sand

<line_24>	kuwithartumarninyji . Nharnungaraa warntitharninyji
<segmentation>	kuwithartu-ma-rninyji . Nharnu-ngara-a warntitha-rninyji
<glossing>	this.way-CAUS-FUT sand-PL-ACC throw-FUT
<translation>	in this direction ( out of the bottom of the hole to make room for the emu ) . Then throw sand

<line_25>	palyangumal.yarra ngurnaa .
<segmentation>	palyangu-ma-l.yarra ngurnaa .
<glossing>	cover-CAUS-CTEMP that.ACC
<translation>	over the emu covering it .

<line_26>	Thanarru wantiwaa jankurnaa kampirrarru wantiwaa .
<segmentation>	Thana-rru wanti-waa jankurna-a kampi-rra-rru wanti-waa .
<glossing>	let-NOW lie-PURPs=o emu-ACC cook-CTEMP-NOW lie-PURPs=o 
<translation>	Now I let that emu cook .

<line_27>	Punilayi malarnularru nyinalu wartawirrinparra jankurnaa
<segmentation>	Puni-layi malarnu-la-rru nyina-lu wartawirrinpa-rra jankurna-a
<glossing>	go-FUT shade-LOC-NOW sit-PURPss wait.for-CTEMP emu-ACC
<translation>	Go off to sit in the shade and wait for the emu

<line_28>	kampanyilaa .
<segmentation>	kampa-nyila-a .
<glossing>	cook-PrREL-ACC
<translation>	that's cooking.

<line_29>	Kampalharru , punilayi thuulwarurru palykuraa
<segmentation>	Kampa-lha-rru , puni-layi thuulwa-ru-rru palykura-a
<glossing>	cook-PAST-NOW go-FUT pull.out-PURPss-NOW flat-ACC
<translation>	Once it's cooked, go and pull down

<line_30>	wurrulywangaraawantinyilaa palykuramarnu . Palwarru , jankurnaa
<segmentation>	wurrulywa-ngara-awanti-nyila-a palykura-marnu . Palwarru , jankurna-a
<glossing>	leaves-PL-ACC-lie-PrREL-ACC plate-ASSOC true emu-ACC
<translation>	some branches , brush , for a plate . All right ,

<line_31>	thuulwarninyji wantharninyji manyjantarru .
<segmentation>	thuulwa-rninyji wantha-rninyji manyjan-ta-rru .
<glossing>	pull.out-FUT put-FUTground cover-LOC-NOW
<translation>	I pull out the emu and put it on the groundcover .

<line_32>	Wuraalwarru , wurntarninyjirru . Palwarru ngunhaa .
<segmentation>	Wuraal-wa-rru , wurnta-rninyji-rru . Palwarru ngunhaa .
<glossing>	all.right-Ø-NOW cut-FUT-NOW true that.NOM
<translation>	All right , cut it up . That's that .

<line_33>	Mungkayarrilayirru winyanparrarru , punirrawaara
<segmentation>	Mungka-yarri-layi-rru winya-npa-rra-rru , puni-rrawaara
<glossing>	eat-COLL-FUT-NOW full-INCH-CTEMP-NOW go-SEQ
<translation>	Now we all eat together and fill up ,

<line_34>	malarnumulyarrarru wantilurru , parlurangararru .
<segmentation>	malarnu-mulyarra-rru wanti-lu-rru , parlura-ngara-rru .
<glossing>	shade-ALL-NOW lie-PURPss-NOW full-PL-NOW
<translation>	and then we go to the shade and lie down , all full up now .

<line_35>	Palwarru ngunhaa , palwarru yimpalaa .
<segmentation>	Palwarru ngunhaa , palwarru yimpalaa .
<glossing>	true that.NOM true like.that
<translation>	That's that . That's how it's done .

