# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "Fixing a broken spear" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 271-274.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines.

<line_1>	Nhiyu warrirtiwurntarnu nhuwanalu yungkungulimarni
<segmentation>	Nhiyu warrirtiwurnta-rnu nhuwana-lu yungku-nguli-marni
<glossing>	this.NOM spear break-PASSP 2PL-EFF give-PASS-CONTR
<translation>	This spear that's been broken by you fellows should be given

<line_2>	nganajuu mimii , wayil wii panyumalwaa
<segmentation>	nganaju-u mimi-i , wayil wii panyu-ma-lwaa
<glossing>	1SG.GEN-ACC MoBro-ACC maybe maybe good-CAUS-PURPs=o
<translation>	to my uncle , so perhaps he can fix

<line_3>	ngurnaa warrirtii .
<segmentation>	ngurnaa warrirti-i .
<glossing>	that.ACC spear-ACC
<translation>	that spear .

<line_4>	Ngunhaa , nganaju mimi , panyumalalha waruulwarru
<segmentation>	Ngunhaa , nganaju mimi , panyu-ma-lalha waruul-wa-rru
<glossing>	that.NOM 1SG.GEN MoBro good-CAUS-PAST still-Ø-NOW
<translation>	That fellow , my uncle , fixed the one that

<line_5>	wurntarnunguruu . Panyumalalha waruulwarru ,
<segmentation>	wurnta-rnu-nguru-u . Panyu-ma-lalha waruul-wa-rru ,
<glossing>	break-PASSP-ABL-ACC good-CAUS-PAST still-Ø-NOW
<translation>	had been broken . Fixed it and then

<line_6>	punirrawaara kangkurra ngurnu warrirtii yungkulu
<segmentation>	puni-rrawaara kangku-rra ngurnu warrirti-i yungku-lu
<glossing>	go-SEQ take-CTEMP that.ACC spear-ACC give-PURPss
<translation>	went off , taking the spear to give it to

<line_7>	ngurnungaraa kanyarangaraa wurntalalhanguruu ,
<segmentation>	ngurnu-ngara-a kanyara-ngara-a wurnta-lalha-nguru-u ,
<glossing>	that.OBL-PL-ACC man-PL-ACC break-PAST-ABL-ACC
<translation>	the fellows who had broken it ,

<line_8>	yungkulu marrariithurtirru , wangkalurru ,
<segmentation>	yungku-lu marrari-i-thurti-rru , wangka-lu-rru ,
<glossing>	give-PURPss word-ACC-CONJ-NOW say-PURPss-NOW
<translation>	and to give them a message too , to say to them ,

<line_9>	“ Nhuwana mir.ta wurntarninyji ngartil warrirtii , panyurru
<segmentation>	“ Nhuwana mir.ta wurnta-rninyji ngartil warrirti-i , panyu-rru
<glossing>	2PL not break-FUT again spear-ACC good-NOW
<translation>	“ Don't you break spears again ,

<line_10>	nhawungarramarninyji murlamarnuu . Ngartil wii wurntalalhanguru ,
<segmentation>	nhawungarra-ma-rninyji murla-marnu-u . Ngartil wii wurnta-lalha-nguru ,
<glossing>	look.after-CAUS-FUT meat-ASSOC-ACC again if break-PAST-ABL
<translation>	look after hunting implements properly . If you break it again ,

<line_11>	mir.tarru kangkulayi nganajumulyarra . ”
<segmentation>	mir.ta-rru kangku-layi nganaju-mulyarra . ”
<glossing>	not-NOW bring-FUT 1SG.OBL-ALL
<translation>	don't bring it to me . ”

<line_12>	Ngayu kuntirringururru panyumarninyji wurntarnungaraa
<segmentation>	Ngayu kuntirri-nguru-rru panyu-ma-rninyji wurnta-rnu-ngara-a
<glossing>	1SG.NOM give.up-PRES-NOW good-CAUS-FUT break-PASSP-PL-ACC
<translation>	I'm giving up fixing spears broken

<line_13>	warrirtii nhuwanalu . Nhuwana panyumarninyji minthalwarru .
<segmentation>	warrirti-i nhuwana-lu . Nhuwana panyu-ma-rninyji minthal-wa-rru .
<glossing>	spear-ACC 2PL-EFF 2PL good-CAUS-FUT alone-Ø-NOW
<translation>	by you lot . You fix them yourselves .

<line_14>	Kanyarralpurtuwarnu ?
<segmentation>	Kanyarra-lpurtuwarnu ?
<glossing>	man-COMP ASSERT
<translation>	You're men aren't you ?

<line_15>	“ Mir.ta nyinalayi wurumanngurra yirla ! Nhuuranpalayi minthal
<segmentation>	“ Mir.ta nyina-layi wuruma-nngu-rra yirla ! Nhuura-npa-layi minthal
<glossing>	not be-FUT do.for-PASS-CTEMP only know-INCH-FUT alone
<translation>	“ Don't just have it done for you ! Learn

<line_16>	warra panyumarninyji warrirtii . Pirrimarta warnu ? ”
<segmentation>	warra panyu-ma-rninyji warrirti-i . Pirri-marta warnu ? ”
<glossing>	CONT good-CAUS-FUT spear-ACC hands-PROP ASSERT
<translation>	to fix spears yourselves . You've got hands haven't you ? ”

<line_17>	Ngunhungara kanyarangara nganaju wangkalayi , ngayu
<segmentation>	Ngunhu-ngara kanyara-ngara nganaju wangka-layi , ngayu
<glossing>	that.NOM-PL man-PL 1SG.ACC say-FUT 1SG.NOM
<translation>	Those men speak to me then , so I

<line_18>	kuliyalwala marrarii wantharniilwa ngula . Ngayu
<segmentation>	kuliya-lwala marrari-i wantharni-i-lwa ngula . Ngayu
<glossing>	listen-PURPds word-ACC how-ACC-ID IGNOR 1SG.NOM
<translation>	listen to their answer , just how it will come out I don't know. I'll keep

<line_19>	purnumpurunpalayi jampa kunti . Ngawayurru kuliyarninyji
<segmentation>	purnumpuru-npa-layi jampa kunti . Ngawayu-rru kuliya-rninyji
<glossing>	quiet-INCH-FUT moment stop turn-NOW listen-FUT
<translation>	quiet for just a moment . Take a turn to listen

<line_20>	wantharniilwa . Wuraalwarru , ngayu purnumpurunpangururru .
<segmentation>	wantharni-i-lwa . Wuraal-wa-rru , ngayu purnumpuru-npa-nguru-rru .
<glossing>	how-ACC-ID all.right-Ø-NOW 1SG.NOM quiet-INCH-PRES-NOW
<translation>	to how they feel . All right , I'm keeping quiet now .

<line_21>	“ Ngawu ! Nganarna warrirtii kangkunguru kartungumulyarrayirla .
<segmentation>	“ Ngawu ! Nganarna warrirti-i kangku-nguru kartungu-mulyarrayirla .
<glossing>	yes 1PL.EXC spear-ACC bring-PRES 2SG.OBL-ALL only
<translation>	“ Yes ! We bring spears to you only .

<line_22>	Nganangurru kana kur.taa yimpalaarruwa kangkunguru ?
<segmentation>	Nganangu-rru kana kur.ta-a yimpala-a-rru-wa kangku-nguru ?
<glossing>	who.ACC-NOW RHET clever-ACC like.that-ACC-NOW-YK bring-PRES
<translation>	Who is there , clever like that , who we can take them to ?

<line_23>	Kartungku yirla panyumannguliwaa , thaapuwangku kur.tangku . ”
<segmentation>	Kartu-ngku yirla panyu-ma-nnguli-waa , thaapuwa-ngku kur.ta-ngku . ”
<glossing>	2SG.NOM-EFF only good-CAUS-PASS-PURPs=o big.man-EFF clever-EFF
<translation>	You're the only one they can be fixed by , you clever old bastard . ”

<line_24>	“ Nganamarnungurru kana kuliyanpalayi panyuu kanyaraa
<segmentation>	“ Nganamarnu-ngu-rru kana kuliyanpa-layi panyu-u kanyara-a
<glossing>	anyone-ACC-NOW RHET think-FUT good-ACC man-ACC
<translation>	“ Whoever can we think of who is a good

<line_25>	pilakurtaa , yungkulayi panyumalwaa ? ”
<segmentation>	pilakurta-a , yungku-layi panyu-ma-lwaa ? ”
<glossing>	carpenter-ACC give-FUT good-CAUS-PURPs=o
<translation>	carpenter , who we can give them to , to fix them ? ”

