# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# iso639_3:	vma
# year_composed:	NA
# year_published:	1994
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.
# short_description:	A text titled "Kurntangka" which means Respectful speech told by Algy Paterson. For details see Dench (1994), p. 279.
# source:	Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 279-281.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_4 and 5, line_20 and 21, line_29 and 30).

<line_1>	“ Kartulwa puninguru kuyil , yartangaraa nhuunungaraa
<segmentation>	“ Kartu-lwa puni-nguru kuyil , yarta-ngara-a nhuunu-ngara-a
<glossing>	2SG.NOM-ID go-PRES bad other-PL-ACC spouse-PL-ACC
<translation>	“ You're bad , upsetting the feelings of others , in-laws of yours .

<line_2>	wirunpamarra . Yimpalarruwa kartu karrilayi
<segmentation>	wiru-npa-marra . Yimpala-rru-wa kartu karri-layi
<glossing>	feel-INCH-COLL+CTEMP like.that-NOW-YK 2SG.NOM stand-FUT
<translation>	As you are like that , ( your harmonic relatives ) will get

<line_3>	nhurtanpamarringurrarru . Nyingurlulpurtu warnu
<segmentation>	nhurta-npa-marri-ngu-rra-rru . Nyingurlu-lpurtu warnu
<glossing>	wild-INCH-COLL-PASS-CTEMP-NOW firstly-CONT ASSERT
<translation>	wild with you . Firstly ,

<line_4>	kuyilyarra , punirra yartapalyuu nhuunungaraa paniyalamarra . ”
<segmentation>	kuyilya-rra , puni-rra yartapalyu-u nhuunu-ngara-a paniya-la-marra . ”
<glossing>	bad-INCH+CTEMP go-CTEMP others-ACC spouse-PL-ACC eye-LOC-CAUSE+COLL+CTEMP
<translation>	you're bad , you get in the eyes of other people , your in-laws . ”

<line_6>	“ Yimpalarruwa kartu , jurti marryanu , nyinalayi , nhuwala
<segmentation>	“ Yimpala-rru-wa kartu , jurti marryanu , nyina-layi , nhuwala
<glossing>	like.that-NOW-YK 2SG.NOM 1SG.POSS Bro-in-law sit-FUT 2DU
<translation>	“ That's how it is with you , my brother-in-law , the two of you ,

<line_7>	nhuunuwa , nhurtanpamarra . Mir.ta kuliyanpalayi nganaju wii
<segmentation>	nhuunuwa , nhurta-npa-marra . Mir.ta kuliyanpa-layi nganaju wii
<glossing>	spouse.DU wild-INCH-COLL+CTEMP not think-FUT 1SG.ACC maybe
<translation>	husband and wife arguing with each other . You don't think that I might

<line_8>	karrinyilaa yilangu . Nhuwana nganaju mir.ta paju kuliyanpalayi .
<segmentation>	karri-nyila-a yilangu . Nhuwana nganaju mir.ta paju kuliyanpa-layi .
<glossing>	stand-PrREL-ACC here 2PL 1SG.ACC not REAL think-FUT
<translation>	be standing here . You really don't think about me .

<line_9>	Nhuwana nhuura nganaju yilangu karrinyilaa . ”
<segmentation>	Nhuwana nhuura nganaju yilangu karri-nyila-a . ”
<glossing>	2PL knowing 1SG.ACC here stand-PrREL-ACC
<translation>	You know I'm standing here . ”

<line_10>	“ Ngayu mir.ta wiru kuliyal.yarra karrilayi nhuwanaa . Ngayu
<segmentation>	“ Ngayu mir.ta wiru kuliya-l.yarra karri-layi nhuwana-a . Ngayu
<glossing>	1SG.NOM not wanting listen-CTEMP stand-FUT 2PL-ACC 1SG.NOM
<translation>	“ I don't want to be listening to you . I'm

<line_11>	yartawuyulpurtu kanyara . Mir.ta wiru kuliyalamarninyji
<segmentation>	yarta-wuyu-lpurtu kanyara . Mir.ta wiru kuliya-la-ma-rninyji
<glossing>	other-SIDE-COMP man not wanting ear-LOC-CAUS-FUT
<translation>	a man of the other side ( affine ) . I don't want to get your words in my ears ,

<line_12>	nhuwanawuu marraringaraa , kanparimarrinyilaa . ”
<segmentation>	nhuwana-wu-u marrari-ngara-a , kanpari-marri-nyila-a . ”
<glossing>	2PL-GEN-ACC word-PL-ACC say-COLL-PrREL-ACC
<translation>	don't want to hear you speaking to each other . ”

<line_13>	“ Nhuwana kuliyanpalayi yartalpurtu nganaju wii karrinyilaa
<segmentation>	“ Nhuwana kuliyanpa-layi yarta-lpurtu nganaju wii karri-nyila-a
<glossing>	2PL think-FUT other-COMP 1SG.ACC maybe stand-PrREL-ACC
<translation>	“ You think a different way about me being

<line_14>	yilangu , kurntamarta wii , nhuwana . Ngayu wurtu nhiyu ? ”
<segmentation>	yilangu , kurnta-marta wii , nhuwana . Ngayu wurtu nhiyu ? ”
<glossing>	here shame-PROP maybe 2PL 1SG.NOM HYPTH this.NOM
<translation>	here . Have shame or something , you people . Isn't this me ? ”

<line_15>	“ Kuliyanpamarniwarra ngawayu . nhuwana karringuru kuwarri
<segmentation>	“ Kuliyanpa-marniwarra ngawayu . nhuwana karri-nguru kuwarri
<glossing>	think-CONTR CONT turn 2PL stand-PRES now
<translation>	“ You should think for a change . You're arguing right now ,

<line_16>	nhurtanpamarra , nhuunuwarnti . Ngayu yartawuyulpurtu
<segmentation>	nhurta-npa-marra , nhuunuwarnti . Ngayu yarta-wuyu-lpurtu
<glossing>	wild-INCH-COLL+CTEMP spouses 1SG.NOM other-SIDE-COMP
<translation>	husband and wife . I'm a man of the other side ,

<line_17>	kanyara , kurnta panyu . Nhuwana wiyaa kurntawirraakarrilayi
<segmentation>	kanyara , kurnta panyu . Nhuwana wiyaa kurnta-wirraakarri-layi
<glossing>	man shame good 2PL maybe shame-PRIV stand-FUT
<translation>	I've got proper respect . Perhaps you have no shame to be

<line_18>	yilangu ngathala karrinyilala yilangu , nhurtanpamarra .
<segmentation>	yilangu ngathala karri-nyila-la yilangu , nhurta-npa-marra .
