# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "A shopping expedition" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 274-279.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_29 and 30, line_50, 51 and 52).

<line_1>	Nhuwana punilayi wurtu thawunmulyarra ? Nhuwana punirra wii
<segmentation>	Nhuwana puni-layi wurtu thawun-mulyarra ? Nhuwana puni-rra wii
<glossing>	2PL go-FUT HYPTH town-ALL 2PL go-CTEMP if
<translation>	Are you going to town ? If you're going to

<line_2>	thawunmulyarra , nganaju wuraal wurtu , nganaju wurumarninyji
<segmentation>	thawun-mulyarra , nganaju wuraal wurtu , nganaju wuruma-rninyji
<glossing>	town-ALL 1SG.ACC all.right HYPTH 1SG.ACC do.for-FUT
<translation>	town would you get for me some

<line_3>	yurnturaa manyarrkaathurtiwii parrkaa wii ?
<segmentation>	yurntura-a manyarrka-a-thurtiwii parrka-a wii ?
<glossing>	flour-ACC sugar-ACC-CONJ maybe tea.leaf-ACC maybe
<translation>	flour , and maybe some sugar and maybe some tea ?

<line_4>	Ngawu ! Nganarna wurumarninyji kartungu . parlawirriwa nganarna .
<segmentation>	Ngawu ! Nganarna wuruma-rninyji kartungu . parla-wirriwa nganarna .
<glossing>	yes 1PL.EXC do.for-FUT 2SG.ACC money-PRIV 1PL.EXC
<translation>	Yes ! We'll do that for you . But we've got no money .

<line_5>	Kartulwa yungkulayi nganarnaa parlaa mankuwaa .
<segmentation>	Kartu-lwa yungku-layi nganarna-a parla-a manku-waa .
<glossing>	2SG.NOM-ID give-FUT 1PL.EXC-ACC money-ACC get-PURPs=o
<translation>	You give us some money so we can get the things .

<line_6>	“ Nganarna mankulhangururru thawuntaa wurumal.yarra kartungu ,
<segmentation>	“ Nganarna manku-lha-nguru-rru thawun-ta-a wuruma-l.yarra kartungu ,
<glossing>	1PL.EXC get-PAST-ABL-NOW town-LOC-ACC do.for-CTEMP 2SG.ACC
<translation>	“ Once we've got the things that are in town , doing it for you ,

<line_7>	parranilhamarninyjirru kartungumulyarra yungkulurru . ”
<segmentation>	parrani-lha-ma-rninyji-rru kartungu-mulyarra yungku-lu-rru . ”
<glossing>	return-PAST-CAUS-FUT-NOW 2SG.OBL-ALL give-PURPss-NOW
<translation>	we'll bring them back to you to give them to you . ”

<line_8>	Ngurrangkanpalharru .
<segmentation>	Ngurra-ngka-npa-lha-rru .
<glossing>	camp-LOC-INCH-PAST-NOW
<translation>	They've arrived back in camp now .

<line_9>	Ngawu ! Ngayu wurumarnu nhuwanalu . Yungkulayilwa ,
<segmentation>	Ngawu ! Ngayu wuruma-rnu nhuwana-lu . Yungku-layi-lwa ,
<glossing>	yes 1SG.NOM do.for-PASSP 2PL-EFF give-FUT-ID
<translation>	Yes , I've had the favour done for me by you . What I'll do is give out ,

<line_10>	pintirrijilamal.yarra nhuwanaa kangkulhangurungaraa .
<segmentation>	pintirrijila-ma-l.yarra nhuwana-a kangku-lha-nguru-ngara-a .
<glossing>	scattered-CAUS-CTEMP 2PL-ACC bring-PAST-ABL-PL-ACC
<translation>	share around the things among you who brought them .

<line_11>	Ngawu ! Panyu waruulwarruyimpala . Punyjarti warnu pala kartu .
<segmentation>	Ngawu ! Panyu waruul-wa-rruyimpala . Punyjarti warnu pala kartu .
<glossing>	yes good still-Ø-NOW like.that generous ASSERT IT 2SG.NOM
<translation>	Yes ! That's very good . You're certainly generous to do that .

<line_12>	Ngawu , ngayu mir.ta manthawarla .
<segmentation>	Ngawu , ngayu mir.ta manthawarla .
<glossing>	yes 1SG.NOM not greedy
<translation>	Yes , I'm not a greedy fellow .

<line_13>	Ngawu , nganarna nhuura kartungu . mir.ta waruul kartu manthawarla .
<segmentation>	Ngawu , nganarna nhuura kartungu . mir.ta waruul kartu manthawarla .
<glossing>	yes 1PL.EXC knowing 2SG.ACC not still 2SG.NOM greedy
<translation>	Yes , we know you . You're not a greedy fellow .

<line_14>	Panyu kartu thurlajinkarri . Panyuu warnu kartungu nganarna
<segmentation>	Panyu kartu thurlajinkarri . Panyu-u warnu kartungu nganarna
<glossing>	good 2SG.NOM poor.fellow good-ACC ASSERT 2SG.ACC 1PL.EXC
<translation>	You're a good fellow . Because you're good we'll

<line_15>	wurumarninyji nhartuu wii wirunpanyilaa .
<segmentation>	wuruma-rninyji nhartu-u wii wiru-npa-nyila-a .
<glossing>	do.for-FUT something-ACC maybe want-INCH-PrREL-ACC
<translation>	do anything for you , should you want anything .

<line_16>	Ngawu ! Ngartil wii nhuwana punirra thawunmulyarra , ngartil waruul ,
<segmentation>	Ngawu ! Ngartil wii nhuwana puni-rra thawun-mulyarra , ngartil waruul ,
<glossing>	yes again if 2PL go-CTEMP town-ALL again still
<translation>	Yes ! If you go to town again ,

<line_17>	Ngayu yungkulayi nhuwanaa warnmalyii .
<segmentation>	Ngayu yungku-layi nhuwana-a warnmalyi-i .
<glossing>	1SG.NOM give-FUT 2PL-ACC money-ACC
<translation>	I'll give you money .

<line_18>	Ngawu , panyu waruul yimpala . Ngayu nyinawala wartawirrinparra
<segmentation>	Ngawu , panyu waruul yimpala . Ngayu nyina-wala wartawirrinpa-rra
<glossing>	yes good still like.that 1SG.NOM sit-PURPds wait.for-CTEMP
<translation>	Yes, they're always good like that . So I'll wait for them

<line_19>	parraninyilaarru wanthanhalawii yakarrangula , wantharta
<segmentation>	parrani-nyila-a-rru wanthanha-lawii yakarrangu-la , wantharta
<glossing>	return-PrREL-ACC-NOW which-LOC maybe day-LOC when
<translation>	to come back , on whichever day it is, whenever

<line_20>	parraniwaa .
<segmentation>	parrani-waa .
<glossing>	return-PURPs=o
<translation>	they return .

<line_21>	Kayurtuu wii nhawulayi karlwanyilaa kamparnuu .
<segmentation>	Kayurtu-u wii nhawu-layi karlwa-nyila-a kampa-rnu-u .
<glossing>	smoke-ACC maybe see-FUT get.up-PrREL-ACC light-PASSP-ACC
<translation>	I'll see smoke or something going up , smoke that's been purposely lit .

<line_22>	Ngayu kayurtuu nhawulhangururru wirurru panyunpalayi .
<segmentation>	Ngayu kayurtu-u nhawu-lha-nguru-rru wiru-rru panyu-npa-layi .
<glossing>	1SG.NOM smoke-ACC see-PAST-ABL-NOW feelings-NOW good-INCH-FUT
<translation>	Having seen the smoke I'll get happy ( lit . my feelings will become good ) .

<line_23>	Thawu ! Karla kampanyila , nhuwana murnangkarru thanuwamarta .
<segmentation>	Thawu ! Karla kampa-nyila , nhuwana murna-ngka-rru thanuwa-marta .
<glossing>	Look! fire burn-PrREL 2PL close-LOC-NOW food-PROP
<translation>	Look ! There's a fire burning , you must be close now with the stores .

<line_24>	Palwarru , ngaliwa malwumarrilayi . Wirurru ngayu
<segmentation>	Palwarru , ngaliwa malwu-marri-layi . Wiru-rru ngayu
<glossing>	all.right 1PL.INC cheer.up-COLL-FUT feelings-NOW 1SG.NOM
<translation>	All right , we'll be cheering each other up . I'll be feeling

<line_25>	panyunpanguru .
<segmentation>	panyu-npa-nguru .
<glossing>	good-INCH-PRES
<translation>	good .

<line_26>	Ngayu wii , ngaliwa karlaarru kulhawulhamarninyji
<segmentation>	Ngayu wii , ngaliwa karla-a-rru kulhawulha-ma-rninyji
<glossing>	1SG.NOM maybe 1PL.INC fire-ACC-NOW heaped.up-CAUS-FUT
<translation>	Maybe me , all of us , we'll build a fire to heat up

<line_27>	karlarranpawaa thanuwamarnu . Karlayamartaa wii wantharninyji
<segmentation>	karlarra-npa-waa thanuwa-marnu . Karlayamarta-a wii wantha-rninyji
<glossing>	hot-INCH-PURPs=o food-ASSOC billy.can-ACC maybe put-FUT
<translation>	for a meal . We'll put the billy or whatever

<line_28>	karlangka karriwaa karlarranparra .
<segmentation>	karla-ngka karri-waa karlarra-npa-rra .
<glossing>	fire-LOC stand-PURPs=o hot-INCH-CTEMP
<translation>	on the fire to warm up .

<line_29>	Jampangkarru warnu pala , ngurnu ngayu marlaraa Karringuru nhawurra .
<segmentation>	Jampa-ngka-rru warnu pala , ngurnu ngayu marlara-a Karri-nguru nhawu-rra .
<glossing>	moment-LOC-NOWASSERT IT that.ACC 1SG.NOM road-ACC stand-PRES see-CTEMP
<translation>	Now and again , I take a look down the road .

<line_31>	“ Purrkuruwaruul , nhulangara murnangkarru ngaliwaa ,
<segmentation>	“ Purrkuruwaruul , nhula-ngara murna-ngka-rru ngaliwa-a ,
<glossing>	true still near.you-PL close-LOC-NOW 1PL.INC-ACC
<translation>	“ True enough , they are close to us now , the people with

<line_32>	thanuwamartangara . ”
<segmentation>	thanuwa-marta-ngara . ”
<glossing>	food-PROP-PL
<translation>	the stores . ”

<line_33>	Purrkuru waruul , kartu nhawunguru ?
<segmentation>	Purrkuru waruul , kartu nhawu-nguru ?
<glossing>	true still 2SG.NOM see-PRES
<translation>	Is that right , you can see them ?

<line_34>	Parru ! Nhartu ! Kartu kuliyanpanguru nganaju ngalawangkanyilaa
<segmentation>	Parru ! Nhartu ! Kartu kuliyanpa-nguru nganaju ngalawangka-nyila-a
<glossing>	go.on what 2SG.NOM think-PRES 1SG.ACC lie-PrREL-ACC
<translation>	Go on ! What ! Do you think I'm

<line_35>	wurtu ? Nhawu kunti jampa ngurnuwurrini marlarawurrini ! Kartu
<segmentation>	wurtu ? Nhawu kunti jampa ngurnu-wurrini marlara-wurrini ! Kartu
<glossing>	HYPTH see-IMP stop moment that.OBL-DIRECT road-DIRECT 2SG.NOM
<translation>	lying ? Stop and look in the direction of the road for a moment ! You

<line_36>	nhawungururru ? Ngunhaa punimarringuru kanyarangara ,
<segmentation>	nhawu-nguru-rru ? Ngunhaa puni-marri-nguru kanyara-ngara ,
<glossing>	see-PRES-NOW that.NOM go-COLL-PRES man-PL
<translation>	see them ? That's them going along together ,

<line_37>	parnawirraarra kurryuwarnturala . Nhiyurruwa
<segmentation>	parna-wirraa-rra kurryu-warntura-la . Nhiyu-rru-wa
<glossing>	head-PRIV-INCH+CTEMP hollow-DISTRIB-LOC this.NOM-NOW-YK
<translation>	their heads going in and out of view as they go down into each hollow . They are

<line_38>	murnangkarru .
<segmentation>	murna-ngka-rru .
<glossing>	close-LOC-NOW
<translation>	close now .

<line_39>	Ngulangunpalharru murnangkanpalharru , thanuwangaramarta ,
<segmentation>	Ngulangu-npa-lha-rru murna-ngka-npa-lha-rru , thanuwa-ngara-marta ,
<glossing>	there-INCH-PAST-NOW close-LOC-INCH-PAST-NOW food-PL-PROP
<translation>	Once they've got there , once they've come close , the people with the stores ,

<line_40>	nyinalayi wangkarnumarrarru nhartungaraa mankulhanguru
<segmentation>	nyina-layi wangkarnu-marra-rru nhartu-ngara-a manku-lha-nguru
<glossing>	sit-FUT talk-COLL+CTEMP-NOW something-PL-ACC grab-PAST-ABL
<translation>	they sit and discuss the things , having got them

<line_41>	wurumal.yarra nyinamarrilhangaraa . Wangkarnumarrilayi mawurru ,
<segmentation>	wuruma-l.yarra nyina-marri-lha-ngara-a . Wangkarnu-marri-layi mawu-rru ,
<glossing>	do.for-CTEMP stay-COLL-PAST-PL-ACC talk-COLL-FUT later-NOW
<translation>	for the ones who stayed behind . Later they are all talking together ,

<line_42>	“ Nhuwana , nhartungaraa nganarnalu wurumarnuu ,
<segmentation>	“ Nhuwana , nhartu-ngara-a nganarna-lu wuruma-rnu-u ,
<glossing>	2PL something-PL-ACC 1PL.EXC-EFF do.for-PASSP-ACC
<translation>	“ You fellows , of all the things that were brought for you by us ,

