# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "Catching a Goanna" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 266-271.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens (and removing empty morphemes, i.e. -Ø). The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines.

<line_1>	Ngayu jirli mir.ta wii panyu , punirra yawarrunyjal.yarra
<segmentation>	Ngayu jirli mir.ta wii panyu , puni-rra yawarrunyja-l.yarra
<glossing>	1SG.NOM arm not if good go-CTEMP miss-CTEMP
<translation>	If my arm is not good , I'll keep missing

<line_2>	murlangaraa tharntangaraa , jalyanparra , punirra
<segmentation>	murla-ngara-a tharnta-ngara-a , jalya-npa-rra , puni-rra
<glossing>	meat-PL-ACC euro-PL-ACC useless-INCH-CTEMP go-CTEMP
<translation>	all the game , euroes , I'll be useless , I'll keep

<line_3>	nhuwal.yarra waruulwal.yarra .
<segmentation>	nhuwa-l.yarra waruulwa-l.yarra .
<glossing>	spear-CTEMP unable-CTEMP
<translation>	on being unable to spear them .

<line_4>	Ngayu kuntirrilayirru tharntangaraa wawayirninyji .
<segmentation>	Ngayu kuntirri-layi-rru tharnta-ngara-a wawayi-rninyji .
<glossing>	1SG.NOM give.up-FUT-NOW euro-PL-ACC look.for-FUT
<translation>	I give up looking for euroes .

<line_5>	Nharturru kana parilhanparra punilayi ? Kuntirrilayi ,
<segmentation>	Nhartu-rru kana parilha-npa-rra puni-layi ? Kuntirri-layi ,
<glossing>	what-NOW RHET keep.trying-INCH-CTEMP go-FUT give.up-FUT
<translation>	Why bother to keep on trying ? I'll give up on euroes ,

<line_6>	thanarru tharntangaraa . Wantharta kana nhurntimarninyji ?
<segmentation>	thana-rru tharnta-ngara-a . Wantharta kana nhurnti-ma-rninyji ?
<glossing>	let-NOW euro-PL-ACC when RHET dead-CAUS-FUT
<translation>	let them be. When am I going to kill one ? Never.

<line_7>	Ngawu ! Kuliyanpirra ngayu nhartuu wiyaa wawayirninyji ,
<segmentation>	Ngawu ! Kuliyanpi-rra ngayu nhartu-u wiyaa wawayi-rninyji ,
<glossing>	yes think-CTEMP 1SG.NOM something-ACC maybe look.for-FUT
<translation>	Yes , I'll think about looking for something else ,

<line_8>	jalyaawuyu , mirntirimartaarru , tharlwankuwuyu . Panyul
<segmentation>	jalya-a-wuyu , mirntirimarta-a-rru , tharlwan-ku-wuyu . Panyu-l
<glossing>	useless-ACC-SIDE goanna-ACC-NOW tame-ACC-SIDE good-THEN
<translation>	something on the easy ( lit . useless ) side , goannas for example, something on the tame side. Then I'll be all right ,

<line_9>	jinangkulayi ngurnaa .
<segmentation>	jinangku-layi ngurnaa .
<glossing>	track-FUT that.ACC
<translation>	tracking them .

<line_10>	Wuraal waruul , nhawulayi . Purrkuruwaruul , yilangurru tharrwalha ,
<segmentation>	Wuraal waruul , nhawu-layi . Purrkuruwaruul , yilangu-rru tharrwa-lha ,
<glossing>	all.right still see-FUT true still here-NOW enter-PAST
<translation>	Okay , I'll see a track . True enough , it went in here ,

<line_11>	nhiyu jina , tharrwa-lha waruul yilangu jalyuru-la , wayil kunti .
<segmentation>	nhiyu jina , tharrwalha waruul yilangu jalyurula , wayil kunti .
<glossing>	this.NOM track enter-PAST still here hole-LOC maybe stop
<translation>	this track , it went in and is still here in the hole , maybe .

<line_12>	Nhulaa manku pinkarranyukalyaran , nyuwirninyji . Wayil
<segmentation>	Nhulaa manku-Ø pinkarranyukalyaran , nyuwi-rninyji . Wayil
<glossing>	near.you grab-IMP dry stick poke-FUT maybe
<translation>	You grab a dry stick , poke it in at whatever is maybe

<line_13>	wantinyilaa paju yilarla jalyurula . Nhuuranpalayil .
<segmentation>	wanti-nyila-a paju yilarla jalyuru-la . Nhuura-npa-layi-l .
<glossing>	lie-PrREL-ACC REAL here.NV hole-LOC know-INCH-FUT-THEN
<translation>	lying here in the hole . Find out then .

<line_14>	Nyuwinngurra jalyurula , ngunhaa thurtintilayi
<segmentation>	Nyuwi-nngu-rra jalyuru-la , ngunhaa thurtinti-layi
<glossing>	poke-PASS-CTEMP hole-LOC that.NOM move.away-FUT
<translation>	The thing in the hole getting poked , it moves away then ,

<line_15>	payanparrarru nyuwinngurra . Ngunhaa payanparra
<segmentation>	paya-npa-rra-rru nyuwi-nngu-rra . Ngunhaa paya-npa-rra
<glossing>	angry-INCH-CTEMP-NOW poke-PASS-CTEMP that.NOM angry-INCH-CTEMP
<translation>	getting wild as it's being poked . 

<line_16>	wuunykarrilayirru , nhuuramal.yarrarru kanyaraa ngurnu .
<segmentation>	wuuny-karri-layi-rru , nhuura-ma-l.yarra-rru kanyara-a ngurnu .
<glossing>	wuuny-NOISE-FUT-NOWknow-CAUS-CTEMP-NOW man-ACC that.ACC
<translation>	It makes a wuuny noise , as it gets wild , showing a person that it's there .

<line_17>	Purrkuruwaruul , pala yilarla waruul wantinguru , murla . Ngayu
<segmentation>	Purrkuruwaruul , pala yilarla waruul wanti-nguru , murla . Ngayu
<glossing>	true still IT here.NV still lie-PRES meat 1SG.NOM
<translation>	True enough . It's still here , the meat . Get

<line_18>	mankulayirru yirnaa murlaa . Wayil nhiyaa jinyjiwarla .
<segmentation>	manku-layi-rru yirnaa murla-a . Wayil nhiyaa jinyji-warla .
<glossing>	grab-FUT-NOW this.ACC meat-ACC maybe this.NOM fat-FULL
<translation>	this meat now . It might be a fat one .

<line_19>	Mankulayi kalyaranku pinkarranyuu . Mulhaa jurirrimarninyjirru .
<segmentation>	Manku-layi kalyaran-ku pinkarranyu-u . Mulha-a jurirri-ma-rninyji-rru .
<glossing>	grab-FUT stick-ACC dry-ACC point-ACC sharp-CAUS-FUT-NOW
<translation>	Then get a dry stick . Sharpen up the point .

<line_20>	Yurrarninyjirru ngurnumarta kalyaranmarta mulha jurirrimarta .
<segmentation>	Yurra-rninyji-rru ngurnu-marta kalyaran-marta mulha jurirri-marta .
<glossing>	dig-FUT-NOW that.OBL-PROP stick-PROP point sharp-PROP
<translation>	And dig with that sharp - pointed stick .

<line_21>	Palwarru . Ngurnumartawa kartarninyji , kartarninyjiwarntura
<segmentation>	Palwarru . Ngurnu-marta-wa karta-rninyji , karta-rninyji-warntura
<glossing>	all.right that.OBL-PROP-YK poke-FUT poke-FUT-DISTRIB
<translation>	Okay , jab the ground with it , jab again and again ,

<line_22>	jalyurumal.yarrarru . Thungkaraa warntitharninyji juwayumarta .
<segmentation>	jalyuru-ma-l.yarra-rru . Thungkara-a warntitha-rninyji juwayu-marta .
<glossing>	hole-CAUS-CTEMP-NOW dirt-ACC throw-FUT hand-PROP
<translation>	making a hole . Throw the dirt away with your hand .

<line_23>	Yurrarninyji ngartil . Nhawulayirru .
<segmentation>	Yurra-rninyji ngartil . Nhawu-layi-rru .
<glossing>	dig-FUT again see-FUT-NOW
<translation>	Then dig again . Now have a look .

<line_24>	Nhiyulwa mirntirimartawantinguru kanangkalwa . Wanthanharru kana
<segmentation>	Nhiyu-lwa mirntirimartawanti-nguru kana-ngka-lwa . Wanthanha-rru kana
<glossing>	this.NOM-ID goanna lie-PRES clear-LOC-IT which-NOW RHET
<translation>	This is the goanna , lying in the clear now . What now that

<line_25>	murlaa kanangkalwalalha ? Waruulwarru , murlaa
<segmentation>	murla-a kanangkalwa-lalha ? Waruul-wa-rru , murla-a
<glossing>	meat-ACC make.clear-PAST still-Ø-NOW meat-ACC
<translation>	you've uncovered the meat ? Keep going ,

<line_26>	mankurrawaara ngurnaa .
<segmentation>	manku-rrawaara ngurnaa .
<glossing>	grab-SEQ that.ACC
<translation>	grab hold of that meat .

<line_27>	Wanthanharru kana ? Karntii waruulwarru mankulayi . Kayarra
<segmentation>	Wanthanha-rru kana ? Karnti-i waruul-wa-rru manku-layi . Kayarra
<glossing>	which-NOW RHET tail-ACC still-Ø-NOW grab-FUT two
<translation>	What now ? Grab the tail . Pull it with two

<line_28>	juwayu thuulwarninyji ngurnaa murnanpanyilaarru
<segmentation>	juwayu thuulwa-rninyji ngurnaa murna-npa-nyila-a-rru
<glossing>	hand pull.out-FUT that.ACC close-INCH-PrREL-ACC-NOW
<translation>	hands , it'll be coming closer as you

<line_29>	jalyurulanguruu thuulwal.yarra .
<segmentation>	jalyuru-la-nguru-u thuulwa-l.yarra .
<glossing>	hole-LOC-ABL-ACC pull.out-CTEMP
<translation>	pull it out of the hole .

<line_30>	Yartawuyul juwayul thathurninyjirru , yartawuyu juwayu
<segmentation>	Yarta-wuyu-l juwayu-l thathu-rninyji-rru , yarta-wuyu juwayu
<glossing>	other-SIDE-THEN hand-THEN let.go-FUT-NOW other-SIDE hand
<translation>	Then let go with one hand . The other hand

<line_31>	thuulwarninyji waruul . Yartawuyu juwayu , thathulalhawuyu juwayu ,
<segmentation>	thuulwa-rninyji waruul . Yarta-wuyu juwayu , thathu-lalha-wuyu juwayu ,
<glossing>	pull.out-FUT still other-SIDE hand let.go-PAST-SIDE hand
<translation>	keeps pulling . The other hand , the one that has let go ,

<line_32>	ngunhaa punilayi , juwayu yartawuyu , thungkungka waruul . Nhiyu
<segmentation>	ngunhaa puni-layi , juwayu yarta-wuyu , thungku-ngka waruul . Nhiyu
<glossing>	that.NOM go-FUT hand other-SIDE back-LOC still this.NOM
<translation>	it keeps going , that other hand, along its back . This

<line_33>	yartawuyu juwayu thuulwarnura waruul .
<segmentation>	yarta-wuyu juwayu thuulwa-rnura waruul .
<glossing>	other-SIDE hand pull.out-PrREL still
<translation>	other hand is still pulling .

<line_34>	Yartal-wuyu juwayu punilayi thungkungka waruul .
<segmentation>	Yarta-l-wuyu juwayu puni-layi thungku-ngka waruul .
<glossing>	other-THEN-SIDE hand go-FUT back-LOC still
<translation>	The other hand keeps going along its back .

<line_35>	Ngurnu parnaa murnanpanyilaa , wangkarryurru mankulayi .
<segmentation>	Ngurnu parna-a murna-npa-nyila-a , wangkarr-yu-rru manku-layi .
<glossing>	that.ACC head-ACC close-INCH-PrREL-ACC throat-ACC-NOW grab-FUT
<translation>	Grab its throat now as its head is coming closer .

<line_36>	Palwarru ngunhaa , thuulwarninyjirru karlwarrawaara . Karlwalayi
<segmentation>	Palwarru ngunhaa , thuulwa-rninyji-rru karlwa-rrawaara . Karlwa-layi
<glossing>	true that.NOM pull.out-FUT-NOW get.up-SEQ get.up-FUT
<translation>	That's right , now pull it out and stand up . Get up

<line_37>	ngurnumarta mirntirimartamarta , mankulhanguru wankumal.yarra .
<segmentation>	ngurnu-marta mirntirimarta-marta , manku-lha-nguru wanku-ma-l.yarra .
<glossing>	that.OBL-PROP goanna-PROP grab-PAST-ABL sure-CAUS-CTEMP
<translation>	with that goanna having made sure you've got hold of it .

<line_38>	Palwarru , wantharninyji thungkaralarru . Martamarninyji jal.yuu
<segmentation>	Palwarru , wantha-rninyji thungkara-la-rru . Martama-rninyji jal.yu-u
<glossing>	all.right put-FUT dirt-LOC-NOW press.on-FUT occiput-ACC
<translation>	All right , put it on the ground now . Press down on the back of its neck

<line_39>	yartawuyu juwayu mankurra parlaarru . Pariingkulayi
<segmentation>	yarta-wuyu juwayu manku-rra parla-a-rru . Pariingku-layi
<glossing>	other-SIDE hand grab-CTEMP stone-ACC-NOW hit-FUT
<translation>	while your other hand picks up a rock . Then smash its

<line_40>	parnaarru ngurnu mirntirimartaa . Punirrawaara ,
<segmentation>	parna-a-rru ngurnu mirntirimarta-a . Puni-rrawaara ,
<glossing>	head-ACC-NOW that.ACC goanna-ACC go-SEQ
<translation>	head , that goanna . And then go

<line_41>	wuraalwarru ngurraartarru murlawari . 
<segmentation>	wuraal-wa-rru ngurra-arta-rru murla-wari . <1>
<glossing>	all.right-Ø-NOW camp-DIRALL-NOW meat-PROP
<translation>	to the camp with some meat .
<footnote_1>	The proprietive suffix , -wari , is a borrowing from Ngarluma which occasionally occurs in text . Although the narrator corrected this in questioning , he does not consider it bad Martuthunira . The limited borrowing of lexemes and some morphemes serves an important stylistic function in text construction ( much like the selection of synonyms in English ) .

<line_42>	Ngurrangkanpalharru , karlamarnurru purntamarninyjirru
<segmentation>	Ngurra-ngka-npa-lha-rru , karla-marnu-rru purnta-ma-rninyji-rru
<glossing>	camp-LOC-INCH-PAST-NOW fire-ASSOC-NOW hole-CAUS-FUT-NOW
<translation>	Having got back to camp , dig a hole in the sand for a fire .

<line_43>	nharnuu . Pukarrangaraarru mankulayi . Ngulangurru
<segmentation>	nharnu-u . Pukarra-ngara-a-rru manku-layi . Ngulangu-rru
<glossing>	sand-ACC firewood-PL-ACC-NOW grab-FUT there-NOW
<translation>	Get some firewood. Put it there

<line_44>	wantharninyji purntangkarru , wirrirrimarninyjirru .
<segmentation>	wantha-rninyji purnta-ngka-rru , wirrirri-ma-rninyji-rru .
<glossing>	put-FUT hole-LOC-NOW flame-CAUS-FUT-NOW
<translation>	in the hole , and then light it .

<line_45>	Kampanyilalarru karla , nyinalayi thuulwal.yarra
<segmentation>	Kampa-nyila-la-rru karla , nyina-layi thuulwa-l.yarra
<glossing>	cooking-PrREL-LOC-NOW fire sit-FUT pull.out-CTEMP
<translation>	While the fire's burning , sit down and pull out

<line_46>	mirntirimartaapungaa . Palwarru ngunhaa , panyurru
<segmentation>	mirntirimarta-apunga-a . Palwarru ngunhaa , panyu-rru
<glossing>	goanna-ACC guts-ACC all.right that.NOM good-NOW
<translation>	the goanna's guts . Okay , now it's

<line_47>	pungawirriwarru wantilayi ngunhaa wartawirrinparra karlaa
<segmentation>	punga-wirriwa-rru wanti-layi ngunhaa wartawirrinpa-rra karla-a
<glossing>	guts-PRIV-NOW lie-FUT that.NOM wait.for-CTEMP fire-ACC
<translation>	gutted , ready and waiting for the fire

<line_48>	panyunpawaa , puwaranpawaa karlarranpawaa paju .
<segmentation>	panyu-npa-waa , puwara-npa-waa karlarra-npa-waa paju .
<glossing>	good-INCH-PURPs=o charcoal-INCH-PURPs=o hot-INCH-PURPs=o REAL
<translation>	to be ready , to burn down to coals , to get really hot .

<line_49>	Karlarranpalhala pajurru , puwaranpalhala pajurru ,
<segmentation>	Karlarra-npa-lha-la paju-rru , puwara-npa-lha-la paju-rru ,
<glossing>	hot-INCH-PAST-LOC REAL-NOW charcoal-INCH-PAST-LOC REAL-NOW
<translation>	Once it's really hot , once it's burnt right down to the coals ,

<line_50>	ngarringkakamparninyjirru . Panyumarninyjirru ngurnaa ,
<segmentation>	ngarri-ngkakampa-rninyji-rru . Panyu-ma-rninyji-rru ngurnaa ,
<glossing>	ashes-LOC cook-FUT-NOW good-CAUS-FUT-NOW that.ACC
<translation>	cook the goanna in the ashes . Do it properly ,

<line_51>	palyangumarninyjirru ngurnaa ngarringkukarlarralu . Thanarru
<segmentation>	palyangu-ma-rninyji-rru ngurnaa ngarri-ngkukarlarra-lu . Thana-rru
<glossing>	cover-CAUS-FUT-NOW that.ACC ashes-EFF hot-EFF let-NOW
<translation>	cover it with hot ashes . Now let

<line_52>	wantiwaa kampirra .
<segmentation>	wanti-waa kampi-rra .
<glossing>	lie-PURPs=o cooking-CTEMP
<translation>	it lie there cooking .

<line_53>	Wantilayi wartawirrinparra kampanyilaa ngurnu mirntirimartaa .
<segmentation>	Wanti-layi wartawirrinpa-rra kampa-nyila-a ngurnu mirntirimarta-a .
<glossing>	lie-FUT wait.for-CTEMP cooking-PrREL-ACC that.ACC goanna-ACC
<translation>	Lie down and wait for the goanna while it cooks .

<line_54>	Kuliyanpalayi ngurnaa , palwarru , wiyaa nhiyu kampalharru !
<segmentation>	Kuliyanpa-layi ngurnaa , palwarru , wiyaa nhiyu kampa-lha-rru !
<glossing>	think-FUT that.ACC all.right maybe this.NOM cooking-PAST-NOW
<translation>	And think this : “ All right , maybe this is cooked now ! ” .

<line_55>	Thuulwarninyjirru . Wurrulywalarru wantharninyji . Thanakunti
<segmentation>	Thuulwa-rninyji-rru . Wurrulywa-la-rru wantha-rninyji . Thanakunti
<glossing>	pull.out-FUT-NOW leaves-LOC-NOW put-FUT let stop
<translation>	Now pull it out . Put it on some leaves . Let it

<line_56>	wantiwaa muthumuthunparra . Mir.ta karlarral wurntarninyji
<segmentation>	wanti-waa muthumuthu-npa-rra . Mir.ta karlarra-l wurnta-rninyji
<glossing>	lie-PURPs=o cool-INCH-CTEMP not hot-THEN cut-FUT
<translation>	lie there and cool down . Don't cut it while it's hot

<line_57>	juwayu kampawirri . Muthumuthuu wurntarninyji panyuul ,
<segmentation>	juwayu kampa-wirri . Muthumuthu-u wurnta-rninyji panyu-u-l ,
<glossing>	hand cook-LEST cool-ACC cut-FUT good-ACC-THEN
<translation>	or you'll burn your hand . Cut it cool , it'll be good then ,

<line_58>	mir.ta juwayu kampalayi . Nyinirrawaara mungkal.yarrarru .
<segmentation>	mir.ta juwayu kampa-layi . Nyini-rrawaara mungka-l.yarra-rru .
<glossing>	not hand burn-FUT sit-SEQ eat-CTEMP-NOW
<translation>	you won't burn your hand . And then sit and eat it .

<line_59>	Juwayula mankulayi jinyjii , thurntarninyji parnaa jinyjimarta
<segmentation>	Juwayu-la manku-layi jinyji-i , thurnta-rninyji parna-a jinyji-marta
<glossing>	hand-LOC grab-FUT fat-ACC rub-FUT head-ACC fat-PROP
<translation>	Get some fat in your hand and rub your head with the fat ,

<line_60>	kuliyathurtii . Panyu ngunhaa . Yimpalaa
<segmentation>	kuliya-thurti-i . Panyu ngunhaa . Yimpala-a
<glossing>	ear-CONJ-ACC good that.NOM like.that-ACC
<translation>	and ears too . That's good . That's

<line_61>	yimpalamalwayara puliyanyjangara .
<segmentation>	yimpala-ma-lwayara puliyanyja-ngara .
<glossing>	like.that-CAUS-HABIT old.person-PL
<translation>	just what the old people used to do .
