# language_name_wals:	Makah
# language_name_glotto:	Makah
# ISO_6393:	myh
# year_composed:	NA
# year_published:	2010
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	special characters and diacritics are used but not further explained in the publication by Davidson & Werle (2010).
# short_description:	A native speaker of Makah, Ruth Claplanhoo, reports her memories of the year 1918. Title: In 1918.
# source:	Davidson, M. & Werle, A. (2010). Makah texts and analysis. In J. Dunham & J. Lyon (Eds.), Papers for the 45th International Conference on Salish and Neighbouring Languages. University of Columbia Working Papers in Linguistics (pp. 140-154).
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	Sentences are given with morphological segmentation, glossing, and English translation.

<line_1>	ʔiyax̌aˑƛs skuˑlaʔeˑʔis .
<segmentation>	ʔiyax̌a=’aƛ=s skuˑla-’eːʔis
<glossing>	be.at=NOW=INDIC.1SG school-going.to
<translation>	‘ I was going to school there . ’

<line_2>	wiʔibaqstiƛ̓itduˑ duˑwiqsubitdis .
<segmentation>	wiʔiba-aqstiƛ=’it=duː duˑwiqsu=(b)it=dis 
<glossing>	angry-inside.MOM=PINV=1PL father=PAST=POSS.1PL
<translation>	‘ Our father got angry at us . ’

<line_3>	ʔuˑduˑʔaƛ̓itid ʔucaˑyeˑʔit Tacoma .
<segmentation>	ʔu-aˑduːƛ=’aƛ=’it=id ʔu-ca-yaːp=’it Tacoma
<glossing>	X-because=NOW=PINV=INDIC.1PL X-go.to-CAUS.MOM=PINV Tacoma
<translation>	‘ And this is why he sent us to Tacoma (boarding school) . ’

<line_4>	ʔiyax̌ax̌aƛid ʔux̌c teʔiłpałšʔaƛ .
<segmentation>	ʔiyax̌a-x̌=’aƛ=id ʔux̌c teʔił-pał-šiƛ=’aƛ
<glossing>	be.at-while=NOW=INDIC.1PL there sick-time.of-MOM=NOW
<translation>	‘ We were there (when) the time of sickness began . ’

<line_5>	qaˑx̌kʷačʔaƛ x̌ax̌adʔał qʷiyuqey hiyuˑʔaƛ diƛaˑk .
<segmentation>	qax̌-kʷa-čiƛ-[L+S]=’aƛ x̌ax̌adʔał qʷiyu=qeyu hiyuˑ=’aƛ diƛaˑk
<glossing>	dead-apart-MOM-GRAD=NOW very when=COND.3SG finish=NOW fighting
<translation>	‘ Many started dying when they stopped fighting (after the war) . ’

<line_6>	ʔaƛasub ʔusiyuˑʔaƛʔu yałax̌qeys skuˑl .
<segmentation>	ʔaƛasuba ʔu-siyuːƛ=’aƛ=(b)u= ̊i yała-x̌=qey=s skuˑla
<glossing>	eight X-die.MOM=NOW=PAST=INDIC.3SG where-while=COND=1SG school
<translation>	‘ Eight passed away where I was going to school . ’

<line_7>	ʔuˑšsuˑqstʔaƛ duˑwiqsubitdis sukwiƛ̓eˑʔisaƛ̓itduˑ wałsaˑʔaƛ̓itduˑ ʔuˑduˑƛ ʔuˑšsuˑqƛx̌ duˑbey .
<segmentation>	ʔuˑš-(k)suˑqstiƛ=’aƛ duˑwiqsu=(b)it=dis su-kwiƛ-’eːʔis=’aƛ=’it=duː wał-saːp=’aƛ=’it=duː ʔu-aˑduːƛ ʔuˑš-(k)suˑqƛ=x̌ duˑbeyu
<glossing>	some-in.body.MOM=NOW father=PAST=POSS.1PL get-MOM-going.to=NOW=PINV=1PL go.home-CAUS.MOM=NOW=PINV=1PL X-because some-in.mind=SUBOR always
<translation>	‘ Our father got worried , (so) he came to get us and brought us home because he was always worried . ’

<line_8>	wik̓aƛitdiš teʔiłšiƛ .
<segmentation>	wik=’aƛ=(b)it=diš teʔił-šiƛ
<glossing>	not=NOW=PAST=ASSER.1PL sick-MOM
<translation>	‘ But we didn’t get sick . ’

<line_9>	wałšʔaƛduˑ wikaƛduˑ huʔiy .
<segmentation>	wał-šiƛ=’aƛ=duː wik=’aƛ=duː hu-ʔiya
<glossing>	go.home-MOM=NOW=1PL not=NOW=1PL again-get.to.be.at
<translation>	‘ We went home and never went back . ’
