# language_name_wals:	French
# language_name_glotto:	French
# iso639_3:	fra
# year_composed:	NA
# year_published:	2003
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/French/KernFrench/Esteban/010321.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
pain . 7200_9960
yyy . 152280_155280
yyy . 161240_164240
yyy . 164240_166600
yyy . 192240_195240
yyy . 267920_270920
yyy . 271360_274360
yyy . 274360_275760
yyy . 275760_278680
yyy . 278680_280120
yyy . 280120_282600
yyy . 299400_302400
yyy . 313000_316000
yyy . 316000_318400
yyy . 318400_319640
yyy . 355640_360640
yyy . 400960_403960
yyy . 432760_435240
yyy . 436920_439760
yyy . 449680_452400
yyy . 452400_452960
yyy . 460440_463440
yyy . 463440_465680
yyy . 479440_482440
yyy . 524320_527320
yyy . 527320_529600
yyy . 628600_631600
yyy . 646680_649680
yyy . 675960_678960
yyy . 751320_754320
yyy . 768400_771400
yyy . 773280_776280
yyy . 776640_779640
yyy . 779640_782320
yyy . 786720_789720
yyy . 805760_808760
yyy . 808760_810800
maman . 815360_818360
yyy . 829440_832440
yyy . 832440_834040
yyy . 834040_836080
yyy . 848160_851160
yyy . 855600_858600
yyy . 872640_875640
yyy . 875920_878920
yyy . 895360_898360
yyy . 919960_921840
yyy . 921840_923840
yyy . 923840_924160
yyy . 924200_924560
yyy . 924560_925200
yyy . 925200_925560
yyy . 925560_925880
yyy . 925880_926360
yyy . 926360_928300
yyy . 928480_931480
yyy . 1047600_1050600
yyy . 1050600_1052400
yyy . 1052400_1054720
yyy . 1055600_1058600
yyy . 1060680_1063680
yyy . 1066880_1069880
yyy . 1086600_1089600
yyy . 1094000_1099480
yyy . 1099480_1100160
yyy . 1115920_1118920
yyy . 1297120_1300120
yyy . 1346680_1349680
yyy . 1359480_1362160
yyy . 1363120_1366120
yyy . 1366120_1368160
yyy . 1368160_1369160
yyy . 1369160_1370840
yyy . 1370840_1372920
yyy . 1372920_1374000
yyy . 1374000_1375240
yyy . 1375240_1376720
yyy . 1423920_1425880
yyy . 1431360_1434360
yyy . 1450280_1453280
yyy . 1453280_1454640
yyy . 1454640_1455400
yyy . 1455400_1456080
yyy . 1456080_1458840
yyy . 1469760_1472760
yyy . 1477040_1480040
yyy . 1503440_1506440
yyy . 1554640_1557640
yyy . 1557640_1558760
yyy . 1559520_1562520
yyy . 1577160_1580160
yyy . 1596680_1599680
yyy . 1631800_1634800
yyy . 1665640_1668640
yyy . 1679560_1682560
yyy . 1758920_1761920
yyy . 1778120_1781120
yyy &=aspirators . 1796800_1799800
yyy &=aspirators . 1799800_1801960
yyy . 1842320_1845320
yyy &=aspirators . 1878480_1881480
yyy . 1881480_1883040
yyy . 1907200_1910200
yyy . 1922960_1925960
yyy . 1944160_1947160
yyy . 1985200_1988200
yyy . 1998000_2001000
yyy . 2012080_2015080
yyy . 2015080_2016320
yyy . 2040160_2043160
yyy . 2109760_2112760
yyy . 2115600_2118600
yyy . 2313680_2316920
yyy . 2323640_2326640
yyy . 2346360_2349360
yyy . 2388440_2391440
yyy . 2450000_2453000
yyy . 2460640_2463600
yyy . 2463600_2465600
yyy . 2471000_2474000
yyy . 2474000_2475960
yyy . 2475960_2478760
yyy . 2488840_2491040
yyy . 2513400_2516400
yyy . 2618000_2621000
yyy . 2624600_2627600
yyy . 2648200_2649880
yyy . 2764560_2767560
yyy . 2767560_2769160
yyy .
coucou boo . 2781720_2785720
yyy . 2798400_2801400
yyy . 2801400_2802320
yyy . 2802320_2803880
yyy . 2803880_2806400
non . 2819880_2822880
non . 2822880_2825560
non non . 2826040_2829040
yyy . 2864320_2867320
yyy . 2880000_2880720
yyy . 2881000_2884000
