# language_name_wals:	Paiwan
# language_name_glotto:	paiw1248
# iso639_3:	pwn
# year_composed:	NA
# year_published:	2006
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	face-to-face_conversations
# writing_system:	Latn
# special_characters:	Equal signs <=> indicate clitic breaks, and <-> morpheme breaks. These are also used in the original script used to write the Paiwan sentences (not only in glosses). <ʔ> represents a voiceless glottal stop. The less-than sign <<>, and the more-than sign <>> are used to mark infixes, e.g. k<em>an "eat", where <em> is an infix. For the mapping between orthographic representations and Paiwan sounds see Chang (2006), p. 30.
# short_description:	Paiwan text called "Conversation between ʔaLuay and calebak". This is a conversation between ʔLuay and calebak in the dialect of Sai (Chang, 2006, p. 428-430).
# source:	Chang, A. H. (2006). A reference grammar of Paiwan. PhD thesis, Australian National University.
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The glossings in the original start with <[> and end with <]>. We leave away these signs. For the interpretation of glossings see list of abbreviations in Chang (2006), p. xxvii. Since this is a face-to-face conversation, the original text gives the name of the speaker before the sentence. This name is here given in <comment> after "speaker:".   

<line_1>	na=k<em>uda=sun , kama ?
<glossing>	Pef=do.what<AV>=2sg.Nom uncle
<translation>	` What did you do ( today ) , uncle ? '
<comment>	speaker: ʔaLuay

<line_2>	t<em>aLem=amen tua maLikapuLi .
<glossing>	plant<AV>=2.pl.ex.Nom Obl.cm MaLikupuLi
<translation>	` We planted MaLikapuLi ( , which is one species of trees ) . '
<comment>	speaker: calebak

<line_3>	ʔau , pi-inu ?
<glossing>	Intej put.AV-where
<translation>	‘ Then , where did you plant ( them ) ? ’
<comment>	speaker: ʔaLuay

<line_4>	a za i=tja i=zuua zuu a tua veleLuan . “ pai , pa-vunavun ” aya ti tja=ʔaLi .
<glossing>	Nom.cm that Loc=Obl.cm Loc=there there Obl.cm creek Intej Cau.AV-sapling say.AV Nom.ps.sg 1pl.in.Gen=(boy to boy) friend
<translation>	‘ “ Well , ( they are ) the saplings to plant . ” said our friend ( to me ) . ’
<comment>	speaker: calebak , tja=􏰀ʔ􏰀aLi is 􏰀ʔ􏰀aLuay ’ s husband lavakaw .

<line_5>	ui . ui .
<glossing>	yes yes
<translation>	‘ Yes . Yes . ’
<comment>	speaker: ʔaLuay

