# language_name_wals:	Wichita
# language_name_glotto:	Wichita
# ISO_6393:	wic
# year_composed:	1965
# year_published:	2019
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	oral tradition
# writing_system:	Latn
# special_characters:	á high tone /a/; é high tone /e/; ó high tone /o/; í high tone /i/; ʔ glottal stop; ː long vowel; ːː double-long vowel
# short_description:	This text is based on a recording made in Anadarko, Oklahoma in 1965 by Mrs. Bertha Provost. The title is "Turtle, Buffalo and Coyote". The recordings are archived at the Sam Noble Museum in Lawton, Oklahoma.
# source:	David S. Rood
# copyright_short:	This text is published under a CC by 4.0 license (https://creativecommons.org/licenses/by/4.0/)
# copyright_long:	NA
# sample_type:	whole
# comments:	Note that lines do not correspond to sentences. The numbers in the morpheme segmentations distinguish homophonous morphemes.

<line_1>	kaːʔaːʔaːkóːkhaːrʔa
<segmentation>	kaː aːʔ aː ki wakhahr ʔa
<glossing>	distpast quot prevcome3 aorist activpat come
<translation>	once upon a time

<line_2>	kíkʔiːs khiʔas kiyakihiteʔecaki
<segmentation>	kíkʔiːs khíʔas kiya ki hita ʔicaki
<glossing>	turtle poorth quot3 aorist edge sit
<translation>	the poor turtle was sitting at the edge they say

<line_3>	kiyaːkiʔiːkhíyaʔa hakihiʔiyaskwah
<segmentation>	kiya aː ki u ʔikhiyaʔa ha-ki hiʔiyas wa h
<glossing>	quot3 prevcome3 aorist prevx wish sjtv crosswater gop subp
<translation>	he was wishing they say to go across the water

<line_4>	kaːkiyaʔ isíːʔa
<segmentation>	kaː kiyaʔ i s uy ʔa
<glossing>	indef person imp1 twosub prevcome1 come
<translation>	somebody come !

<line_5>	iskirhiʔiyaskwa
<segmentation>	i s kiʔ ri hiʔiyas wa
<glossing>	imp1 twosub oneob ptv crosswater gop
<translation>	take me across the water

<line_6>	kaːʔaːʔaːkíhiːʔikéːsʔa néːrhirʔa
<segmentation>	kaːʔ aːʔ aː ki hiː ʔikeːs ʔa néːrhir ʔa2
<glossing>	distpast quot prevcome3 aorist ditch downin come buffalo nounf
<translation>	then along came a buffalo

<line_7>	aːkoːkʔa aːːh neʔewáːr
<segmentation>	aːʔ ki wakʔa aːːh neʔewáːr
<glossing>	quot aorist say interj friend
<translation>	he said hey friend

<line_8>	éːkiriʔ haːwaʔ nasíːwakharakʔas
<segmentation>	éː kiriʔ haːwaʔ ra s u wakharakʔa s2
<glossing>	proq thing then2 presq twosub prevx talkabout impf
<translation>	what are you talking about

<line_9>	tatíːʔikhiyaʔa hakihiʔiyaskwah aːkoːkʔa
<segmentation>	ta t u ʔikhiyaʔa ha-ki hiʔiyas wa h aːʔ ki wakʔa
<glossing>	pres onesub prevx wish sjtv crosswater gop subp quot aorist say
<translation>	i am wishing to cross the water he said

<line_10>	tiʔrih híriʔ iskiteʔeːki
<segmentation>	tiʔi hirih híriʔ i s kita ʔiːki
<glossing>	this loc inthatcase imp1 twosub on sitdown
<translation>	sit up here then

<line_11>	nackwiːrʔicʔírih aːkoːkʔa néːrhirʔa
<segmentation>	na t wiːrʔic ʔi hirih aːʔ ki wakʔa néːrhir ʔa2
<glossing>	ppl onesub shoulder arm head be loc quot aorist say buffalo nounf
<translation>	where my shoulder is said the buffalo

<line_12>	aːkoːkʔa kíkʔiːs kiriʔ keʔesawiːrʔictakwi
<segmentation>	aːʔ ki wakʔa kíkʔiːs kíriʔ keʔ s aː2 wiːrʔic takwi
<glossing>	quot aorist say turtle not fut twosub refl shoulder head arm jerk
<translation>	the turtle said no you will shake your shoulder

<line_13>	keʔeskihaːhanniwihi háʔwiːʔ híriʔ
<segmentation>	keʔ s kiʔ haː hirahr riwihi haʔawiːʔ híriʔ
<glossing>	fut twosub oneob waterl ground throw ok inthatcase
<translation>	you will throw me in the water. ok then

<line_14>	natíːʔarihkiteʔerʔíːarikírih
<segmentation>	na t uy2 ʔariki r kita ʔirʔíː ʔariki hirih
<glossing>	ppl onesub prevhave horn patns on protrude stand loc
<translation>	where my horns stick out on top

<line_15>	harah isteʔerhíːkawa aːkoːkʔa kíriʔ
<segmentation>	harah i s teʔerhiːka wa aːʔ ki wakʔa kíriʔ
<glossing>	there imp1 twosub brush gop quote aorist say not
<translation>	go into the long hair there. he replied no

<line_16>	áːːh kíriʔ keʔeséːcʔiriyari hinníʔ
<segmentation>	aːːh kíriʔ keʔ s aː2 ʔic ʔiriyari hinniʔ
<glossing>	interj not fut twosub refl head gorandomly and
<translation>	oh no. you will shake your head and

<line_17>	keʔeskihaːhanniwihi áːːh tiːctawiːːʔi
<segmentation>	keʔ s kiʔ haː hirahr riwihi aːːh ta i2 uc tawiːːʔi
<glossing>	fut twosub oneob waterl ground throw interj pres pfocpat prevdat bedifficult
<translation>	you will throw me into the water. oh its hard

<line_18>	háʔwiːʔ híriʔ iskawa natíriʔiskirikʔírih k
<segmentation>	haʔawiːʔ híriʔ i s ka wa na t uy2 riʔiskirik ʔi hirih
<glossing>	ok inthatcase imp1 twosub in gop ppl onesub prevhave anus buttocks hole be loc
