# language_name_wals:	Wichita
# language_name_glotto:	Wichita
# ISO_639-3:		wic
# year_composed:	1965
# year_published:	2019    
# mode:			spoken
# genre_(broad):	conversation 
# genre_(narrow):	oral tradition
# writing_system:	Latn   
# special_characters:	á high tone /a/; é high tone /e/; ó high tone /o/; í high tone /i/; ʔ glottal stop; ː long vowel; ːː double-long vowel  
# short_description:	This text is based on a recording made in Anadarko, Oklahoma in 1965 by Mrs. Bertha Provost. The title is "The Woman who Married a Bear", based on the Wichita title of the story "wiraʔaskaːhiːkʔa". The recordings are archived at the Sam Noble Museum in Lawton, Oklahoma.
# source:		David S. Rood
# copyright_short:	This text is published under a CC by 4.0 license (https://creativecommons.org/licenses/by/4.0/)
# copyright_long:	NA
# sample_type:		whole
# comments:		Note that lines do not correspond to sentences. The numbers in the morpheme segmentations distinguish homophonous morphemes (e.g. ʔa versus ʔa2). 

<line_1>	kaːʔ aːʔaːkíwakhaːrʔa hasʔaːkíreʔerha kaːʔaːkihánthiri iːríːʔa
<segmentation>	kaːʔ aːʔ aː ki wakhahr ʔa hasʔa aːʔ ki reʔer yiha kaːʔ aːʔ ki hirahr thiri iːriː ʔa2
<glossing>	distpast quot prevcome3 aorist activpat come narr quot aorist camps beaplace distpast quot aorist ground bevisible chief nounf    
<translation>	+once upon a time there was a village. +one day chief

<line_2>	naréːrʔih áːkiwakʔa háʔwiʔ tacíraːkʔíːhiːːriːks toːrikicʔa
<segmentation>	na reːr ʔi h aːʔ ki wakʔa haʔawiʔ ta ciy raːk ʔíhiki ʔíhiːːriːki s2 toːrikic ʔa2
<glossing>	ppl the be subp quot aorist say ok pres inclsub nthrdpl movecamp movecamppl impf youngman nounf
<translation>	the said '+ok. +we (pl. incl.) are moving.' +young man
	
<line_3>	kiyaːsʔaːkiːʔi acs hasʔaːkíhiʔiriyaːs tiʔi iːríːʔa naréːrʔih
<segmentation>	kiyaʔ hasʔa aːʔ ki i3 ʔi acs hasʔa aːʔ ki i3 d hiʔiriyaː s2 tiʔi iːriː ʔa2 na reːr ʔi h
<glossing>	person narr quot aorist extrav be good narr quot aorist extrav prevdat2 feeltoward impf this chief nounf ppl the be subp love
<translation>	a he was in love with her this chief the

<line_4>	náːːʔih wéraʔ íːkaʔákiwaːweʔeːh hikiyakiwaʔariki
<segmentation>	na a ya ʔi h wéraʔ hiʔ kaʔa ki waːweʔeːh hiʔ kiya ki wa3 ʔariki
<glossing>	ppl prevhave3 child2 be subp maybe dusub quot2 aorist meet dusub quot3 aorist dupat stand
<translation>	his daughter. +probably they (dual) met; they were standing

<line_5>	hirawastakih iwakháːrʔi wéraʔ hakiːcéʔeriwackwah wéraʔ
<segmentation>	hiʔ na wastaki h i4 wakhahr ʔi wéraʔ ha-ki uc aʔiriwac wa3 wéraʔ
<glossing>	dusub ppl talk subp direc activpat be maybe sjtv prevdat depart gop maybe
<translation>	(dual) talking. +it was about time maybe for them (pl) to set out. +maybe

<line_6>	néʔaʔ íːkaʔakicíreʔerhaːrʔ híriwaʔ hikiyakiwaʔariki
<segmentation>	néʔaʔ hiʔ kaʔa ki uc íreʔer hahri ʔiq hiriwaʔ hiʔ kiya ki waʔariki
<glossing>	bad dusub quot2 aorist prevdat recip angry be then dusub quot3 aorist dupat stand
<translation>	they (dual) got mad at each other so then they (dual) were standing there.

<line_7>	niːyeːríkikeʔeːh hiːyaːkíʔiriwackwaʔah aːkiʔírakhánn ákiwakʔa íːriːʔa
<segmentation>	na iy xx ríkikeʔeː h hi-ki iy aː aʔiriwac wa3 ʔa h aːkʔírakhahrn a ki wakʔa iːriː ʔa2
<glossing>	ppl nfocpat prev waitfor subp sjtv nfocpat prevcome3 depart dupat come subp suddenly nquot aorist say chief nounf
<translation>	+while they (pl) were waiting for them (du) to set out (coming) suddenly he said chief

<line_8>	naréːrʔih háʔwiʔ icíːcaːrheʔeriwackwa hóʔos hikaːwaʔa híriwaʔ
<segmentation>	na reːr ʔi h haʔawiʔ i ciy uc raːk rq aʔiriwac wa hoʔos hiʔ keʔ aː wa3 ʔa hiriwaʔ
