# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Eliza Kennedy (Keewong): wa:way, river-maker." Donaldson (1977), p. 373 makes the following remarks about the text: "This text and the following one concern wa:way, called 'rainbowserpent' in the anthropological literature (Radcliffe-Brown 1930), Ngiyamba: speakers never translate the word. They liken a wa:way to a big snake, and to the whale which swallowed Jonah. No connection is made, nowadays at least, between wa:way and the rainbow, although the rainbow has some remembered cultural significance. (You must not point at the rainbow lest your mother's mother die.) Though this story refers to a single wa:way, it is generally thought that a number of them shared in creating the rivers. When wa:way came up in conversation on another occasion, somebody said: ŋilu-gala:-baɽa babir dhiŋgaŋ-gu ba:wan miyi	that+ERG-PL+EST-CATEG ASSERT big creature-ERG Darling+ABS make+PAST - and went on to list other rivers, then explained, "Them big animals made all the rivers." Several encounters with wa:way are claimed to have taken place within living memory. In one, a man was swallowed together with a bag of groceries. He tickled its stomach and was spewed up again, but lost the groceries. He was discovered prostrate, with shreds of his purchases scattered about. In another, two men approached a wa:way hole which was steaming and bubbling fiercely. One of them was of Ba:gandji descent. He pacified the wa:way by addressing it with a few words of Ba:gandji. The hill which thwarted wa:way's progress in this story is Mount Manara. Eliza Kennedy heard the story in her childhood from Ellen Bourke, who was a nhi:lyigiyalu from the area around Marfield station. Ellen Bourke spoke Ba:gandji as well as Ngiyamba:. Ba:gandji people associated Mount Manara with ŋadji (the Ba:gandji equivalent of wa:way)."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	wa:way winjdjaga yananhi
<segmentation>	wa:way winjdja-ga yana-nhi
<glossing>	wa:way+ABS mud-LOC go-PAST
<translation>	wa:way travelled through the mud .

<line_2>	galiyar wa:wadhu miyi ba:wanyanbi:
<segmentation>	galiyar wa:wa-dhu miyi / ba:wan-yanbi:
<glossing>	Lachlan river+ABS wa:way-ERG make+PAST Barwon-ADD TOPIC
<translation>	wa:way made the Lachlan , and the Barwon ( Darling ) too .

<line_3>	bungubuluniŋgal miyi babiru dhiŋga:ŋgu
<segmentation>	bungu-bu=lu=niŋ-gal miyi / babir-u dhiŋga:ŋ-gu
<glossing>	many-UNIV=3ERG=3ABS+VIS-PL make+PAST big-ERG creature-ERG
<translation>	He made them all , the huge creature .

<line_4>	dhurbidhurbilunaŋgal miyila / galinjdjan ŋaluy bibuwagiri
<segmentation>	dhurbidhurbi=lu=naŋ-gal miyi-la / galinj-djan ŋalu-y bibuwa-giri
<glossing>	REDUP-steep=3ERG=3ABS-PL make+PAST-THEN water-LING EVID that+INST-YONDER run-PURP
<translation>	Then he made them sloping , so the water would run away .

<line_5>	wa:way waŋgaɽanhi
<segmentation>	wa:way waŋgaɽa-nhi
<glossing>	wa:way+ABS get lost-PAST
<translation>	wa:way got lost .

<line_6>	balunhila dhiramaga
<segmentation>	balu-nhi-la dhirama-ga
<glossing>	die-PAST-THEN hill-LOC
<translation>	Then ( he ) died at the hill .

<line_7>	galilugu ŋinila: wambanha guwayubu
<segmentation>	gali=lugu ŋini-la: wamba-nha guwayu-bu
<glossing>	water=3GEN here+LOC-EST be up-PRES long time-UNIV
<translation>	His water still rises at this place in the hole .

<line_8>	waŋa:yni dhiramadhi guɽunhi
<segmentation>	waŋa:y=ni dhirama-dhi guɽu-nhi
<glossing>	NEG=3ABS+VIS hill-CIRC enter-PAST
<translation>	He couldn't get through the hill .

<line_9>	gaɽul walan manga:n
<segmentation>	gaɽul walan manga:n
<glossing>	rock+ABS hard+ABS DEGREE ADV
<translation>	The rock was too hard .

<line_10>	yabalugu ŋanila: gurinja
<segmentation>	yaba=lugu ŋani-la: guri-nja
<glossing>	track=3GEN there+LOC-EST lie-PRES
<translation>	His tracks are there .

<line_11>	gali ŋinila: wambawa:gaɽala dhiramaga
<segmentation>	gali ŋini-la: wamba-wa:ga-ɽa-la dhirama-ga
<glossing>	water+ABS here+LOC-EST be up-DUR-PRES-NOW hill-LOC
<translation>	And now there is always water in this ( place ) , at the hill .

<line_12>	waŋa:yna budubanha
<segmentation>	waŋa:y=na buduba-nha
<glossing>	NEG=3ABS dry up-PRES
<translation>	It doesn't dry up .
