# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Eliza Kennedy (Keewong): A frogmouth brings bad news." Donaldson (1977).
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	mayiŋgudhi: dhi:rbanhi girambilguwanha:ra ba:bimba:ŋgala:
<segmentation>	mayiŋ-gu=dhi: dhi:rba-nhi / girambi-l-guwa-nha:ra ba:bimba:ŋ-gala:
<glossing>	person-ERG=1OBL know-PAST sick-CM-PITY-CIRCUM mother's father-LATE+ABS
<translation>	My people knew , when ( my ) poor late grandfather was sick .

<line_2>	wara:yna galguwanhi
<segmentation>	wara:y=na ga-l-guwa-nhi <1>
<glossing>	bad=3ABS be-CM-PITY-PAST
<translation>	He was bad .
<footnote_1>	wara:y ga-l ' be bad ' is a euphemism for ' die ' . wara:y bunma-l ' make bad ' is equivalent to the English euphemism ' lose ' used of a dead person .

<line_3>	dhibi:njdjul badhiyi bulu:rdhul
<segmentation>	dhibi:nj-djul badhiyi / bulu:r-dhul <2>
<glossing>	bird-DIM+ABS arrive-PAST frogmouth-DIM+ABS
<translation>	The little bird appeared , the little frogmouth .
<footnote_2>	The frogmouth was the old man's ŋuya: ' pet ' .

<line_4>	yuŋayguwanhina
<segmentation>	yuŋa-y-guwa-nhi=na
<glossing>	cry-CM-PITY-PAST=3ABS
<translation>	It cried .

<line_5>	ŋanuŋgana wi:nji yuŋanhi
<segmentation>	ŋanuŋ-ga=na wi:-nji yuŋa-nhi
<glossing>	mia-mia-LOC=3ABS sit-PAST cry-PAST
<translation>	On the mia-mia it sat and cried .

<line_6>	guni:ŋgala:dhi: yuŋayguwanhi dhi:rbanhibalu ba:ba:lugu wara:y giyiba
<segmentation>	guni:ŋ-gala:=dhi: yuŋa-y-guwa-nhi / dhi:rba-nhi-ba=lu / ba:ba:-lugu wara:y <1> giyi-ba
<glossing>	mother-LATE+ABS=1OBL cry-CM-PITY-PAST know-PAST-SUB=3ERG father+ABS=3GEN bad+ABS be+PAST-SUB
<translation>	My poor late mother cried , ( becausce ) she knew that her father was bad .
<footnote_1>	wara:y ga-l ' be bad ' is a euphemism for ' die ' . wara:y bunma:l ' make bad ' is equivalent to the English euphemism ' lose ' used for a dead person .
