# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Eliza Kennedy (Keewong): The Whinger." Donaldson (1977). p. 387 makes the following remarks about the text: "This is an invented dialogue between two speakers, speaker A (the whinger), and speaker B."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	gari:ga:ndu dhi:rbanha ŋanina wi:njaba
<segmentation>	gari:-ga:=ndu dhi:rba-nha / ŋani=na wi:-nja-ba
<glossing>	true+ABS-IGNOR=2NOM know-PRES there+LOC=3ABS sit-PRES-SUB
<translation>	" Do you truly know where he's living ? "
<comment>	speaker identifier: A

<line_2>	dhi:rbanhadhu
<segmentation>	dhi:rba-nha=dhu
<glossing>	=1NOM
<translation>	" I know .
<comment>	speaker identifier: B

<line_3>	ŋaniwana wi:nja
<segmentation>	ŋani-wa=na wi:-nja
<glossing>	there+LOC-FURTHER=3ABS sit-PRES
<translation>	" He lives further on .

<line_4>	yarurdhi: manmiya:
<segmentation>	yarur=dhi: manmi-ya:
<glossing>	slow+ABS=1OBL follow-IMP
<translation>	" Follow me steadily . "

<line_5>	gunubaɽadhu gaɽa manmina:ranu:
<segmentation>	gunu-baɽa=dhu ga-ɽa / manmina:ra=nu:
<glossing>	fed up-CATEG ASSERT=1NOM be-PRES follow+CM+CIRCUM=2OBL
<translation>	" I'm sick of following you .
<comment>	speaker identifier: A

<line_6>	dni:rbanhagandu ŋagundu yananhaba
<segmentation>	dni:rba-nha-ga=ndu / ŋagu=ndu yana-nha-ba
<glossing>	know-PRES-IGNOR=2NOM there+DAT=2NOM go-PRES-SUB
<translation>	" Do you know where you're going ? "

<line_7>	dhi:rbanhabanidju
<segmentation>	dhi:rba-nha-bani=dju
<glossing>	know-PRES-TOPIC ISOLATOR-1NOM
<translation>	" I know alright !
<comment>	speaker identifier: B

<line_8>	ŋaniwabaga:na wi:nja
<segmentation>	ŋani-wa-baga:=na wi:-nja
<glossing>	there+LOC-FURTHER-CNTR ASSERT=3ABS sit-PRES
<translation>	" He does live further on . "

<line_9>	magandu mayi waŋa:y barawiyi
<segmentation>	maga=ndu mayi waŋa:y barawiyi
<glossing>	other+ABS=2NOM person+ABS NEG ask+PAST
<translation>	" You didn't ask anybody else ( to accompany you ) .
<comment>	speaker identifier: A

<line_10>	minjaŋguwa:ndu ŋadhi:galay barawiyi
<segmentation>	minjaŋ-gu-wa:=ndu ŋadhi:-galay barawiyi
<glossing>	what-DAT-EXCLAM=2NOM me+OBL-ONLY
<translation>	" Why did you only ask me ?

<line_11>	wara:ybaɽadhu ŋa:ganmanha
<segmentation>	wara:y-baɽa=dhu ŋa:ganma-nha
<glossing>	bad+ABS-CATEG ASSERT=1NOM feel-PRES
<translation>	" I feel really no good .

<line_12>	ya:ymbugabaɽali: yananhi
<segmentation>	ya:ymbuga-baɽa=li: yana-nhi
<glossing>	in vain-CATEG ASSERT=1NOM+DU walk-PAST
<translation>	" We have just come for nothing .

<line_13>	yu:dibali: yananhi
<segmentation>	yu:di-ba=li: yana-nhi
<glossing>	to excess-ASSERT=1NOM+DU
<translation>	" We have done too far .

<line_14>	galiŋindali: nhugi: bangayaga
<segmentation>	gali-ŋinda=li: nhugi: banga-y-aga
<glossing>	water-CARIT=1NOM+DU throat+ABS dry-CM-IRR
<translation>	" We are going to have dry throats for want of water . "

<line_15>	ŋaniwa ŋaɽanhdhul gaɽa
<segmentation>	ŋani-wa ŋaɽanh-dhul ga-ɽa
<glossing>	there+LOC-FURTHER tank-DIM+ABS be-PRES
<translation>	" There's a little tank further on .
<comment>	speaker identifier: B

<line_16>	ŋagula:li: yanagiri
<segmentation>	ŋagu-la:=li: yana-giri
<glossing>	there+DAT-EST=1NOM+DU go-PURP
<translation>	" Let's go there !

<line_17>	galimbuwangila:layna guwayubu gaɽa
<segmentation>	galim-buwan-gila:lay=na guwayu-bu ga-ɽa
<glossing>	water-COMIT+ABS-MAYBE=3ABS a long time-UNIV be-PRES
<translation>	" Maybe it still has water in it . "
