# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Lily Hampton (Keewong): How Porcupine got his spines." Donaldson (1977), p. 378 makes the following remarks about the text: "Lily Hampton was somewhat uncertain as to the identity of Porcupine's companion at the beginning of the story, but settled for Honeyeater. According to the late Fred Biggs (of the Trida mob), Porcupine was with Crow. In his version, still known to Trida speakers, Porcupine drops a talking turd before he makes off with the emu. It is the turd which tells Crow to keep going further afield for leaves (Blows 1975:32)."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	mayiŋgalga:ŋgu ŋuruy bumiyi
<segmentation>	mayiŋ-galga:ŋ-gu ŋuruy bumiyi
<glossing>	person-PL+DIM-ERG emu+ABS hit+PAST
<translation>	Some people killed an emu .

<line_2>	wirinjilalugalna
<segmentation>	wiri-nji-la=lu-gal=na
<glossing>	cook-PAST-THEN=3ERG-PL=3ABS
<translation>	Then they cooked it .

<line_3>	gala:y manabinjila
<segmentation>	gala:y manabi-nji-la
<glossing>	again hunt-PAST-THEN
<translation>	Then ( they ) went hunting again .

<line_4>	dhigarbilagu ŋanala: ŋuruy manumiyila
<segmentation>	dhigarbila-gu ŋana-la: ŋuruy manumiyi-la
<glossing>	porcupine-ERG that+ABS-EST emu+ABS steal+PAST-THEN
<translation>	Then porcupine stole that emu .

<line_5>	dhudhubaynjdjul mayi ŋiyiyila yanagiri gira: gamali
<segmentation>	dhudhubaynj-djul mayi ŋiyiyi-la yana-giri / gira: gama-l-i
<glossing>	honeyeater-DIM+ABS person+ABS tell+PAST-THEN go-PURP leaf+ABS break-CM-PURP
<translation>	( He ) told the little honeyeater fellow to go , to pick leaves . <1>
<footnote_1>	A cooked emu would be placed to cool on a platform in a tree , on top of a layer of freshly picked leaves .

<line_6>	ŋalula: mayinjdjulu gira: gamalgana:ra dhigarbilagu ŋanala: ŋuruy manumiyila
<segmentation>	ŋalu-la: mayinj-djul-u gira: gama-l-ga-na:ra / dhigarbila-gu ŋana-la: ŋuruy manumiyi-la
<glossing>	that+ERG-EST person-DIM-ERG leaf+ABS break-CM-PROG-CM+CIRCUM porcupine-ERG that+ABS-EST emu+ABS steal+PAST-THEN
<translation>	While that little fellow was picking leaves , porcupine stole that emu .

<line_7>	gaɽibi:linjilana ŋuruynjdji ŋiyanigi:
<segmentation>	gaɽibi:li-nji-la=na ŋuruynj-dji ŋiyani-gi:
<glossing>	run away+ULT FOCUS-PAST-THEN=3ABS emu-CIRC we+PL-OBL
<translation>	" Now he has run away with our emu ! "

<line_8>	manabinjiba dhiŋga:luguŋgal dharinjila
<segmentation>	manabi-nji-ba / dhiŋga:=luguŋ-gal dhari-nji-la
<glossing>	hunt-PAST-SUB meat+ABS=3GEN-PL disappear-PAST-THEN
<translation>	When ( they ) had finished hunting , their meat was gone .

<line_9>	manabinjiba gala:ylugal munil ŋa:nhila
<segmentation>	manabi-nji-ba / gala:y=lu-gal munil ŋa:-nhi-la
<glossing>	again=3ERG-PL hole+ABS see-PAST-THEN
<translation>	After hunting , they looked at their hole again .

<line_10>	badhalbunanha:ra ŋiyanu ŋuruy ŋimbaligu dharinjilana
<segmentation>	badha-l-buna-nha:ra ŋiyanu / ŋuruy ŋimba-l-i-gu / dhari-nji-la=na
<glossing>	arrive-CM-BACK-CIRCUM we+PL-NOM emu+ABS uncover-CM-PURP-DAT disappear-PAST-THEN=3ABS
<translation>	" While we were coming back to uncover the emu , he disappeared . "

<line_11>	yabiyilalugalna
<segmentation>	yabiyi-la=lu-gal=na
<glossing>	track+PAST-THEN=3ERG-PL=3ABS
<translation>	Then they tracked him .

