# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Eliza Kennedy (Keewong): Lost in the mallee." Donaldson (1977).
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	manabinjili:na ga:dhi:ŋgalaydja:
<segmentation>	manabi-nji=li:-na ga:dhi:ŋ-galaydja:
<glossing>	hunt-PAST=1NOM+DU-EXC sister-RECIP PL+ABS
<translation>	The two of us sisters were hunting .

<line_2>	bandurbuwan yuru walganhila
<segmentation>	bandur-buwan yuru walga-nhi-la
<glossing>	thunder-COMIT+ABS rain+ABS climb-PAST-THEN
<translation>	Then thundery rain came up .

<line_3>	waŋa:ydjili:na dhuni ŋa:nhi
<segmentation>	waŋa:y-djili:-na dhuni ŋa:-nhi
<glossing>	NEG-IMPOSS+1NOM+DU-EXC sun+ABS see-PAST
<translation>	We could not see the sun .

<line_4>	ŋadhu waŋgaɽanhi
<segmentation>	ŋadhu waŋgaɽa-nhi
<glossing>	I+NOM forget-PAST
<translation>	I was lost .

<line_5>	wanhdhalawa:li: gaɽa
<segmentation>	wanhdha-la-wa:=li: ga-ɽa
<glossing>	where-LOC-EXCLAM=1NOM+DU be-PRES
<translation>	" Where are we ? "

<line_6>	ya:ydju ga:dhi:dji: ŋaya:manhi
<segmentation>	ya:y=dju ga:dhi:=dji: ŋaya:ma-nhi
<glossing>	thus=1NOM sister+ABS=1OBL ask-PAST
<translation>	I asked my sister .

<line_7>	ŋarbubaga:li: bindal bibuwabunanha
<segmentation>	ŋarbu-baga:=li: bindal bibuwa-buna-nha
<glossing>	enough-CNTR ASSERT=1NOM+DU straight+ABS run-BACK-PRES
<translation>	" But we are running back straight enough ( to camp ) ! "

<line_8>	ya:ydji:lu ŋiyiyi
<segmentation>	ya:y=dji:=lu ŋiyiyi
<glossing>	thus=1OBL=3ERG say+PAST
<translation>	she said to me .

<line_9>	ŋadhuna ŋiyiyi
<segmentation>	ŋadhu-na ŋiyiyi
<glossing>	I+NOM=3ABS
<translation>	I said to her , 

<line_10>	wamambaga:ndu bibuwanha
<segmentation>	wamam-baga:=ndu bibuwa-nha
<glossing>	wrong-CNTR ASSERT=2NOM run-PRES
<translation>	" But you are running ( the ) wrong ( way ) ! "

<line_11>	waŋa:ydju dhi:rbanhi
<segmentation>	waŋa:y=dju dhi:rba-nhi
<glossing>	NEG=1NOM know-PAST
<translation>	I did not know .

<line_12>	badhalbunanha:raŋgalay ŋuraŋga ya:nhdhula:galaydju dhi:rba:nhi
<segmentation>	badha-l-buna-nha:raŋ-galay ŋuraŋ-ga / ya:nhdhu-la:-galay=dju dhi:rba:nhi
<glossing>	arrive-CM-BACK-CIRCUMr-ONLY camp-LOC at that time-EST-ONLY=1NOM know-PAST
<translation>	Only on arriving back at the camp , only at the end did I know .

<line_13>	yiŋgala:dhidju waŋa:y ŋiyaɽa waŋa:ydjil mayi waŋgaɽanhaba
<segmentation>	yiŋgala:-dhi=dju waŋa:y ŋiya-ɽa / waŋa:y=djil mayi waŋgaɽa-nha-ba
<glossing>	same+EST-CIRC=1NOM NEG say-PRES NEG-IMPOSS person+ABS forget-PRES-SUB
<translation>	That’s why I don’t say that blacks can’t get lost .

<line_14>	ŋadhubaɽa waŋgaɽanhi
<segmentation>	ŋadhu-baɽa waŋgaɽa-nhi
<glossing>	I+NOM-CATEG ASSERT forget-PAST
<translation>	I got lost , that's for sure .

<line_15>	ŋadhanga:dhan ga:dhi: wama bibuwanhi
<segmentation>	ŋadhanga:-dhan <1> ga:dhi: wama bibuwa-nhi
<glossing>	BELIEVED TRUE-LING EVID sister+ABS wrong run-PAST
<translation>	I thought ( my ) sister was running ( the ) wrong ( way ) .
<footnote_1>	It is impossible to render ŋadhanga:-dhan by an English construction which is impersonal in the same way . The closest English equivalent is probably ' From what's been said , ( you will gather that ) I believed it was true that ... ' But this is too involved for colloquial narrative . If telling this story in English , a bilingual speaker would not attempt to convey so much information at this point , " I thought my sister was running the wrong way . " was the narrator's own translation . For a possible analysis of ŋadhan-ga: see 9.2.3.

<line_16>	ŋadhu wamaŋgalay yanagiriŋinda giyi
<segmentation>	ŋadhu wamaŋ-galay yana-giri-ŋinda giyi
<glossing>	I+NOM wrong-ONLY go-PURP-CARIT be+PAST
<translation>	I was the one who wanted to go quite ( the ) wrong ( way ) .
