# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Lena Parkes (Trida): How to catch porcupine." Donaldson (1977), p. 381 makes the following remarks about the text: "Punctilious speakers of both dialects would not use dhinaN- 'foot' for ’footmark’, as is done throughout this text, but yaba ’track'."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	yuruŋgu ŋidjana:ra ŋa:yagalanduna dhinalugu
<segmentation>	yuruŋ-gu ŋidja-na:ra / ŋa:-y-aga-la=ndu=na / dhina=lugu
<glossing>	rain-ERG rain-CM+CIRCUM see-CM-IRR-THEN=2NOM=3ABS foot+ABS=3GEN
<translation>	When it's raining , you’ll see it , its footmarks .

<line_2>	yananha:ra dhigarbila yabalagalanduna miŋgadhi
<segmentation>	yana-nha:ra dhigarbila / yaba-l-aga-la=ndu=na / miŋga-dhi
<glossing>	walk-CIRCUM porcupine+ABS track-CM- burrow-CIRC enter-CIRCUM
<translation>	If the porcupine is on the move , you'll track it going into its burrow .

<line_3>	bagalagalanduna
<segmentation>	baga-l-aga-la=ndu=na
<glossing>	dig-
<translation>	Then you'll dig it ( out ) .

<line_4>	milga:ylugu dhina waɽayaga madhara guɽunha:ra miŋgadhi
<segmentation>	milga:y=lugu dhina waɽa-y-aga madhar-a / guɽu-nha:ra miŋga-dhi
<glossing>	conspicuous+ABS=3GEN foot+ABS stand-CM-IRR wet earth-LOC enter-CIRCUM burrow-CIRC
<translation>	Its footmarks will stand out clearly in the wet earth , going into the burrow .

<line_5>	dhalaŋay dhinalugundu ŋa:yaga guɽunha:ra miggadhi yurumba:
<segmentation>	dhalaŋay dhina=lugu=ndu ŋa:-y-aga / guɽu-nha:ra miŋga-dhi / yurum-ba:
<glossing>	fresh+ABS foot+ABS=3GEN=2NOM see-CM-IRR rain-TIME
<translation>	You'll see its fresh footmarks going into the burrow , in rainy weather .

<line_6>	yuruŋgu ŋidjana:ra ŋa:yagandu dhinalugu miŋgaga waɽanha:ra yananha:ra guɽunha:ra miŋgadhi
<segmentation>	yuruŋ-gu ŋidja-na:ra / ŋa:-y-aga=ndu dhina=lugu miŋga-ga / waɽa-nha:ra / yana-nha:ra / guɽu-nha:ra miŋga-dhi
<glossing>	rain-ERG rain-CM+CIRCUM see-CM-IRR=2NOM foot+ABS=3GEN burrow-LOC stand-CIRCUM walk-CIRCUM
<translation>	When it's raining , you'll see its footmarks by the burrow , stopping , walking about , going into the burrow .

<line_7>	waŋa:yluguna dhina ŋa:nha badhalbunanha:ra yuruŋguna ŋulaŋana:ra
<segmentation>	waŋa:y=lugu=na dhina ŋa:-nha badha-l-buna-nha:ra / yuruŋ-gu=na ŋulaŋa-na:ra
<glossing>	NEG=3GEN=3ABS foot+ABS see-PRES emerge-CM-BACK-CIRCUM rain-ERG=3ABS wash away-CM+CIRCUM
<translation>	( You ) don't see its ( old ) track coming back out , because of the rain washing it away .

<line_8>	dhuniga yabalaga ŋina dhigarbila
<segmentation>	dhuni-ga yaba-l-aga ŋina dhigarbila
<glossing>	sun-LOC track-CM-IRR this+ABS porcupine+ABS
<translation>	( You ) will track this porcupine during the day .

<line_9>	guɽugayaga ŋinala: miŋgaga
<segmentation>	guɽuga-y-aga ŋina-la: miŋga-ga
<glossing>	be inside-CM-IRR this+ABS-EST burrow-LOC
<translation>	It will be inside this burrow .
