# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Archie King (Trida): Redbreast kills wa:way." Donaldson (1977), p. 375 makes the following remarks about the text: "During the conversation in English which preceded the recording of this text, Archie King explained that the events related in the story took place near ya:rali (Yathong station). For information about wa:way, see the introduction to Text 3. It is not known who Redbreast's companions at the feast were."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	ŋadhila:lugu munil giyi gaɽuli
<segmentation>	ŋadhi-la:=lugu munil giyi / gaɽul-i
<glossing>	there+CIRC-EST=3GEN hole+ABS be+PAST rock-CIRC
<translation>	That's where his hole was , in the rocks .

<line_2>	budhu bangiyi ŋadhila: munili
<segmentation>	budhu bangiyi ŋadhi-la: munil-i
<glossing>	smoke+ABS burn+PAST there+CIRC-EST hole-CIRC
<translation>	Smoke burnt out of that hole .

<line_3>	wa:wadhu gali yurimiyi
<segmentation>	wa:wa-dhu gali yuri-miyi
<glossing>	wa:way-ERG water+ABS move-CAUS+PAST
<translation>	wa:way made the water heave .

<line_4>	ŋinala: midja:ŋga:y wi:minji wa:waydjalu ŋa:giri badhana:ra munili
<segmentation>	ŋina-la: midja:ŋga:y wi:-mi-nji / wa:way-dja=lu ŋa:-giri / badha-na:ra munil-i
<glossing>	this+ABS-EST redbreast+ABS sit-WATCH-PAST wa:way+ABS-LING EVID=3ERG see-PURP emerge-CM+CIRCUM hole-CIRC
<translation>	Redbreast sat watching this ( place ) , so that he could see wa:way coming out of the hole .

<line_5>	balga:nhdhuray midja:ŋga:nhdhu banminji bumaliguna wa:way
<segmentation>	balga:nh-dhuray midja:ŋga:nhdhu banmi-nji / buma-l-i-gu=na wa:way
<glossing>	boomerang-COMIT redbreast+ERG wait-PAST hit-CM-PURP-DAT=3ABS wa:way+ABS
<translation>	Redbreast waited with a boomerang to kill wa:way .

<line_6>	ŋidjila: munili yalaɽanhi
<segmentation>	ŋidji-la: munil-i yalaɽa-nhi
<glossing>	this-CIRC-EST hole-CIRC slide-PAST
<translation>	( He ) came sliding out of this hole .

<line_7>	bumayilaluna wuru gadhinmiyi
<segmentation>	buma-yi-la=lu=na / wuru gadhinmiyi
<glossing>	hit-PAST-THEN=3ERG=3ABS neck+ABS break+PAST
<translation>	He killed him , hitting so as to break ( his ) neck .

<line_8>	mamiyilalugalna
<segmentation>	mamiyi-la=lu-gal=na
<glossing>	take+PAST-THEN=3ERG-PL=3ABS
<translation>	Then they took hold of him .

<line_9>	ga:nhilalugalna
<segmentation>	ga:-nhi-la=lu=gal=na
<glossing>	carry-PAST-
<translation>	Then they carried him .

<line_10>	gulgulugal bagiyila
<segmentation>	gulgu=lu-gal bagiyi-la
<glossing>	pit+ABS=3ERG-PL dig+PAST-THEN
<translation>	Then they dug a pit .
