# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Biling/ChildL2/031111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
To_be_transcribed . 2060_4484
to_be_transcribed . 14111_18244
xxx . 20627_21388
to_be_transcribed . 23150_24873
to_be_transcribed . 25448_29084
to_be_transcribed . 30530_32962
xxx . 32923_34482
to_be_transcribed . 34616_43747
to_be_transcribed . 44194_44990
to_be_transcribed . 46057_48334
to_be_transcribed . 49126_52937
to_be_transcribed . 53345_59612
Eye . 59679_60270
to_be_transcribed . 60228_61020
‹www pie› . 61823_62772
to_be_transcribed . 62837_65560
to_be_transcribed . 65850_69747
to_be_transcribed . 69834_72275
to_be_transcribed . 72516_76703
to_be_transcribed . 78551_83945
Puppy . 83806_84429
to_be_transcribed . 84492_86267
to_be_transcribed . 86288_89692
Dog . 89895_90733
to_be_transcribed . 90793_91689
Dog . 91796_92451
to_be_transcribed . 92383_95184
to_be_transcribed . 96662_97696
Duck . 97912_98575
to_be_transcribed . 98678_101893
to_be_transcribed . 102013_104056
to_be_transcribed . 106185_107073
Pig . 107205_107921
to_be_transcribed . 107902_110028
to_be_transcribed . 113883_114933
Cat . 114933_115735
to_be_transcribed . 115778_116505
Cat . 116712_117296
to_be_transcribed . 117290_118225
Meow@o . 118220_119054
to_be_transcribed . 119080_119650
to_be_transcribed . 122280_125026
Bear . 125166_125851
to_be_transcribed . 125941_127946
Bear . 128063_128692
