# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1993
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Cameron/001028.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
duck . 43234_46234
xxx . 88394_91394
dog . 95703_98470
baby . 98647_101647
baby . 106078_109078
doll . 111445_114445
xxx . 114445_115560
baby . 121764_124764
bird . 130188_133188
bird . 133188_135250
bird . 135250_137935
bird . 139514_142514
bunny . 150371_153371
dog . 163829_166829
doll . 167544_170544
doll . 171631_174631
baby . 180753_183753
xxx . 183753_184746
xxx . 196151_199151
xxx . 226161_228656
xxx . 248303_251303
xxx . 252556_255556
xxx . 288306_290868
xxx . 290868_291611
xxx . 292076_295076
xxx . 295875_298875
blocks . 298875_301309
xxx . 333686_336248
xxx . 336248_337939
xxx . 337773_340773
xxx . 374443_377443
xxx . 391327_394011
neigh neigh . 524303_527303
xxx . 532188_535188
xxx . 535188_537872
xxx . 546472_549472
xxx . 549472_552278
go . 554441_557441
xxx . 558194_561194
xxx . 564100_567100
xxx . 567100_569079
balloon . 578422_581422
xxx . 582426_585426
xxx . 613634_616634
xxx . 628661_631661
xxx . 657761_660340
xxx . 660340_661188
xxx . 661188_663500
xxx . 663500_665153
xxx . 665153_666639
xxx . 675444_677756
xxx . 683756_686756
xxx . 686756_688985
girl . 704728_707728
xxx . 709019_711703
xxx . 713244_716244
girl . 725338_728338
xxx . 728338_730733
xxx . 730733_733334
xxx . 741563_744563
xxx . 745566_748566
xxx . 748566_750052
xxx . 756052_759052
xxx . 774794_777794
xxx . 777794_780024
baby . 780024_782419
xxx . 871018_873330
nose . 936256_939256
xxx . 948145_951145
dog . 955947_958947
dog . 958947_961463
xxx . 965728_968728
xxx . 969033_972033
xxx . 992893_995893
xxx . 1030871_1033871
baby . 1036650_1039650
broom . 1062450_1065450
xxx . 1073884_1076884
xxx . 1076884_1079485
xxx . 1082346_1085346
xxx . 1090481_1093481
xxx . 1101803_1104803
