# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2003
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Rowan/010502.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
xxx .
around .
xxx .
uhoh .
xxx .
byebye .
xxx .
xxx .
xxx . 146798_149434
xxx . 156573_159573
meow . 196284_199284
xxx . 231391_234332
xxx . 255193_264193
basket . 266160_269160
xxx . 270309_275309
food . 277652_280652
xxx . 293510_296510
xxx . 299938_302938
xxx . 302938_305489
uhoh . 309328_312328
banana . 413714_416714
banana . 438787_441787
mama . 458750_461750
xxx . 477651_480651
banana . 485021_488021
xxx . 491128_494128
xxx . 498553_501553
xxx . 524391_527391
xxx . 540889_543889
xxx . 585372_588372
xxx . 602101_605101
xxx . 662101_663859
uhoh . 678220_681220
xxx . 721651_724651
xxx . 755766_758766
xxx .
xxx . 760658_767658
xxx . 771421_774421
xxx . 832421_834775
xxx . 834775_837252
moo . 841318_844318
xxx . 847263_850263
no . 859646_862646
xxx . 869684_872684
xxx . 919636_925636
xxx . 949914_952914
xxx . 954845_957845
xxx . 977845_979887
xxx . 979887_981585
xxx . 985293_988293
kitty cat . 990347_993347
kitty . 993347_995383
more . 996354_999354
duck duck . 1006472_1009472
xxx . 1015689_1018689
xxx . 1051378_1055378
xxx . 1055378_1058309
xxx . 1061843_1064843
soft . 1073048_1076048
xxx . 1097964_1100964
xxx . 1109173_1112173
xxx . 1113145_1116145
xxx . 1125167_1130167
xxx . 1144472_1147472
more . 1150609_1153609
more more . 1159629_1162629
xxx . 1168589_1173589
xxx . 1184696_1187696
xxx . 1192145_1195145
xxx . 1196135_1199135
xxx . 1200727_1203727
xxx . 1203727_1205794
xxx . 1208998_1211998
xxx . 1256608_1259608
uhoh . 1274244_1277244
xxx . 1277244_1280201
xxx . 1280754_1283754
xxx . 1313772_1316772
xxx . 1328580_1331580
xxx . 1332761_1340761
xxx . 1343499_1346499
xxx . 1361662_1364662
xxx . 1388429_1391429
baby . 1408177_1411177
water . 1427368_1430368
diaper . 1437246_1440246
xxx . 1443887_1446887
xxx . 1453980_1456980
diaper . 1463165_1466165
clean . 1474364_1477364
xxx . 1478538_1482538
xxx . 1516015_1519015
xxx . 1577222_1580222
night+night . 1586522_1589522
mama . 1602708_1605708
doll . 1636631_1639631
baby . 1641287_1644287
hat . 1644684_1647684
hat . 1649064_1652064
hat . 1660698_1663698
xxx . 1702077_1705077
xxx . 1726569_1729569
pillow . 1754331_1757331
pillow . 1758361_1761361
no . 1767919_1770919
xxx . 1785276_1788276
no . 1792654_1795654
xxx . 1806849_1809849
xxx . 1812263_1815263
car . 1815263_1817810
xxx . 1823708_1826708
car . 1836699_1839699
xxx . 1840292_1842993
push . 1858579_1861579
xxx . 1881616_1884616
xxx . 1888278_1891278
xxx . 1905553_1908553
baby . 1914911_1917677
baby . 1918018_1921018
xxx . 1930656_1933656
xxx . 1957799_1959940
uhoh . 1961210_1964210
bubbles . 2034598_2037598
xxx . 2040177_2043177
xxx . 2047446_2050446
xxx . 2050738_2056738
xxx . 2056738_2062992
xxx . 2065994_2068994
bubble . 2069479_2072479
bubble . 2075752_2078752
xxx . 2083863_2086863
xxx . 2093272_2096272
uhoh . 2102048_2105048
bubble . 2105453_2108453
xxx . 2110653_2113653
bubble . 2120497_2123497
bubble . 2126466_2129466
xxx . 2131068_2134068
xxx . 2134068_2136255
xxx . 2184255_2187255
xxx . 2187255_2189660
bubble . 2192647_2195647
xxx . 2200040_2203040
uhoh . 2203040_2204618
bubble . 2204928_2207928
xxx . 2209138_2212138
nose . 2217502_2220502
bubble . 2238502_2241084
bubble . 2248153_2251153
xxx . 2260871_2262740
xxx . 2292740_2295038
xxx . 2301458_2304458
xxx . 2306082_2309082
bubble . 2319645_2322645
xxx . 2323198_2326198
xxx . 2329701_2332701
bubble bubble . 2332348_2337348
xxx . 2346141_2349141
xxx . 2356210_2359210
xxx . 2361894_2364894
xxx . 2373477_2376477
bubble . 2376477_2378543
car . 2382210_2385210
car . 2385210_2387271
car . 2387995_2390995
xxx . 2436561_2439561
beep . 2446443_2449443
beep . 2449443_2451783
beep . 2451783_2453561
beep . 2453561_2455333
beep . 2455333_2457064
beep . 2458905_2461905
bubble . 2470015_2473015
bubble . 2478208_2481208
bubble . 2489127_2492127
xxx . 2504903_2507903
xxx . 2510186_2513186
xxx . 2513186_2515922
xxx . 2518800_2521800
bubble . 2534160_2537160
xxx . 2543015_2546015
pop . 2555975_2558975
pop . 2561641_2564641
pop . 2566375_2569375
xxx . 2569375_2572277
xxx . 2572277_2574676
xxx . 2585109_2589109
xxx . 2625601_2628601
xxx . 2658696_2661696
bubble . 2666370_2669370
xxx . 2669370_2672256
xxx . 2754687_2760687
bubble . 2768990_2771990
bubble . 2809030_2812030
xxx . 2819119_2822119
please . 2825229_2828229
excuse you . 2836620_2839620
xxx . 2845346_2848346
xxx . 2848584_2851584
xxx . 2878828_2881828
xxx . 2886572_2891572
xxx . 2902570_2905570
xxx . 2915487_2918487
thank_you . 2919337_2922337
xxx . 2950277_2953277
thank_you . 2955427_2958427
bubble bubble . 2988240_2991240
blocks . 2997181_3000181
xxx . 3000982_3003982
xxx . 3025710_3028710
xxx . 3028758_3031758
xxx . 3036766_3039766
xxx . 3042374_3044879
xxx . 3048306_3051306
uhoh . 3096805_3099805
xxx . 3118357_3121357
xxx . 3130475_3133475
xxx . 3137086_3140086
xxx . 3168086_3170736
xxx . 3173334_3176334
xxx . 3185233_3188233
xxx . 3192116_3195116
xxx . 3216262_3219262
xxx . 3219262_3221673
xxx . 3223919_3226919
xxx . 3227395_3230395
xxx . 3230957_3233957
xxx . 3234426_3237426
xxx . 3240089_3243089
xxx . 3248704_3251704
xxx . 3252563_3255563
xxx . 3258866_3261866
xxx . 3262279_3265279
xxx . 3287050_3290050
xxx . 3290780_3293780
xxx . 3301842_3304842
xxx . 3307636_3310636
xxx . 3317872_3320872
xxx . 3331484_3334484
xxx . 3338806_3341806
xxx . 3352975_3355975
xxx . 3371280_3374280
uhoh . 3375344_3378344
bubble . 3390342_3393342
xxx . 3396874_3399874
xxx . 3412931_3415931
two . 3415931_3418750
two . 3419143_3422143
two . 3422143_3424895
two . 3424895_3427773
xxx . 3427773_3430105
xxx . 3430105_3431952
xxx . 3436790_3439790
xxx . 3440031_3443031
xxx . 3450625_3453625
xxx . 3453632_3456632
xxx . 3459571_3462571
xxx . 3464123_3467123
xxx . 3476495_3479495
xxx . 3483060_3486060
xxx . 3494053_3499053
