# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
zoo .
frogi .
glasses . 6652_9652
vacuum . 12251_15251
elephant . 45951_48951
zebra . 53501_56501
brush . 57354_60354
blue . 60355_62954
feather . 64004_67004
green . 67355_70355
shovel . 74351_77351
that . 87551_90551
there . 90552_93252
guitar . 96702_99702
stretch . 101853_104853
popcorn . 108054_111054
mother . 119904_122904
father . 122905_125700
behind . 125701_128200
yes . 128201_129950
you . 129951_131450
present . 131651_134651
thankyou . 138102_141002
please . 141003_143302
strawberry . 143802_146802
flower . 164854_167854
vase . 167855_170804
hammer . 172055_175055
nail . 175056_177252
hanger . 177702_180702
nothing . 180703_183253
ladder . 183553_186553
magician . 187303_190303
rabbit . 192854_195653
other . 197304_200304
rocket . 304450_307450
space . 310450_313450
teacher . 314851_317851
finger . 321901_324901
chair . 330301_333301
thirsty . 337152_340152
zipper . 343103_346103
screw . 389653_392653
shower . 396654_399654
theirs . 400754_403754
thunder . 407204_410204
treehouse . 414650_417650
drum . 422151_424851
water . 425651_428651
zero . 435052_438052
three . 447553_450553
brother . 455404_458404
frenchfries . 459950_462950
crayons . 467255_470255
grapes . 474151_477151
slippers . 481302_484101
jumping . 486102_489102
princess . 493453_496453
thermometer . 500353_503353
bath . 606354_609354
bathi . 610454_613454
frog . 618054_621054
car . 622605_625605
cari . 625606_628305
leaf . 630006_633006
leafi . 633156_636156
cup . 636856_639856
cupi . 639857_642657
witch . 643356_646356
witchi . 646357_649006
train . 652407_655407
traini . 655408_658153
square . 677656_680656
squarei . 680855_683855
ring . 694107_697107
ringi . 705403_708403
watch . 726454_729454
watchi . 729555_732555
door . 732556_735405
doori . 735856_738856
bridge . 738857_741757
bridgei . 741758_744107
robe . 799107_802107
robei . 802108_805007
tooth . 875506_878506
toothi . 878507_880456
cage . 881906_884906
cagei . 885007_888007
spring . 896108_898607
springi . 898608_900507
run . 900857_903857
running . 903858_906453
break . 1021355_1024355
breaking . 1024405_1027405
ride . 1028805_1031805
riding . 1032006_1035006
rub . 1035606_1038606
rubbing . 1040556_1043556
shave . 1045606_1048606
shaving . 1050857_1053857
crash . 1057708_1060708
crashing . 1061708_1064708
fall . 1066204_1069204
falling . 1070204_1073204
rain . 1188906_1191155
raining . 1191156_1193956
stir . 1195006_1198006
stirring . 1199607_1202607
rake . 1204507_1207507
raking . 1209008_1212008
read . 1225504_1228504
reading . 1228505_1231304
drive . 1232055_1235055
driving . 1239455_1242455
throwing . 1247706_1250706
throw . 1250707_1253207
