# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD11/031121.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
yes .
rabbit .
cheesei .
square .
glasses . 8899_11899
ghost . 18900_21900
six . 31199_34199
vacuum . 36700_39700
elephant . 40450_43450
zebra . 47450_50450
zoo . 51998_54998
brush . 59500_62500
blue . 64599_67599
plate . 81100_84100
knife . 90249_93249
shark . 95499_98499
teeth . 100750_103750
feather . 118298_121298
green . 121299_123299
vanilla . 131049_134049
shovel . 135799_138799
this . 150050_153050
there . 154348_157348
yoyo . 161099_164099
guitar . 169819_172819
lemon . 181520_184520
yellow . 184870_187870
stretch . 194868_197868
popcorn . 201119_204119
mother . 216168_219168
father . 219668_222668
behind . 234669_237669
you . 250969_253969
present . 254719_257719
thankyou . 271018_274018
please . 282269_285269
strawberry . 420970_423970
snail . 426620_429620
beehive . 441919_444919
chicken . 471468_474468
cloud . 478719_481719
flower . 484969_487969
vase . 497769_499519
music . 504769_507769
sock . 511269_514269
jeep . 526318_529318
doll . 535569_538569
game . 543618_546618
nail . 553619_556619
hammer . 557668_560668
hanger . 569419_572419
nothing . 595969_598969
ladder . 603769_606769
magician . 618269_621269
other . 626019_629019
rocket . 637728_640728
space . 644026_647026
ocean . 656027_659027
teacher . 687327_690327
finger . 695828_698828
wagon . 703078_706078
chair . 707376_710376
thirsty . 719378_722378
queen . 743428_746428
twins . 755227_758227
zipper . 762978_765978
them . 769229_771277
pig . 780278_783278
screw . 812880_815880
shower . 820980_823980
theirs . 848528_851528
thunder . 867828_870828
vest . 884378_887378
treehouse . 901678_904177
cob . 916476_919476
these . 924226_927226
sun . 931478_934478
pie . 935026_938026
drum . 938776_941776
water . 943277_946277
toes . 949278_952278
twelve . 970327_973327
zero . 982827_985827
gum . 988828_991828
three . 1151043_1154043
judge . 1159343_1162343
jelly . 1171343_1174343
brother . 1178142_1181142
frenchfries . 1203393_1206393
skunk . 1213393_1216393
noise . 1236193_1239193
quiet . 1244694_1247694
shoes . 1249844_1252844
zipping . 1258394_1261394
crayons . 1273794_1276794
grapes . 1280944_1283944
slippers . 1294193_1296346
jumping . 1298746_1301746
light . 1303996_1306996
spoon . 1318643_1321643
yawn . 1331393_1334393
princess . 1335191_1338191
smoke . 1345693_1348693
thermometer . 1362743_1365743
mop . 1376542_1379542
chain . 1389293_1392293
soap . 1447044_1447335
soapi . 1450535_1453535
fish . 1722366_1725366
fishi . 1725966_1728966
bath . 1730216_1733216
bathi . 1737765_1740765
tub . 1749815_1752815
tubi . 1755865_1758865
thumb . 1760165_1763165
thumbi . 1763615_1766615
frog . 1770865_1773865
frogi . 1774365_1777365
car . 1780415_1783415
cari . 1783416_1785915
leaf . 1786415_1789415
leafi . 1789416_1792165
glove . 1793165_1796165
glovei . 1800165_1803165
chalk . 1806415_1809415
chalki . 1810665_1813665
juice . 1819769_1822769
juicei . 1826319_1829319
cup . 1836469_1839469
cupi . 1839470_1841469
witch . 1842868_1845868
witchi . 1846918_1849918
hat . 1998404_2001404
hati . 2001954_2004954
badge . 2006954_2009954
badgei . 2010604_2013604
nose . 2017504_2020504
nosei . 2022054_2025054
hill . 2036754_2039754
hilli . 2041854_2044854
train . 2049953_2052953
traini . 2055903_2058903
mud . 2061053_2064053
mudi . 2064054_2066953
page . 2086303_2089303
pagei . 2089853_2092853
dog . 2094903_2097903
dogi . 2099752_2102752
bed . 2106202_2109202
bedi . 2109203_2111402
cheese . 2115650_2118650
squarei . 2142518_2145518
comb . 2157972_2160972
combi . 2160973_2163822
ice . 2301337_2304337
icei . 2309388_2311987
peach . 2320637_2323637
peachi . 2333237_2336237
duck . 2338137_2341137
ducki . 2345237_2348237
ring . 2353486_2356486
ringi . 2360036_2363036
watch . 2368536_2371536
watchi . 2371537_2373786
door . 2375586_2378586
doori . 2378587_2381586
bridge . 2384336_2387336
bridgei . 2394086_2397086
off . 2410790_2413790
offi . 2427040_2430040
moth . 2549819_2552819
mothi . 2556719_2559719
robe . 2567320_2569125
robei . 2569375_2572375
tooth . 2576625_2579625
toothi . 2581125_2584125
van . 2589179_2592179
vani . 2594729_2597729
web . 2598579_2601579
webi . 2603129_2606129
mouth . 2608679_2611679
mouthi . 2612279_2615279
wish . 2637828_2640828
wishi . 2641378_2644378
stove . 2652028_2655028
stovei . 2655078_2658078
cage . 2663578_2666578
cagei . 2667578_2670578
spring . 2682677_2685677
springi . 2686877_2689877
goat . 2690277_2693277
goati . 2695277_2698277
laughing . 3531099_3534099
laugh . 3534100_3537000
flying . 3541501_3543750
fly . 3557900_3560900
running . 3561250_3564250
run . 3564251_3566150
hugging . 3566550_3569550
hug . 3573400_3576400
smiling . 3585699_3588699
smile . 3588700_3591549
splashing . 3593949_3596949
splash . 3598599_3601599
blow . 3619399_3622399
blowing . 3622400_3624149
skating . 3627949_3630949
skate . 3630950_3633949
breaking . 3643498_3646498
break . 3646499_3648903
swinging . 3793931_3796931
swing . 3797081_3800081
buzz . 3807780_3810780
buzzing . 3810880_3813880
catching . 3816880_3819880
catch . 3822730_3825730
kissing . 3833280_3836280
kiss . 3836281_3839280
riding . 3841330_3844330
ride . 3847180_3850180
rubbing . 3851430_3854430
rub . 3857029_3860029
shaving . 3860679_3863679
shave . 3863829_3866829
coughing . 3870229_3873229
cough . 3873929_3876929
crashing . 3878729_3881729
crash . 3881730_3884529
swimming . 4366192_4369192
swim . 4369193_4371742
falling . 4377841_4380841
fall . 4380842_4383441
singing . 4387091_4390091
sing . 4392341_4395341
sleeping . 4396541_4399541
sleep . 4399542_4402393
digging . 4404343_4407343
dig . 4407344_4409843
raining . 4414943_4417943
rain . 4418293_4421293
hissing . 4424242_4427242
hiss . 4427243_4429442
climbing . 4436837_4439837
climb . 4439838_4442042
stirring . 4445942_4448942
stir . 4449392_4452392
raking . 4456492_4459492
rake . 4461192_4464192
reading . 4470742_4473742
read . 4473792_4476792
driving . 4486141_4489141
drive . 4489191_4492191
throwing . 4497991_4500991
throw . 4500992_4503791
snow . 4506391_4509391
snowing . 4510991_4513991
