# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD28/050709.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
bath .
bathi .
zebra . 54395_55672
zoo . 58107_59319
brush . 62553_63655
blue . 65162_65918
shark . 74532_76079
teeth . 78592_80169
feather . 86638_88025
green . 89949_91818
shovel . 96698_98078
this . 100425_101848
there . 103641_104633
guitar . 114796_115942
stretch . 124693_126131
mother . 137518_139289
father . 149078_150202
behind . 152331_153576
yes . 155682_156412
you . 157196_158032
present . 159679_161256
thankyou . 169376_170697
please . 190500_192004
flower . 194862_196548
vase . 199201_200624
nail . 209135_210317
hammer . 213430_214870
hanger . 218406_220355
nothing . 222877_224067
ladder . 232755_233906
rabbit . 240157_241040
other . 244010_245015
magician . 252635_253993
rocket . 258139_259307
space . 261400_263145
teacher . 273530_274968
finger . 277504_280504
thirsty . 288170_289630
twins . 306462_307812
them . 311141_312243
zipper . 317032_318287
shower . 320903_323903
theirs . 331773_333620
thunder . 345520_347381
treehouse . 357154_359103
cob . 375909_378522
these . 384911_385729
drum . 389763_391887
water . 401816_403071
zero . 408952_411952
ttree . 416266_417040
brother . 434199_435316
frenchfries . 439972_441249
crayons . 459792_461201
grapes . 462603_465603
slippers . 467867_469152
thermometer . 472153_475153
thumb . 813350_814805
thumbi . 819678_821430
frog . 823410_824877
frogi . 825881_827112
cari . 829222_830375
car . 833978_834910
train . 847004_848435
traini . 851194_852369
square . 876088_877190
squarei . 878420_880139
ring . 882425_883899
ringi . 884924_886103
doori . 888875_889699
door . 889854_890613
bridge . 892417_893369
bridgei . 893600_894722
moth . 897517_898721
mothi . 898722_899888
robe . 905447_906491
robei . 906357_907856
tooth . 909533_910662
toothi . 911785_912579
mouth . 921523_923187
mouthi . 925227_926504
spring . 929607_930892
springi . 931424_932682
run . 945652_946630
running . 948719_950201
break . 952040_953814
breaking . 960672_961927
riding . 972213_973243
ride . 973125_974731
rubbing . 977647_978468
rub . 978622_979600
crash . 981329_982767
crashing . 984385_986078
rain . 989476_990585
raining . 991641_993143
stir . 995130_996415
stirring . 997616_998814
rake . 1035577_1036219
raking . 1036219_1037045
read . 1044414_1045472
reading . 1045622_1046443
driving . 1052109_1055109
drive . 1057014_1058437
throw . 1060536_1061799
throwing . 1063953_1065033
