# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD13/030918.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
glasses . 7001_10001
ghost . 12005_15005
six . 22655_25655
vacuum . 32003_35003
elephant . 36805_39805
zebra . 40605_43605
zoo . 44304_47304
brush . 47305_50105
blue . 50205_53205
plate . 58055_61055
knife . 62954_65954
shark . 66000_69000
teeth . 70405_73405
feather . 76655_79655
green . 88055_91055
vanilla . 104055_107055
shovel . 110855_113855
this . 114305_117305
there . 119650_122650
yoyo . 131000_134000
guitar . 134255_137255
lemon . 138155_141155
yellow . 141705_144705
stretch . 149555_152555
popcorn . 155352_158352
mother . 162955_165955
father . 166405_169405
behind . 171154_174154
yes . 174155_176650
you . 176651_178601
present . 179154_182154
thankyou . 185905_188905
please . 193155_196155
strawberry . 198655_201655
snail . 203152_206152
beehive . 208105_211105
chicken . 212150_215150
cloud . 219350_222350
flower . 232305_235305
vase . 241803_244803
music . 246555_249555
sock . 480880_483880
jeep . 491126_494126
doll . 495375_498375
game . 500276_503276
nail . 508281_511281
hanger . 515229_518229
nothing . 519181_522181
ladder . 525681_528681
magician . 542081_545081
rabbit . 549677_552677
other . 562181_565181
rocket . 566181_569181
space . 574831_577831
ocean . 579377_582377
teacher . 583881_586881
finger . 592481_595481
wagon . 607481_610481
chair . 626527_629527
thirsty . 631831_634831
queen . 699837_702837
twins . 704087_707087
them . 708508_711508
zipper . 713187_716187
pig . 716188_718687
screw . 723137_726137
shower . 729387_732387
theirs . 734936_737936
thunder . 740186_743186
vest . 745935_748935
treehouse . 798537_801537
cob . 808187_811187
those . 815536_818536
sun . 821732_824732
pie . 824733_827285
drum . 831286_834286
water . 836185_839185
toes . 842236_845236
twelve . 859336_862336
zero . 867884_870884
gum . 874431_877431
three . 880086_883086
judge . 884881_887881
jelly . 895482_898482
brother . 903481_906481
skunk . 918536_921536
noise . 926632_929632
quiet . 931086_934086
shoes . 934986_937986
zipping . 988132_991132
crayons . 1002436_1005436
grapes . 1005437_1008281
slippers . 1012686_1015686
