# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/PaidoEnglish/2b/e2bt24f111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
shore . 79402_81333
ship 85740_86664
sodas . 98417_100368
deer . 104162_105498
cougar . 112705_114391
quake . 118102_120222
chute . 125742_127298
tail . 163487_164978
toast . 183780_185438
choose . 190049_191499
choose . 197419_199211
sheep . 204322_206059
chalkboard . 211557_213930
suitcase . 221642_223077
suitcase . 224345_225764
same . 241828_243757
chores . 249039_251031
chores . 256218_258470
giving . 268351_269872
tube . 276195_278388
tall . 284526_286217
tall . 291832_293263
tweezers . 298644_300517
chop . 304444_307192
show . 336085_337927
sugar . 380238_381785
dolphin . 387387_388718
golf . 394193_395460
golf . 405003_406455
gift . 410421_411886
gift . 414362_415501
gift . 416263_418199
gift . 424001_425252
ditch . 434529_436285
ditch . 444839_446400
ditch . 454045_455329
ditch . 470339_470956
ditch . 471982_474802
ditch . 484632_485706
ditch . 487082_488410
ditch . 496159_497420
ditch . 503894_505259
duke . 519178_521007
duke . 533328_533956
duke . 534722_535432
soccer . 598669_600164
color . 606367_607826
shape . 643971_645870
donut . 683689_685303
deck . 689518_692080
deck . 699509_700754
chewing . 704729_706234
chewing . 710970_712974
chewing . 719186_720151
chewing . 721289_722784
thimble . 742185_744426
thimble . 752685_753681
thimble . 754690_755817
thimble . 763630_764687
thimble . 765638_767069
cake . 772113_773438
cake . 789540_790778
cube . 795190_797152
cube . 801176_802819
dude . 806512_807664
dude . 817088_818474
checkers . 836883_838457
tepee . 888142_889282
tepee . 896731_898272
tepee . 900862_901769
tepee . 902508_903712
tent . 908606_910274
tent . 915988_917290
chimney . 941686_943415
cocoa . 947931_949290
dove . 993854_997482
dove . 1005171_1007105
dove . 1010734_1011736
dove . 1013446_1014692
dove . 1015429_1016522
dove . 1018644_1020216
dove . 1024566_1025758
shovel . 1032854_1034430
quilt . 1046511_1048003
quilt . 1060708_1062037
seashore . 1070594_1072132
kicking . 1093844_1095113
kicking . 1099305_1100593
shepherd . 1106339_1108279
shepherd . 1121296_1123141
shepherd . 1127189_1128685
thinking . 1158821_1160770
thinking . 1163978_1165687
thinking . 1167097_1168878
thinking . 1179726_1181861
chips . 1322120_1323455
quick . 1337951_1340374
quick . 1343823_1345246
twisted . 1349384_1351278
twisted . 1352129_1353329
twisted . 1355772_1357429
twisted . 1360361_1362034
cookie . 1365829_1366740
cookie . 1366823_1367953
cute . 1398219_1400206
cute . 1404379_1405735
cute . 1411125_1412558
shark . 1418287_1420023
shark . 1434993_1436543
shark . 1439395_1441066
ketchup . 1465120_1467173
ketchup . 1480074_1482076
ketchup . 1484916_1486512
ketchup . 1488015_1489272
