# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD01/061012.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
blow .
blowing .
glasses . 84752_87752
zebra . 96011_99237
zoo . 99550_102550
brush . 108700_111700
blue . 113250_116250
shark . 130100_133983
teeth . 134502_137502
feather . 141354_144354
green . 145800_148800
shovel . 153352_156352
that . 167501_170501
there . 171901_174901
guitar . 178301_181301
stretch . 193501_196501
popcorn . 203500_206500
mother . 216400_219400
father . 219401_222200
behind . 225950_228950
yes . 233600_236600
you . 237100_240100
present . 242400_245400
thankyou . 249150_252150
please . 258592_260650
strawberry . 263352_266352
chicken . 275163_278667
vase . 286730_287809
flower . 295703_298703
jeep . 308504_311504
hammer . 319867_322831
nail . 324151_327151
hanger . 334751_337751
nothing . 342251_345251
ladder . 346501_349501
magician . 364623_369951
rabbit . 372953_375953
other . 376953_379953
rocket . 389750_392750
space . 399250_402250
ocean . 408750_411750
teacher . 415000_418000
finger . 422250_425250
chair . 429000_432000
thirsty . 449250_452250
twins . 458849_461849
them . 468104_471104
zipper . 476554_479554
screw . 482904_485904
shower . 497919_502737
theirs . 623203_626203
thunder . 641852_644852
treehouse . 669253_672253
drum . 676003_679003
water . 683802_686802
zero . 696448_700200
three . 707683_711114
judge . 717500_720500
jelly . 727900_730900
brother . 735500_738500
frenchfries . 744150_747150
noise . 754450_757450
quiet . 760250_763250
shoes . 765352_768352
crayons . 776091_779613
grapes . 784501_787501
slippers . 790701_793701
jumproping . 802201_805201
princess . 813401_816401
thermometer . 825600_828600
chain . 838905_843230
fish . 855101_858101
fishi . 868601_871601
frog . 875800_878800
frogi . 878801_880900
car . 882800_885800
cari . 886700_889700
glove . 893200_896200
glovei . 897750_900750
chalk . 905800_908800
chalki . 910450_913450
juice . 922700_925700
juicei . 926900_929900
witch . 934200_937200
witchi . 937250_940250
badge . 950550_953550
badgei . 954550_957550
nose . 962100_965100
nosei . 965101_967600
train . 971850_974850
traini . 975350_978350
page . 1316431_1319431
pagei . 1319432_1322381
cheese . 1326081_1329081
cheesei . 1329082_1331481
square . 1340281_1343281
squarei . 1354731_1357731
peach . 1368281_1371281
peachi . 1372981_1375981
ring . 1383781_1386781
ringi . 1386782_1389081
watch . 1395681_1398681
watchi . 1398880_1401880
door . 1403530_1406530
doori . 1406531_1409080
bridge . 1412580_1415580
bridgei . 1417508_1421959
robe . 1449003_1452003
robei . 1453703_1456703
wish . 1495553_1498553
wishi . 1499103_1502103
cage . 1507603_1510603
cagei . 1510604_1513353
spring . 1517603_1520603
springi . 1520604_1523353
running . 1532749_1535749
run . 1535854_1538854
splashing . 1545566_1548639
splash . 1549681_1552681
breaking . 1558083_1561083
break . 1562032_1565032
buzz . 1567532_1570532
buzzing . 1574032_1577032
catch . 1580037_1583037
catching . 1583387_1586387
riding . 1593337_1596337
ride . 1601887_1604887
rubbing . 1611400_1614400
rub . 1614500_1617500
shave . 1622750_1625750
shaving . 1625751_1628551
crashing . 1646285_1647993
crash . 1650688_1651834
raining . 1655603_1658603
rain . 1662403_1665403
stirring . 1673403_1676403
stir . 1680003_1683003
rake . 1687003_1690003
raking . 1691153_1694153
reading . 1699752_1702752
read . 1702753_1705103
driving . 1709000_1712000
drive . 1713050_1716050
throwing . 1720300_1723300
throw . 1723550_1726550
