# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD11/040704.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
stovei .
falling .
glasses . 2401_5401
ghost . 5402_8300
six . 17351_19050
vacuum . 32150_35150
elephant . 36500_39500
zebra . 41250_44250
zoo . 45000_48000
brush . 48300_51300
blue . 56300_59300
plate . 64050_67050
knife . 67099_70099
shark . 71099_74099
teeth . 81404_84404
feather . 84405_87204
green . 87205_89154
vanilla . 96805_98454
shovel . 99204_102204
this . 106353_109353
there . 109354_111303
yoyo . 111304_113853
guitar . 113953_116953
lemon . 118803_121803
yellow . 121953_124953
stretch . 127804_130353
popcorn . 130354_131453
mother . 132203_135203
father . 135204_136903
behind . 149253_152253
yes . 152403_155403
you . 155404_156853
present . 156854_159602
thankyou . 159603_160802
please . 163452_166452
strawberry . 199552_202552
snail . 202752_205752
beehive . 206502_209502
chicken . 211001_214001
cloud . 214701_217701
flower . 217702_219651
vase . 219701_222701
music . 222702_225701
sock . 225702_228051
jeep . 229701_232701
doll . 232702_233851
game . 233852_235901
nail . 238951_241252
hanger . 241252_244252
nothing . 244253_245402
ladder . 245403_246952
magician . 246953_249002
rabbit . 255052_258052
other . 262102_265102
rocket . 268852_271852
space . 271853_274852
ocean . 274853_277602
teacher . 279352_282352
finger . 288102_291102
wagon . 291651_294651
chair . 299456_302456
thirsty . 302457_305256
queen . 306006_309006
twins . 309007_311706
them . 313606_316606
zipper . 319656_322656
pig . 322657_324705
screw . 325105_328105
shower . 328106_330405
theirs . 336055_339055
thunder . 342755_345755
vest . 353405_356405
treehouse . 363105_366105
cob . 366605_369605
these . 373504_376504
sun . 383204_386204
pie . 386205_387904
drum . 387905_390704
water . 391654_394654
toes . 407854_410854
twelve . 417804_420804
zero . 421204_424204
gum . 426853_429853
three . 429854_431953
judge . 439554_442554
jelly . 685090_688090
brother . 692090_695090
frenchfries . 695490_698490
skunk . 702740_705740
noise . 711639_714639
quiet . 717489_720489
shoes . 723139_726139
zipping . 726339_729339
crayons . 730589_733589
grapes . 733590_735839
slippers . 738189_741189
jumproping . 742189_745189
light . 746389_749389
spoon . 749390_752139
yawn . 753589_756589
princess . 756590_759089
smoke . 767438_770438
thermometer . 774038_777038
mop . 777488_780488
chain . 784238_787238
soap . 790188_793188
soapi . 796938_799938
fish . 839837_842837
fishi . 842838_844037
bath . 844038_845687
bathi . 845688_846587
tub . 846588_848587
tubi . 848588_849787
thumb . 851037_854037
thumbi . 854038_855787
frog . 876236_879236
frogi . 882287_885286
car . 885287_886786
cari . 886787_887836
leaf . 887837_889086
leafi . 889087_889836
glove . 889837_892586
glovei . 892587_893836
chalk . 896586_899586
chalki . 900586_903586
juice . 913586_916586
juicei . 916587_918086
cup . 918087_920135
cupi . 920136_921190
witch . 921191_923390
witchi . 932590_935590
hat . 940441_943440
hati . 943441_944240
badge . 944241_946840
badgei . 959490_962490
nose . 963190_966190
nosei . 967939_970939
hill . 970940_973739
hilli . 973740_976289
train . 981139_984139
traini . 984140_986189
mud . 986190_988939
mudi . 988940_990889
page . 990890_993589
