# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/040909.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
throwing .
brush . 703_3703
blue . 5804_8804
shark . 8805_11054
teeth . 11204_14204
feather . 15451_18451
green . 18452_21001
shovel . 21450_24450
this . 25051_28051
there . 28052_30001
stretch . 31302_34302
mother . 39002_42002
father . 42003_44853
behind . 46153_49153
yes . 49154_51203
you . 51204_53253
strawberry . 54353_57353
chicken . 63454_66454
jeep . 70849_73849
hanger . 74849_77849
nothing . 80600_83600
magician . 85550_88550
rabbit . 88551_90901
other . 90951_93951
ocean . 97201_100201
teacher . 101052_104052
finger . 113752_116752
chair . 116902_119902
thirsty . 120953_123953
twins . 125999_128999
them . 131052_134052
screw . 139302_142302
shower . 145852_148852
theirs . 151898_154898
thunder . 164350_167350
treehouse . 169400_172400
drum . 172550_175550
twelve . 181801_184801
three . 185501_188501
judge . 192252_195252
jelly . 203053_206053
brother . 208053_211053
frenchfries . 211549_214549
shoes . 214550_217549
jumproping . 220300_223300
thermometer . 225699_228699
mop . 235951_238951
chain . 239451_242451
fish . 242452_245302
fishi . 255203_258203
bath . 258553_261553
bathi . 261554_262899
thumb . 263899_266899
thumbi . 266900_268399
chalk . 268999_271999
chalki . 272000_273749
juice . 275099_278099
juicei . 278100_279799
witch . 279800_282050
witchi . 282051_283800
badge . 291701_294701
badgei . 295401_298401
train . 308102_311102
traini . 311103_312552
page . 312553_315298
pagei . 317298_320298
cheese . 321299_324299
cheesei . 325849_328849
square . 333350_336350
squarei . 336351_338950
peach . 344351_347351
peachi . 347352_349902
watch . 349903_352652
watchi . 352653_354102
bridge . 355902_358902
bridgei . 395951_398951
moth . 408502_411502
mothi . 411503_413898
tooth . 416549_419549
toothi . 419550_421299
mouth . 421450_424450
mouthi . 424451_425900
wish . 427401_430401
wishi . 430402_433301
cage . 434651_437651
cagei . 438201_441201
splash . 443651_446651
splashing . 453848_456848
catch . 456849_459503
catching . 464299_467299
shave . 468299_471299
shaving . 472450_475450
crash . 475899_478899
crashing . 485000_488000
digging . 489051_492051
dig . 500652_503652
driving . 504849_507849
drive . 507850_509901
throw . 511551_514551
