# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/031112.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
zebra .
zoo . 91539_94539
brush . 97310_100310
blue . 109260_112260
shark . 113512_116512
teeth . 123062_126062
feather . 128162_131162
green . 139260_142260
popcorn . 197462_200462
strawberry . 203362_206362
chicken . 207711_210711
flower . 213711_216711
vase . 216712_219112
jeep . 219711_222711
hammer . 222712_224789
nail . 224790_227539
hanger . 227789_230789
nothing . 230790_233390
ladder . 233440_236440
rabbit . 236890_239890
other . 239940_242940
rocket . 246189_249189
space . 249190_251589
teacher . 252890_255890
finger . 255891_258589
chair . 258839_261839
zipper . 261840_264589
screw . 264590_267539
shower . 268640_271640
thunder . 272989_275989
treehouse . 283289_286289
water . 313989_316989
toes . 317539_320539
zero . 320790_323790
three . 325890_328890
judge . 328940_331940
jelly . 571860_574860
brother . 581060_584060
shoes . 585109_588109
grapes . 591310_594310
slippers . 594311_596710
jumping . 598360_601360
princess . 609360_612360
thermometer . 618822_621460
fish . 621460_624460
fishi . 624461_626410
bath . 626411_628909
bathi . 628910_630959
thumb . 630960_633459
thumbi . 633460_635659
frog . 636160_639160
frogi . 641059_644059
car . 644109_647109
cari . 647110_649010
leaf . 649011_651310
leafi . 651311_653260
chalk . 653610_656610
chalki . 656611_658661
juice . 658662_661459
juicei . 661460_664159
witch . 664160_666561
witchi . 666562_669061
train . 669859_672859
traini . 672860_674810
page . 675260_678260
pagei . 678261_680411
cheese . 680412_683161
cheesei . 683162_685760
square . 685761_688559
squarei . 688560_691010
peach . 691011_693411
peachi . 693412_695910
ring . 695911_698560
ringi . 698561_700159
watch . 700209_703209
watchi . 703210_705859
door . 705860_708311
doori . 708312_709961
bridge . 710659_713659
bridgei . 730159_733159
robe . 733160_736110
robei . 736111_738311
run . 738312_740910
running . 740911_742609
break . 743151_746151
breaking . 748799_751799
catch . 751849_754849
catching . 754850_756799
ride . 756800_759450
riding . 759451_761149
rub . 761150_763899
rubbing . 763900_765999
shave . 767399_770399
shaving . 770400_772951
rain . 772952_775750
raining . 775751_777899
stir . 777900_780050
stirring . 781499_784499
rake . 784500_787449
read . 810999_813999
reading . 814000_815350
drive . 815650_818650
driving . 818651_820450
