# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD21/041027.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
other .
glasses . 54693_56343
ghost . 58544_60055
six . 69045_69906
vacuum . 72550_74017
elephant . 75422_77137
zebra . 79015_81752
zoo . 83891_85380
brush . 87701_89212
blue . 91726_92828
plate . 98146_100110
knife . 102263_103482
shark . 105243_106520
teeth . 108726_109945
feather . 112791_113966
green . 117419_118689
vanilla . 123688_125235
shovel . 130821_131989
this . 133556_134718
there . 139310_140967
yoyo . 143372_145168
guitar . 145788_148399
yellow . 156091_157193
lemon . 162485_163543
stretch . 173391_175515
popcorn . 177369_178646
mother . 183313_184328
father . 192228_193447
behind . 211148_212433
yes . 213654_214379
you . 215613_216367
present . 217430_218724
thankyou . 221437_223021
please . 227281_228661
strawberry . 232803_235803
snail . 253207_256258
beehive . 265575_266845
chicken . 282675_283558
cloud . 291847_293278
flower . 295395_297621
vase . 301480_302721
music . 308054_309273
sock . 646691_649691
jeep . 653442_656442
doll . 657814_658938
game . 668342_669276
hammer . 670605_671590
nail . 672019_674121
hanger . 675123_676211
nothing . 678056_679278
ladder . 679465_680959
rabbit . 684504_685736
magician . 687807_689406
rocket . 700984_702385
space . 707669_708727
ocean . 710626_711577
teacher . 714874_716889
finger . 725671_726897
wagon . 735112_736258
chair . 739760_742891
thirsty . 749841_751104
queen . 755765_757261
twins . 763326_764494
them . 767354_768653
zipper . 789195_790385
pig . 806254_807349
screw . 811011_813712
shower . 818649_819649
theirs . 821922_823280
thunder . 827616_828861
vest . 836315_837264
treehouse . 839994_841213
cob . 849030_849957
these . 851223_852249
sun . 855958_857060
pie . 866349_867152
drum . 869617_870646
water . 872290_873407
toes . 886528_887776
twelve . 905453_906132
zero . 913769_914674
gum . 920535_921491
three . 925294_926221
judge . 933894_935201
jelly . 945346_946361
brother . 957149_958302
frenchfries . 959396_960929
skunk . 963479_964377
noise . 966492_967655
quiet . 970353_971565
shoes . 973850_974660
zipping . 980382_981491
crayons . 984609_985806
grapes . 989825_990964
slippers . 992881_993850
jumping . 995910_997815
light . 1001675_1002777
spoon . 1005138_1006109
yawn . 1031135_1031821
princess . 1040377_1041742
smoke . 1044801_1045692
thermometer . 1049795_1052795
mop . 1065099_1066143
chain . 1069690_1070851
soapi . 1335069_1335458
soap . 1335458_1336143
fish . 1336891_1337894
fishi . 1339246_1340632
bath . 1345374_1346600
bathi . 1356186_1357719
tub . 1359221_1360004
tubi . 1361068_1362004
thumb . 1364225_1364984
thumbi . 1366376_1367419
frog . 1374580_1375200
frogi . 1375200_1375994
car . 1376077_1376764
cari . 1376702_1378290
leafi . 1379450_1380269
leaf . 1380269_1380939
glove . 1382250_1382611
glovei . 1382611_1383583
chalk . 1384628_1385687
chalki . 1385687_1386288
juice . 1388687_1389686
juicei . 1389686_1390192
cup . 1394348_1394808
cupi . 1397317_1398485
witch . 1410164_1411494
witchi . 1411494_1411974
hat . 1415258_1415890
hati . 1415890_1416452
badge . 1421635_1422920
badgei . 1423971_1425577
nose . 1426187_1428186
nosei . 1430186_1433186
hill . 1443216_1444471
hilli . 1445484_1446763
train . 1452103_1453340
traini . 1453262_1455035
mud . 1458194_1459289
mudi . 1458987_1459486
page . 1481115_1482662
pagei . 1482288_1484787
dog . 1487362_1488282
dogi . 1488282_1488912
bed . 1490834_1491198
bedi . 1491198_1492079
cheesei . 1494242_1496255
cheese . 1496255_1499293
squarei . 1516798_1517843
square . 1517843_1518770
comb . 1521994_1522184
combi . 1522184_1523484
ice . 1529475_1530636
icei . 1530636_1531010
peach . 1537140_1538074
peachi . 1541924_1543851
duck . 1544152_1544713
ducki . 1544713_1545494
ring . 1567679_1570526
ringi . 1571527_1572509
watch . 1575017_1575696
watchi . 1575653_1576196
door . 1576722_1577479
doori . 1577197_1577989
bridgei . 1583894_1584902
bridge . 1584902_1585968
off . 1597947_1598429
offi . 1598631_1599466
moth . 1601953_1602605
mothi . 1602314_1603443
robe . 1616102_1616821
robei . 1616821_1617647
tooth . 1626517_1627075
toothi . 1627075_1628071
van . 1630577_1631038
vani . 1631038_1632287
web . 1647704_1648088
webi . 1648088_1648837
mouth . 1650936_1652337
mouthi . 1652337_1653367
wish . 1655610_1656260
wishi . 1655763_1657327
stove . 1658230_1658750
stovei . 1658750_1659647
cage . 1661598_1662496
cagei . 1662496_1663852
spring . 1674054_1674799
springi . 1674799_1675641
goat . 1685465_1686326
goati . 1687439_1688634
laugh . 1975909_1976675
laughing . 1976231_1978217
fly . 1980323_1981042
flying . 1980987_1982086
run . 2009443_2010370
running . 2010370_2010872
hug . 2014987_2015454
hugging . 2015208_2016482
smile . 2025482_2026438
smiling . 2026438_2027220
splash . 2035385_2036246
splashing . 2035944_2037093
blow . 2038415_2039121
blowing . 2039042_2040369
skate . 2051626_2052538
skating . 2052244_2053343
break . 2059767_2060533
breaking . 2060216_2062438
swing . 2084023_2084935
swinging . 2084935_2086036
buzzing . 2088048_2088943
buzz . 2088943_2089783
catch . 2299151_2299665
catching . 2299665_2300678
kiss . 2421204_2421205
kissing . 2421205_2422831
riding . 2424929_2425638
ride . 2425638_2426304
rub . 2476605_2477342
rubbing . 2477342_2478384
shave . 2491221_2492140
shaving . 2492140_2492938
cough . 2495305_2495881
coughing . 2495881_2496709
crash . 2499243_2499860
crashing . 2499860_2501003
swimming . 2501764_2502377
swim . 2502377_2503113
fall . 2506977_2508028
falling . 2507799_2508798
sing . 2517616_2518798
singing . 2518798_2519522
sleep . 2541257_2542199
sleeping . 2542199_2543351
dig . 2544943_2545571
digging . 2545571_2546286
rain . 2553435_2554253
raining . 2553902_2555250
hiss . 2561645_2562360
hissing . 2561861_2563426
climb . 2565634_2568831
climbing . 2568658_2569586
stir . 2571562_2572088
stirring . 2572088_2572677
rake . 2573593_2574120
raking . 2574058_2575036
read . 2577710_2580644
reading . 2580452_2583351
drive . 2590120_2593244
driving . 2593052_2594251
throw . 2594252_2595751
throwing . 2595318_2595912
snow . 2598288_2599236
snowing . 2598896_2599693
