# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/041115.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
riding .
glasses . 3253_6253
ghost . 6254_9149
six . 11350_14350
vacuum . 14351_16850
elephant . 16851_19850
zebra . 24401_27401
zoo . 27402_30251
brush . 30951_33951
blue . 33952_35701
plate . 37451_40451
knife . 40452_42999
shark . 43000_45249
teeth . 46249_49249
feather . 54350_57350
green . 57801_60801
vanilla . 62951_65951
shovel . 65952_68605
this . 79151_82151
there . 82152_84351
yoyo . 84401_87401
guitar . 87402_90302
lemon . 90652_93652
yellow . 93653_95702
stretch . 96853_99853
popcorn . 102303_105303
mother . 108305_111305
father . 111306_114104
behind . 115304_118304
yes . 118305_120000
you . 120001_122000
present . 124250_127250
thankyou . 129001_132001
please . 133101_136101
strawberry . 136152_139152
snail . 139852_142852
beehive . 144453_147453
chicken . 152904_155904
cloud . 162153_165153
flower . 169654_172654
vase . 172800_175800
music . 175951_178951
sock . 178952_181501
jeep . 182501_185501
doll . 187501_190501
game . 190502_193452
nail . 193453_195404
hammer . 195405_197404
hanger . 198353_201353
nothing . 202004_205004
ladder . 209600_212600
magician . 213100_216100
rabbit . 216651_219651
other . 219652_222001
rocket . 223051_226051
space . 226602_229602
ocean . 230652_233652
teacher . 236252_239252
finger . 249804_251804
wagon . 251954_254954
chair . 255550_258550
thirsty . 263401_266401
queen . 268201_271201
twins . 272452_275452
them . 275752_278752
zipper . 281302_284302
pig . 285102_288102
screw . 288453_291453
shower . 292753_295753
theirs . 295854_298854
thunder . 306355_309355
vest . 310851_313851
treehouse . 314202_317202
cob . 317203_319852
sun . 319853_322402
pie . 323453_326453
drum . 327402_330402
water . 330453_333453
toes . 335453_338453
twelve . 339454_342454
zero . 344654_347654
gum . 347955_350955
three . 650041_653041
judge . 658942_661942
jelly . 671492_674492
brother . 676093_679093
fries . 679094_681343
skunk . 682544_685544
noise . 686294_689294
quiet . 689595_692595
shoes . 696544_699544
zipping . 706692_709192
crayons . 710542_713542
grapes . 718993_721993
slippers . 751245_754245
jumproping . 755391_758391
light . 758441_761441
spoon . 763342_766342
yawn . 767342_770342
princess . 771092_774092
smoke . 778643_781643
thermometer . 785843_788843
mop . 790693_793693
chain . 795794_798794
soap . 800644_803644
soapi . 804595_807595
fish . 807596_809595
fishi . 809596_810996
bath . 810997_812996
