# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD13/030229.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
ghost . 9301_12301
six . 18855_21855
vacuum . 26805_29805
elephant . 31605_34605
zebra . 39055_42055
zoo . 44305_47305
brush . 50153_53153
blue . 61755_64755
plate . 67655_70655
knife . 73955_76955
shark . 79302_82302
teeth . 84955_87955
feather . 94852_97852
green . 103205_106205
vanilla . 118953_121953
shovel . 125205_128205
this . 130664_133664
there . 153718_156718
yoyo . 162616_165616
guitar . 172764_175764
lemon . 187418_190418
yellow . 191018_194018
stretch . 196718_199718
popcorn . 202867_205867
mother . 212368_215368
father . 282696_285696
behind . 298046_301046
yes . 303061_306061
you . 308408_311408
present . 312656_315656
thankyou . 327761_330761
please . 332111_335111
strawberry . 336611_339611
snail . 343711_346711
beehive . 352158_355158
chicken . 356611_359611
cloud . 363261_366261
flower . 369661_372661
vase . 372908_375908
music . 382060_385060
sock . 388962_389162
jeep . 400563_403563
doll . 410865_413865
game . 416715_419715
hammer . 426015_429015
nail . 429615_432615
hanger . 434615_437615
nothing . 444260_447260
ladder . 450765_453765
magician . 455960_458960
rabbit . 463215_466215
other . 480515_483515
rocket . 490465_493465
space . 495960_498960
ocean . 507265_510265
teacher . 515565_518565
finger . 525365_528365
wagon . 533762_536762
chair . 537715_540715
thirsty . 546065_549065
queen . 1160963_1163963
twins . 1167417_1170417
them . 1175963_1178963
zipper . 1183516_1186516
pig . 1189766_1192766
screw . 1194617_1197617
shower . 1199167_1202167
theirs . 1204567_1207567
thunder . 1211267_1214267
vest . 1215466_1218466
treehouse . 1223367_1226367
cob . 1228265_1231265
these . 1235717_1238717
sun . 1239967_1242967
pie . 1244417_1247417
drum . 1247418_1250115
water . 1255065_1258065
toes . 1265767_1268767
twelve . 1280067_1283067
zero . 1296917_1299917
gum . 1304917_1307917
three . 1310617_1313617
judge . 1322313_1325313
jelly . 1330017_1333017
brother . 1349817_1352817
skunk . 1390717_1393717
noise . 1397617_1400617
quiet . 1404067_1407067
shoes . 1410117_1413117
zipping . 1415312_1418312
crayons . 1424113_1427113
grapes . 1428267_1431267
slippers . 1432264_1435264
jumproping . 1435917_1438917
light . 1443417_1446417
spoon . 1453766_1456766
yawn . 1457767_1460767
princess . 1461715_1464715
smoke . 1469067_1472067
thermometer . 1478164_1481164
mop . 1484313_1487313
chain . 1488267_1491267
soap . 1546448_1549448
soapi . 1549453_1552453
fish . 1553003_1556003
fishi . 1557853_1560853
bath . 1562099_1565099
bathi . 1565453_1568453
tub . 1568500_1571500
tubi . 1571501_1573749
thumb . 1574353_1577353
thumbi . 1577354_1580203
frog . 1580303_1583303
frogi . 1583853_1586853
car . 1587253_1590253
cari . 1601501_1604501
leaf . 1606253_1609253
leafi . 1609703_1612703
glove . 1613903_1616903
glovei . 1618102_1621102
chalk . 1628150_1631150
chalki . 1635399_1638399
juice . 1639803_1642803
juicei . 1644649_1647649
cup . 1647803_1650803
cupi . 1650804_1653303
witch . 1779613_1782613
witchi . 1783963_1786963
hat . 1794763_1797763
hati . 1800210_1803210
badge . 1805460_1808460
badgei . 1808763_1811763
nose . 1819213_1822213
nosei . 1822214_1824963
hill . 1826213_1829213
hilli . 1829214_1831813
train . 1833761_1836761
traini . 1837109_1840109
mud . 1840110_1842859
mudi . 1842860_1844513
page . 1847263_1850263
pagei . 1850663_1853663
dog . 1854262_1857262
dogi . 1857263_1858713
bed . 1862013_1865013
bedi . 1865014_1866963
cheese . 1868613_1871613
cheesei . 1871614_1874163
square . 1883010_1886010
squarei . 1886813_1889813
comb . 1891509_1894509
combi . 1894510_1896958
ice . 1918758_1921758
icei . 1921759_1923709
peach . 1923863_1926863
peachi . 1926864_1929410
duck . 1930009_1933009
ducki . 1933010_1935513
ring . 1951463_1954463
ringi . 1954464_1957309
watch . 1964463_1967463
watchi . 1967464_1970462
door . 1971013_1974013
doori . 1974113_1977113
bridge . 1993013_1996013
bridgei . 1998859_2001859
off . 2590899_2593899
offi . 2593900_2596353
moth . 2600203_2603203
mothi . 2605453_2608453
robe . 2610751_2613751
robei . 2613752_2616200
tooth . 2616201_2618899
toothi . 2618900_2621703
van . 2621704_2624548
vani . 2626653_2629653
web . 2629654_2632403
webi . 2632404_2634348
mouth . 2634353_2637353
mouthi . 2637354_2639949
wish . 2639950_2642349
wishi . 2642350_2644553
stove . 2644851_2647851
stovei . 2651248_2654248
cage . 2654853_2657853
cagei . 2658503_2661503
spring . 2662198_2665198
springi . 2665447_2668447
goat . 2670253_2673253
goati . 2673254_2675553
laugh . 2677103_2680103
laughing . 2680104_2683053
fly . 2684001_2687001
flying . 2687503_2690503
run . 2690504_2692748
running . 2692749_2695253
hug . 2695352_2698352
hugging . 2698353_2701153
smile . 2701553_2704553
smiling . 2706903_2709903
splash . 2713653_2716653
splashing . 2716998_2719998
blow . 2720303_2723303
blowing . 2723304_2725803
skate . 2725849_2728849
skating . 2728850_2731803
break . 2731804_2734603
breaking . 2734604_2736898
swing . 2736953_2739953
swinging . 2740002_2743002
buzz . 2829128_2832128
buzzing . 2832129_2834423
catch . 2835974_2838974
catching . 2838975_2841527
kiss . 2842428_2845428
kissing . 2845429_2848425
ride . 2848426_2851223
riding . 2851224_2854028
rub . 2855327_2858327
rubbing . 2858328_2860878
shave . 2862074_2865074
shaving . 2868478_2871478
cough . 2874578_2877578
coughing . 2878224_2881224
crash . 2883678_2886678
crashing . 2887228_2890228
swimming . 2897727_2900727
swim . 2900728_2903273
fall . 2903278_2906278
falling . 2906623_2909623
sing . 2910078_2913078
singing . 2913079_2915823
sleep . 2917874_2920874
sleeping . 2926524_2929524
dig . 2932724_2935724
digging . 2937728_2940728
rain . 2940775_2943775
raining . 2943776_2946228
hiss . 2947628_2950628
hissing . 2950629_2953128
climb . 2953129_2955878
climbing . 2956428_2959428
stir . 2963723_2966723
stirring . 2968028_2971028
rake . 2971626_2974626
raking . 2974878_2977878
read . 2977879_2980778
reading . 2980779_2983373
drive . 2983374_2986328
driving . 2986973_2989973
throw . 2990828_2993828
throwing . 2998125_3001125
snow . 3001574_3004574
snowing . 3004678_3007678
