# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/031028.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
plate .
snail .
ghost . 9199_12199
six . 35450_38450
vacuum . 44150_47150
elephant . 53400_56400
zebra . 67201_70201
brush . 82350_85350
knife . 106546_106746
blue . 118700_121700
shark . 150044_153044
feather . 232167_233586
green . 233586_236586
this . 358919_361919
there . 361920_364419
yoyo . 368167_371167
guitar . 385918_388918
lemon . 401469_404469
stretch . 413117_416117
popcorn . 420868_423868
yes . 470868_473868
you . 474168_477168
present . 477618_480618
thankyou . 500368_503368
please . 525517_528517
strawberry . 535518_537568
beehive . 560692_563692
chicken . 613041_616041
cloud . 618692_621692
flower . 638440_641440
vase . 658090_661090
music . 666491_669491
sock . 962292_965292
jeep . 972259_975259
doll . 976809_979809
game . 987860_990860
hammer . 994810_997810
nail . 997811_999850
hanger . 1008300_1011300
nothing . 1014741_1017741
ladder . 1026892_1029741
rabbit . 1061892_1064892
other . 1069140_1072140
space . 1101490_1104490
ocean . 1110692_1113692
teacher . 1121523_1124523
finger . 1128323_1131323
chair . 1161824_1164824
queen . 1194773_1197773
zipper . 1223325_1226325
pig . 1367173_1370173
screw . 1379073_1382073
shower . 1386374_1389374
theirs . 1393123_1396123
thunder . 1397323_1400323
vest . 1400624_1403624
treehouse . 1404074_1407074
cob . 1407924_1410924
these . 1411374_1414374
sun . 1414674_1417674
pie . 1418675_1421675
drum . 1422274_1425274
water . 1428473_1431473
toes . 1439424_1442424
gum . 1466515_1469515
three . 1480215_1483215
judge . 1487165_1490165
jelly . 1491416_1494416
brother . 1495665_1498665
frenchfries . 1499815_1502815
skunk . 1503766_1506766
noise . 1508114_1511114
shoes . 1511216_1514216
zipping . 1516564_1519564
crayons . 1523115_1525951
grapes . 1527252_1530252
slippers . 1530253_1531901
jumping . 1531902_1534850
light . 1535051_1538051
spoon . 1538101_1541101
yawn . 1542652_1545652
princess . 1545653_1548651
smoke . 1551601_1554601
thermometer . 1558350_1561350
mop . 1570202_1573202
chain . 1577250_1580250
soap . 1763911_1766911
soapi . 1766912_1768759
fish . 1768760_1771661
fishi . 1771662_1773910
bath . 1776860_1779860
bathi . 1779861_1782060
tub . 1783311_1786311
thumb . 1800259_1803259
thumbi . 1803260_1805059
frog . 1805060_1807559
frogi . 1807560_1809959
car . 1809960_1812811
cari . 1812812_1814460
leaf . 1814461_1817209
leafi . 1817210_1818210
glove . 1818211_1820959
glovei . 1820960_1822610
chalk . 1823011_1826011
chalki . 1826012_1827961
juice . 1828410_1831410
juicei . 1831411_1833510
cup . 1835160_1838160
cupi . 1838161_1839661
witchi . 1843660_1846660
badge . 1871383_1874383
badgei . 1874384_1876334
hat . 1880284_1883284
hati . 1883285_1884683
nose . 1886434_1889434
nosei . 1889435_1892184
hill . 1895433_1898433
hilli . 1898434_1900783
train . 1904033_1907033
mud . 1916298_1919298
mudi . 1920996_1923996
page . 1937097_1940097
dogi . 1947547_1949596
dog . 1949596_1952596
bed . 1953229_1956229
bedi . 1956230_1958279
cheese . 1958328_1961328
cheesei . 1963129_1965470
square . 1965470_1968470
comb . 2010119_2013119
ice . 2210315_2213315
icei . 2213316_2215766
peach . 2215767_2218266
peachi . 2218267_2219815
duck . 2219816_2222516
ducki . 2222517_2224466
ring . 2224866_2227866
ringi . 2227867_2229816
watch . 2229817_2232516
watchi . 2239416_2242416
door . 2242417_2244115
bridge . 2276115_2279115
off . 2279116_2281515
offi . 2281516_2283316
moth . 2284716_2287716
mothi . 2287717_2290317
robe . 2292015_2295015
robei . 2295016_2296267
tooth . 2296365_2299365
toothi . 2299366_2301265
van . 2301915_2304915
vani . 2304916_2306865
web . 2308316_2311316
mouth . 2333665_2336665
mouthi . 2336666_2339315
wish . 2339615_2342615
wishi . 2342616_2345516
stove . 2346116_2349116
stovei . 2349117_2350215
cage . 2350666_2353666
cagei . 2353667_2355316
goat . 2359615_2362615
goati . 2362616_2364965
laugh . 2536330_2539330
laughing . 2539331_2541379
fly . 2541380_2544129
flying . 2544130_2545780
run . 2545781_2548329
running . 2548330_2549381
hug . 2549382_2552180
hugging . 2552181_2554279
