# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/031110.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
zoo .
zebra .
brush .
blue .
shark .
teeth .
driving .
feather . 13051_16051
green . 16733_19733
guitar . 35632_38632
popcorn . 39529_42529
strawberry . 50777_53777
chicken . 59527_62527
flower . 66778_69778
vase . 69829_72829
jeep . 75477_78477
hammer . 82227_85227
nail . 89528_92528
hanger . 93778_96778
nothing . 102682_105682
ladder . 107281_110281
rabbit . 116132_119132
other . 119481_122481
space . 132931_135931
teacher . 161931_164931
finger . 170182_173182
chair . 173482_176482
zipper . 177633_180633
screw . 187431_190431
shower . 260681_263681
thunder . 266631_269631
treehouse . 270031_273031
drum . 277537_280537
water . 281886_284886
toes . 303135_306135
zero . 306486_309486
three . 310687_313687
judge . 314585_317585
jelly . 318237_321237
brother . 324386_327386
shoes . 593384_596384
grapes . 596434_599434
slippers . 602434_605434
jumping . 607534_610534
princess . 612683_615683
thermometer . 626933_629933
fish . 630234_633234
fishi . 633685_636685
bath . 636783_639783
bathi . 639784_642233
thumb . 642234_645133
thumbi . 645134_647334
frog . 647483_650483
frogi . 650484_652684
car . 652685_655434
cari . 655435_657734
leaf . 658084_661084
leafi . 661085_663433
chalk . 663434_666384
chalki . 666385_668883
juice . 668935_671935
juicei . 674735_677310
witch . 677311_680310
witchi . 680311_682460
train . 682960_685960
traini . 688861_691861
page . 693709_696709
pagei . 696710_699410
cheese . 704859_707859
cheesei . 707860_710460
square . 711810_714810
squarei . 714811_716910
peach . 717710_720710
peachi . 720711_722861
ring . 726612_729444
ringi . 731493_734493
watch . 736492_739492
watchi . 739493_740994
door . 742443_745443
doori . 745444_747793
bridge . 747843_750843
bridgei . 762143_765143
robe . 765743_768743
robei . 768744_770694
run . 942597_945597
running . 948796_951796
break . 956897_959897
breaking . 959898_962696
catch . 962797_965797
catching . 968298_970799
ride . 971197_974197
riding . 974198_976949
rub . 978797_981797
rubbing . 983648_986648
shave . 990898_993898
shaving . 993899_996898
rain . 1000397_1003397
raining . 1003398_1006397
stir . 1006798_1009798
stirring . 1010597_1013597
rake . 1013598_1016547
raking . 1019998_1022998
read . 1031848_1034848
drive . 1063598_1066598
