# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/041005.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
swing .
glasses . 4951_7951
ghost . 9053_12053
six . 14453_17453
vacuum . 27700_30700
elephant . 31200_34200
zebra . 34950_37950
zoo . 38350_41350
brush . 42050_45050
blue . 46101_49101
plate . 57552_60552
knife . 62103_65103
shark . 71204_74204
teeth . 77951_80950
feather . 107852_110852
green . 111003_114003
vanilla . 115853_118853
shovel . 119304_122304
this . 122305_125203
there . 125204_127853
yoyo . 128099_131099
guitar . 131100_133599
lemon . 133600_136349
yellow . 136350_138850
stretch . 140150_143150
popcorn . 230454_233454
mother . 237400_240400
father . 243601_246601
behind . 249100_252100
yes . 252101_254301
you . 254302_256301
present . 256302_259201
thankyou . 259902_262902
please . 264852_267852
strawberry . 268052_271052
snail . 360650_363650
beehive . 382102_385102
chicken . 390803_393803
cloud . 396249_399249
flower . 414699_417699
vase . 418050_421050
music . 426651_429651
sock . 429652_431401
jeep . 435001_438001
doll . 444552_447552
game . 447553_449902
hammer . 471100_474100
nail . 476700_479700
hanger . 480301_483301
nothing . 483302_485901
ladder . 486801_489801
magician . 489802_492751
rabbit . 493952_496952
other . 496953_499702
rocket . 499703_502503
space . 502903_505903
ocean . 505904_508203
teacher . 512499_515499
finger . 518149_521149
wagon . 534151_537151
chair . 537152_539401
thirsty . 546902_549902
queen . 551203_554203
twins . 558303_561303
them . 563806_566806
zipper . 570052_573052
pig . 685805_688805
screw . 691805_694805
shower . 694806_697455
theirs . 697906_700906
thunder . 705957_708957
vest . 712954_715954
treehouse . 718104_721104
cob . 721855_724855
these . 726305_729305
sun . 732605_735605
pie . 737806_740806
