# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1989
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Bernhardt/S3/030600.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
all .
ears .
eat .
eat .
eating .
egg .
eyes .
ice .
ice+cubes .
icy .
in .
itch .
itchy .
OK .
on .
open .
open .
orange .
up .
machine .
mad .
man .
man .
mask .
mask .
me .
mːːiːck .
milk .
mine .
miss .
mom .
mommy .
money .
more .
more .
morning .
mouth .
mouth .
mouth .
music .
musicbox .
new .
night .
nine+o'clock .
no .
noise .
noisy .
none .
nose .
now .
nummy .
page .
pages .
pages .
pie .
pig .
piggy .
pipe .
yyy pipe .
plane .
play .
plum .
plum .
pop .
pop .
pop .
pop .
pour .
pouring .
present .
present .
badge .
banana .
basket .
basket .
basket .
basket .
bed .
bee .
bib .
bib .
bib .
big .
black .
Blueboy .
book .
boot .
bootie .
boots .
broke .
broom .
brushing .
bump .
bunny .
bunny .
butter .
buzz .
buzzing .
buzzing .
take .
tape .
tea .
teeth .
teethbrush .
tight .
tight .
time .
time .
time .
toe .
toe .
toy .
truck .
truck .
truck .
try .
tub .
tubby .
tummy .
t_v .
t_v .
two .
two .
dad .
Dan .
Danny .
Danny .
dish .
dive .
diving .
do .
dock .
doggie .
dolls .
dollhouse .
dolly .
dollyies .
down .
dress .
cage .
cagey .
cake .
call .
calling .
camel .
candle .
candle .
clock .
clown .
coat .
coffee .
comb .
combing .
comfortable .
cook .
cooking .
crayons .
crown .
cuckoo .
cup .
cup .
key .
key .
kind .
kind .
quarter .
queen .
quick .
game .
get .
glasses .
glove .
go .
grape .
green .
gum .
gum .
gummy .
fall .
feather .
feathers .
feet .
fiddle .
fiddle .
fingers .
fish .
fish .
fishing .
five .
flower .
fly .
fly .
fly .
fly .
flying .
flying .
Fudgie .
funny .
van .
van .
three .
three .
throw .
throwing .
thumb .
that .
that .
that .
there .
there .
this .
this .
this .
Santa_Claus .
scarf .
screw .
screwdriver .
see .
see .
sewing .
sleep .
sleep .
sleeping .
sleeping .
sleeping .
sleeping .
smooth .
snake .
snakey .
snow .
snowing .
soap .
soap .
soap .
soapy .
spider .
spider .
spoon .
spring .
squirrel .
stars .
starry .
stick .
sticky .
sticky .
sticky .
sting .
sun .
sweater .
Z .
zipper .
zipper .
zipper .
zoo .
sheep .
shoe .
shoes .
chair .
chair .
cherry .
chicken .
chicken .
G .
J .
radio .
raining .
raining .
raining .
read .
reading .
reading .
red .
red .
row .
rowing .
rub .
rub .
rubbing .
rubbing .
rubbing .
running .
la .
laugh .
laughing .
leaf .
leafy .
leaves .
lock .
lock .
lots .
lots .
lunch .
one .
wagon .
walk .
watch .
watching .
watching .
water .
wave .
waving .
white .
why .
yellow .
yellow .
yes .
you .
yucky .
hanger .
happy .
happy .
hat .
hat .
head .
hi .
high .
high .
ho+ho .
hole .
home .
home .
honey .
horse .
hug .
hugging .
who 
