# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD10/051102.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
ghost .
six .
vacuum .
elephant . 1833_4564
zebra . 4719_5908
zoo . 8897_9920
shark . 11692_13166
teeth . 16357_17547
feather . 33490_34735
green . 40485_41507
shovel . 49980_51360
there . 54390_55614
this . 61252_62288
yoyo . 77445_78562
guitar . 89181_90546
stretch . 92629_94483
popcorn . 96449_98164
mother . 103682_104586
father . 110844_111968
behind . 119194_121004
yes . 122842_123988
you . 124927_125602
present . 127045_128639
thankyou . 130698_132085
please . 138501_140114
snail . 161530_163077
chicken . 182343_183781
cloud . 188623_190368
flower . 191902_193590
vase . 197033_198135
music . 205525_207153
sock . 208768_211075
hanger . 215079_216378
nothing . 222034_223078
magician . 229740_232740
rabbit . 236058_237890
other . 240500_241478
rocket . 243348_244582
space . 247389_250389
teacher . 260320_261575
finger . 267796_269066
chair . 269899_270922
thirsty . 273232_274633
queen . 282914_284009
twins . 291559_293026
them . 295385_296509
pig . 297856_299132
screw . 302729_303751
shower . 305320_306443
theirs . 308591_309854
thunder . 325719_326748
cob . 329618_330574
these . 333514_334872
gum . 336570_337461
three . 340138_341153
brother . 354202_355771
frenchfries . 364542_366053
skunk . 370370_371706
noise . 374271_375891
crayons . 411118_413680
spoon . 423532_424882
smoke . 441221_442535
thermometer . 447383_448879
chain . 456650_457723
bath . 466970_468028
bathi . 471580_472711
thumb . 477037_478095
thumbi . 479125_480060
frogi . 481520_482922
frog . 483849_485163
car . 489203_490400
cari . 491462_492463
chalk . 635903_637494
chalki . 638651_639703
cup . 644513_645374
cupi . 652044_653102
witchi . 664778_665917
witch . 667458_668496
train . 672544_673442
traini . 674542_675330
dog . 676719_677850
dogi . 678782_679858
cheese . 684696_685951
cheesei . 686859_687783
square . 693459_694795
squarei . 704305_705612
comb . 707565_708454
combi . 709094_709860
peach . 715140_716067
peachi . 715936_716939
duck . 718995_719737
ducki . 721568_722524
ring . 735899_737279
ringi . 738275_739620
watch . 746764_748275
watchi . 749093_750033
moth . 751273_752426
mothi . 752990_753997
tooth . 763538_764888
toothi . 770630_771499
van . 776099_777011
vani . 777086_778188
mouth . 779451_780316
mouthi . 783936_785126
stove . 790401_791627
stovei . 792502_793759
cage . 795961_796910
cagei . 797114_798358
spring . 802313_803561
springi . 809046_810316
goat . 814629_815388
goati . 817339_818558
hug . 1014249_1015191
hugging . 1019686_1020941
smile . 1023168_1024431
smiling . 1025530_1026855
splash . 1028022_1028989
splashing . 1030107_1031114
skate . 1032617_1033423
skating . 1034929_1036255
break . 1037547_1038241
breaking . 1038095_1039168
swing . 1040282_1041113
swinging . 1041151_1042650
catch . 1043578_1044266
catching . 1046457_1047395
kiss . 1048827_1049632
kissing . 1055978_1056991
ride . 1059255_1060327
riding . 1061076_1061984
cough . 1063348_1064220
coughing . 1064742_1065865
crash . 1067603_1068699
crashing . 1068649_1070048
sing . 1071067_1072069
singing . 1072399_1073598
sleep . 1074600_1075435
sleeping . 1075743_1077238
dig . 1078079_1078762
digging . 1078669_1079594
climb . 1087793_1089143
climbing . 1095188_1096414
stir . 1097624_1098502
stirring . 1098369_1099318
rake . 1116876_1117727
raking . 1118658_1119791
throw . 1120779_1121742
throwing . 1127405_1128660
snow . 1130097_1131454
snowing . 1146066_1147350
