# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD11/040228.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
green .
hammer .
zebra . 2603_5603
zoo . 7700_10700
brush . 29700_32700
blue . 33700_36700
shark . 37450_40450
teeth . 51200_54200
feather . 108303_111303
shovel . 160452_163452
this . 167402_170402
there . 170649_173649
stretch . 183904_186904
mother . 197604_200604
father . 213103_216103
behind . 217853_220853
yes . 220903_223903
you . 223904_225603
present . 232553_235553
thankyou . 242153_245153
please . 276802_279802
strawberry . 287002_290002
chicken . 352951_355951
flower . 370250_373250
music . 402600_405600
jeep . 410900_413900
nail . 419650_422650
hanger . 467154_470154
nothing . 495757_498757
magician . 506006_509006
rabbit . 515856_518856
other . 519956_522956
rocket . 524756_527756
space . 540856_543856
ocean . 890229_893229
teacher . 897379_900379
finger . 910478_913478
chair . 914828_917828
thirsty . 923928_926928
shower . 936429_939328
theirs . 952228_955228
thunder . 955927_958927
vest . 971327_974327
treehouse . 981827_984827
cob . 989127_992127
these . 997677_1000677
drum . 1010826_1013826
twelve . 1057376_1060376
zero . 1074175_1077175
three . 1084375_1087375
judge . 1130275_1133275
jelly . 1142879_1145879
brother . 1162028_1165028
frenchfries . 1171627_1174627
noise . 1178224_1181224
quiet . 1187629_1190629
skunk . 1197129_1200129
shoes . 1200130_1202629
crayons . 1216678_1219678
grapes . 1228878_1231878
slippers . 1236478_1239478
jumproping . 1239928_1242928
spoon . 1248478_1251478
yawn . 1262327_1265327
princess . 1275577_1278577
smoke . 1287577_1290577
thermometer . 1295628_1298377
chain . 1302477_1305477
fish . 1614409_1617409
fishi . 1617410_1620009
bath . 1654708_1657708
bathi . 1657709_1659658
thumb . 1659908_1662908
thumbi . 1662909_1665708
frog . 1671658_1674658
frogi . 1674659_1677157
car . 1677557_1680557
cari . 1682257_1685257
glove . 1687157_1690157
glovei . 1701407_1704407
chalk . 1713657_1716657
chalki . 1721007_1724007
juice . 1725857_1728857
juicei . 1729806_1732806
witch . 1734406_1737406
witchi . 1737407_1739906
hat . 1741406_1744406
hati . 1744407_1746706
badge . 1747056_1750056
badgei . 1750057_1752056
train . 1758406_1761406
traini . 1761856_1764856
dog . 1764857_1767456
dogi . 1767457_1769456
cheese . 1769457_1771456
cheesei . 1775906_1778906
square . 1784955_1787955
squarei . 1788655_1791655
comb . 1802405_1805405
combi . 1806355_1809355
peach . 1810655_1813655
peachi . 1813656_1816155
ring . 1819155_1822155
ringi . 1822156_1824955
watch . 1833205_1836205
watchi . 1836206_1838455
bridge . 1839955_1842955
bridgei . 1842956_1845705
moth . 1871709_1874709
mothi . 1874710_1877009
robe . 1877909_1880909
robei . 1880910_1882859
tooth . 1882860_1885508
toothi . 1885509_1887508
mouth . 1890908_1893908
mouthi . 1898408_1901408
wish . 1912558_1915558
wishi . 1915559_1918108
stove . 1918109_1920408
stovei . 1920409_1922808
cage . 1924358_1927358
cagei . 1930708_1933708
spring . 1936007_1939007
springi . 1942357_1945357
running . 2165903_2168903
run . 2168904_2170553
hug . 2170554_2172503
hugging . 2172504_2175353
splash . 2177303_2180303
splashing . 2184553_2187553
skate . 2187554_2189502
skating . 2189503_2191552
break . 2191553_2193252
breaking . 2193253_2195202
swinging . 2208702_2211702
swing . 2211703_2213654
catch . 2213655_2216404
catching . 2217004_2220004
ride . 2226604_2229604
riding . 2229605_2231554
shave . 2246403_2249403
shaving . 2250603_2253603
cough . 2262900_2265900
coughing . 2269300_2272300
crash . 2272301_2274600
crashing . 2277100_2280100
swimming . 2281900_2284900
swim . 2284901_2287252
singing . 2292951_2295951
sing . 2301954_2304954
raining . 2315351_2318351
rain . 2326050_2329050
climb . 2356200_2359200
climbing . 2359201_2361000
stirring . 2380050_2383050
raking . 2383350_2386350
rake . 2397350_2400350
reading . 2403399_2406399
read . 2406400_2409399
drive . 2418399_2421399
driving . 2422704_2425704
throwing . 2427054_2430054
throw . 2440354_2443354
