# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1993
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Rachel/010502.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
yeah . 8550_11550
xxx . 11550_12873
xxx . 13281_16281
xxx . 16281_17303
xxx . 24877_27877
xxx . 33008_36008
xxx . 38775_41775
xxx . 41775_43755
xxx . 48813_51813
xxx . 53724_56724
xxx . 56978_59978
xxx . 59978_62360
yes . 62898_65898
xxx . 67198_70198
xxx . 70198_72083
mommy . 72233_75233
xxx . 76898_79898
yes . 82405_85405
xxx . 88920_91920
xxx . 92888_95888
xxx . 95888_98818
xxx . 98818_101418
xxx . 101538_104538
xxx . 104808_107808
xxx . 107808_110313
xxx . 110313_113093
bear . 113093_114571
cow . 116105_119105
bear . 119105_120848
bear . 120848_123298
bear . 123298_124842
baby . 155357_158357
baby . 176141_179141
xxx . 179882_182882
xxx . 186320_189320
baby . 190344_193344
xxx . 198657_201657
xxx . 204462_207462
xxx . 208010_211010
bear ears . 251405_254255
xxx . 255457_258457
bear . 272055_274865
xxx . 274865_276915
xxx . 276915_279407
xxx . 279407_282099
xxx . 282099_284595
xxx . 286555_289555
xxx . 289555_291263
cow . 292113_295113
cow . 339076_342076
xxx . 351785_354785
xxx . 354785_357692
xxx . 359366_362366
xxx . 365497_368497
this . 368497_369648
xxx . 369648_372080
crackers . 372080_373685
no . 383598_386598
xxx . 386598_387997
xxx . 387997_389175
xxx . 389175_390325
xxx . 390325_391093
xxx . 397845_400845
xxx . 400845_403146
xxx . 416956_419956
xxx . 419956_421276
xxx . 421276_422556
xxx . 422556_423705
xxx . 423705_424671
xxx . 424671_425944
xxx . 425944_427165
xxx . 428719_431719
xxx . 431719_432686
xxx . 436269_439269
xxx . 439860_442860
Robert . 444564_447564
Robert . 447564_449092
Robert . 458306_461306
Robert . 461306_462676
xxx . 473051_476051
Robert . 482092_485092
xxx . 488927_491927
xxx . 491927_494433
Robert . 494433_496416
Robert . 501465_504465
Robert . 504465_505947
Robert . 508254_511254
xxx . 511254_512673
xxx . 517971_520319
xxx . 520319_521489
yes . 523729_526729
Robert . 526729_529348
yes . 530221_533221
xxx . 533221_535479
Robert . 535479_536619
mommy . 536619_537880
yes . 538383_541383
mommy . 541383_543110
xxx . 543110_544762
xxx . 544762_545775
xxx . 546730_549730
xxx . 549730_552299
xxx . 552299_554377
xxx . 554377_555979
xxx . 555979_557369
xxx . 557369_559370
xxx . 559749_562749
xxx . 565309_568309
xxx . 568309_570482
xxx . 570482_572693
xxx . 572693_574970
Robert . 574970_576006
Robert . 577263_580263
Robert . 580263_581253
Robert . 581253_583257
pop . 583257_584540
pop . 584540_585447
yes . 585750_588750
xxx . 611663_614663
Robert . 617603_620603
pop . 633771_636771
pop . 636771_637693
pool . 638831_641831
pop . 656219_659219
pop . 659219_662123
pop . 701152_704152
no . 705713_708713
yes . 710861_713861
pop . 713861_715024
pop . 715024_715916
pop . 715916_718254
xxx . 726855_729855
pop . 730049_733049
pop . 733049_733934
xxx . 733934_734938
xxx . 742039_745039
xxx . 745039_747010
xxx . 747010_747736
xxx . 747736_748406
xxx . 748406_749887
xxx . 749887_752509
xxx . 754050_757050
xxx . 759290_762290
xxx . 764555_767555
xxx . 767555_768817
xxx . 768817_770601
xxx . 770601_771834
xxx . 775893_778893
xxx . 781069_784020
xxx . 784020_785217
xxx . 785217_786479
xxx . 786479_788394
xxx . 788394_789849
xxx . 789849_791279
yes . 823766_826683
xxx . 830727_833727
xxx . 866454_869454
xxx . 875519_878519
xxx . 878519_879650
xxx . 879650_880925
xxx . 880925_882204
xxx . 882204_883530
xxx . 883530_885003
xxx . 885003_886288
xxx . 886288_887511
xxx . 887511_889140
xxx . 889140_890740
xxx . 893098_896098
xxx . 896098_897452
xxx . 901001_904001
xxx . 904001_905188
xxx . 905188_907358
xxx . 907358_908600
xxx . 908600_909983
Robert . 910403_913403
Robert . 913403_914388
xxx . 917563_920563
xxx . 920563_922538
xxx . 923095_926095
room . 926095_927576
xxx . 927576_928797
xxx . 930652_933652
xxx . 933652_935150
xxx . 935150_936000
xxx . 936591_938831
xxx . 938831_940073
xxx . 940073_942818
xxx . 942818_944498
yes . 944813_947813
yes . 956758_959758
yes . 960258_963258
xxx . 976039_978963
Chris . 996660_999660
xxx . 1000811_1003811
xxx . 1013383_1016383
xxx . 1016383_1017823
xxx . 1021587_1024587
xxx . 1024587_1025583
xxx . 1025583_1028553
xxx . 1035669_1038669
yes . 1039113_1042113
yes . 1058363_1061363
yes . 1062840_1065840
yes . 1157975_1160975
mouse . 1160975_1162465
xxx . 1175071_1178059
mouse . 1181156_1184156
mouse . 1184898_1187898
yes . 1197308_1200308
xxx . 1200308_1202767
xxx . 1223398_1226398
mouse . 1226398_1228509
yes . 1248328_1251328
xxx . 1268152_1271152
xxx . 1308558_1311558
xxx . 1311558_1313586
mouse . 1322448_1325448
strawberry . 1328009_1330996
baby . 1336433_1339433
mouse . 1384731_1387731
mouse . 1387731_1389837
yes . 1393229_1396229
baby . 1423053_1426053
no . 1426634_1429634
baby . 1431375_1434375
baby . 1434375_1435830
kitty . 1443984_1446984
kitty . 1446984_1449941
woof . 1452255_1455255
woof . 1455255_1456729
man . 1461494_1464490
baby . 1467720_1470720
man . 1472643_1475643
yes . 1495297_1498297
xxx . 1509437_1512437
more books . 1512437_1515248
yes . 1515248_1517488
shoe . 1528332_1531332
yes . 1552772_1555772
yes . 1574766_1577766
piggy . 1595840_1598840
shoes . 1663729_1666729
shoes . 1670416_1673416
clop . 1743176_1746176
Robert . 1812198_1814159
Robert . 1814159_1815063
xxx . 1815063_1816807
Robert . 1816807_1817872
more books . 1817872_1820275
Robert . 1820275_1822415
Robert . 1822415_1824745
Robert . 1824745_1826204
more books . 1830795_1833795
yes . 1838136_1841136
yes . 1866540_1869540
xxx . 1891511_1893927
horsie . 1894594_1897594
woof . 2019641_2022345
yes . 2026044_2029044
woof . 2033299_2036299
woof . 2036476_2039476
woof . 2039476_2040925
woof . 2041521_2044521
cracker . 2052303_2055303
mommy . 2055303_2056832
mommy . 2056832_2059623
Robert . 2066873_2069873
pop . 2075530_2078116
cracker . 2084436_2087436
Robert . 2087436_2088943
xxx . 2089127_2092127
xxx . 2096145_2099145
xxx . 2099910_2102910
Chris . 2104694_2107694
pop . 2110765_2113765
pop . 2115048_2118048
book . 2151592_2154592
xxx . 2154592_2156579
book . 2164209_2167209
xxx . 2173472_2176472
pop . 2181703_2184703
pop . 2184703_2186240
pop . 2186240_2188208
pop pop . 2192094_2195094
yep . 2198110_2201110
xxx . 2205919_2208919
xxx . 2208919_2210870
xxx . 2212387_2215387
xxx . 2265936_2268576
xxx . 2268576_2269919
juice . 2275133_2278133
xxx . 2328178_2331178
good girl . 2331178_2332906
yes . 2332906_2335332
