# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2015
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030019.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
fishi .
door .
glasses . 8501_9392
ghost . 20334_21556
six . 26389_26904
vacuum . 36187_37092
elephant . 41840_42481
zebra . 51249_52044
zoo . 54139_54621
brush . 59360_59972
blue . 64407_64856
plate . 73943_74760
knife . 83049_83764
shark . 93867_94522
teeth . 107855_108460
feather . 114594_115419
green . 122667_123293
vanilla . 131427_132204
shovel . 146423_147253
that . 151438_151956
there . 154542_155297
yoyo . 162502_163182
guitar . 170842_171419
lemon . 178477_179175
yellow . 184549_185361
stretch . 191183_191965
popcorn . 201900_202971
mother . 209924_210754
father . 215379_216287
behind . 222042_222867
yes . 224538_225067
you . 226010_226377
present . 284163_284786
thankyou . 289241_289932
please . 292103_292740
strawberry . 299280_300165
snail . 303138_303980
beehive . 311784_312669
chicken . 318941_319880
cloud . 323106_323690
flower . 330899_331567
vase . 333214_333586
music . 338959_339862
sock . 347445_348287
jeep . 355533_356267
doll . 361872_362660
game . 370995_371910
nail . 381427_382335
hanger . 390707_391573
nothing . 395377_396303
ladder . 402118_403033
magician . 412579_413361
rabbit . 417618_418340
other . 422622_423452
rocket . 433150_434016
space . 443505_444246
ocean . 449937_450665
teacher . 465823_467165
finger . 479406_480471
wagon . 493528_494575
chair . 499641_500544
thirsty . 506965_508325
queen . 515040_516045
twins . 521880_522848
them . 526716_527643
zipper . 532851_533778
pig . 538864_539839
screw . 544809_545838
shower . 549637_550702
theirs . 556987_557937
thunder . 561503_562285
vest . 566518_567655
treehouse . 571873_573106
cob . 580413_581424
these . 586780_587802
sun . 592448_593567
pie . 602170_603223
drum . 609339_610428
water . 614441_615277
toes . 625854_626943
twelve . 631389_632496
zero . 636284_637217
gum . 654909_655914
three . 709982_711065
judge . 716113_717244
jelly . 722545_723797
brother . 730572_731468
