# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1978
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "How a man becomes a shaman" and was told by a speaker called Orowao' Tocoin' Jain in 1978.
# source:	 Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 472-503.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Tomi' xin mijac ta , jami mijac .
<segmentation>	_ xi'-in _ _ jami-0 _
<glossing>	speak 1pincl:rf-3n wild:pig emph spirit-3n wild:pig
<translation>	We will talk about wild pigs , the spirits of wild pigs .

<line_2>	Pa' xin mijac 'iri nana ne . 
<segmentation>	_ xi'-in _ _ _ _
<glossing>	kill 1 pincl:rf-3n wild:pig already:p 3p:rp/p rec:past
<translation>	When they go pighunting ( lit . ` We will kill wild pigs ' ) when they ( say ) . 

<line_3>	Pa' nanain 'oro wari' co 'om quep 
<segmentation>	_ nana-in _ _ _ _ _
<glossing>	kill 3p:rp/p-3n coll person INFL:m/frp/p not:exist do 
<translation>	The people kill them who ( the pigs say ) , ` We will not cast a

<line_4>	xirac xun nana . Pa' 'iri nanain
<segmentation>	_ xi'-on _ _ _ nana-in
<glossing>	magical not:exist 3p:rp/p kill already:p 3p:rp/p-3n
<translation>	spell on him . ' When they kill them . 

<line_5>	ne . 'Om ca taraju xo' cain capijain
<segmentation>	_ _ _ _ _ ca-in capija-in
<glossing>	rec:past not:exist INFL:nrp/p hear correctly 3sm-3n mouth-3n
<translation>	The person doesn't hear correctly their voice ( of the 

<line_6>	ca quep xirac pan ca wari' co tucuninim'
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	INFL:np/p do magical emph 3sm person INFL:m/frp/p shaman
<translation>	pigs ) on whom ( the pigs ) cast a spell , who ( says) , ` I will be a shaman . '

<line_7>	ta' ma' . Taraju xo' pan nanain 'oro
<segmentation>	_ _ taraji-u _ _ nana-in _
<glossing>	1s:rf that:prox:hearer ear-1s correctly emph 3p:rp/p-3n coll
<translation>	The people hear them correctly 

<line_8>	wari' co 'om quep xirac xun nana . 
<segmentation>	_ _ _ _ _ xi'-on _
<glossing>	person INFL:m/frp/p not:exist do magical 1pincl:rf:3sm 3p:rp/p
<translation>	whom ( the pigs ) do not ( say ) , ` We will cast a spell on him . '

<line_9>	'I ca' 'i nana ne , pa' 'iri nanain
<segmentation>	_ _ _ _ _ _ _ nana-in
<glossing>	n this:n already 3p:rp/p rec:past kill already:p 3p:rp/p-3n 
<translation>	When they ( do ) this , when they kill them . 

<line_10>	ne . Mixein 'ac con na . 'Om ca cao'
<segmentation>	_ _ _ ca-on _ _ _ _
<glossing>	rec:past deceive travel 3sm-3sm 3s:rp/p not:exist INFL:nrp/p eat
<translation>	Then they deceive him . He doesn't eat ( it )

<line_11>	xo' con cwerein quem ca' na . 
<segmentation>	_ ca-on cwere-in _ _ _ 
<glossing>	correclty 3sm-3sm body-3n ref this:n 3s:rp/p
<translation>	and its flesh reacts to him correctly , thus it is . 

<line_12>	'Om 'i na ca cao' xo' con 
<segmentation>	_ _ _ _ _ _ ca-on
<glossing>	not:exist already:s 3s:rp/p INFL:nrp/p eat correctly 3s-3sm
<translation>	When he eats ( it ) and its flesh doesn't react to him

<line_13>	cwerein ne . Xain 'ac ca na quem ca' na . 
<segmentation>	cwere-in _ _ _ _ _ _ _ _
<glossing>	body-3n rec:past hot travel 3sm 3s:rp/p ref this:n 3s:rp/p
<translation>	correctly . Then he gets a fever , thus it is

<line_14>	Ca mi' con caxicon jam nein . 
<segmentation>	_ _ ca-on caji-con _ _
<glossing>	INFL:nrp/p give 3sm-3sm strangeness-3sm spirit poss:3n
<translation>	That their bad spirits give him . 

<line_15>	Xain xain xain , 'ac ne ma' 'ac ne 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	hot hot hot travel 3n that:prox:hearer travel 3n
<translation>	( He ) has a fever , then it goes on , then it goes on . 

<line_16>	ma' . Mam' ho' nain jami . 
<segmentation>	_ _ _ na-in jami-0
<glossing>	that:prox:hearer find now 3s:rp/p-3n spirit-3n
<translation>	Now he finds their spirits . 

<line_17>	Mam' 'iri nain jami ne . Nonoc tamana
<segmentation>	_ _ na-in jami-0 _ _ _
<glossing>	find already:p 3s:rp/p-3n spirit-3n rec:past warm much
<translation>	When he finds their spirits . His body is very

<line_18>	na curucun . Cao' non memem pain 'oro jami 
<segmentation>	_ cwere-con _ na-on _ _ _ jami-0 
<glossing>	3s:rp/p body-3sm eat 3s:rp/p-3sm fruit prep:3n coll spirit-3n
<translation>	feverish . He eats fruit and the spirits of the 

<line_19>	tarawan . Hwerehwet qui' nain capijacon . 
<segmentation>	_ _ _ na-in capija-con
<glossing>	palm:species appear:p come 3s:rp/p-3n mouth-3sm
<translation>	tarawan palm species . They come out of his mouth . 

<line_20>	Cao' 'ac ca na , cao' cao' cao' cao' cao' . 
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	eat travel 3sm 3s:rp/p eat eat eat eat eat 
<translation>	Then he eats , and eats and eats . 

<line_21>	Mi' pin 'ac ca na , 'arawan nonon
<segmentation>	_ _ _ _ _ _ nana-on
<glossing>	give completely travel 3sm 3s:rp/p cry:p 3p:rp/p-3sm
<translation>	Then he dies ( passes out ) , and they wail over him . 

<line_22>	'Arawan 'arawan 'arawan 'arawan 'arawan . 'In 'ac
<segmentation>	_ _ _ _ _ _ _
<glossing>	cry:p cry:p cry:p cry:p cry:p return travel
<translation>	( They ) wail and wail ( over him ) . Then 

<line_23>	ne na ximicon quem . 'O xut napa' jami
<segmentation>	_ _ ximi-con _ _ _ na-pa' jami-0
<glossing>	3n 3s:rp/p heart-3sm ref lead walks 3s:rp/p-1s spirit-3n
<translation>	his heart return . ` The spirit of the animal led

<line_24>	carawa ta , mijac ta 'ac ca na . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	animal emph wild:pig emph travel 3sm 3s:rp/p
<translation>	( walked ) me away , ( there are ) wild pigs' , then he ( says ) . 

<line_25>	Ma' na 'oro com 'iri' tomi' mi' cain , 
<segmentation>	_ _ _ _ _ _ _ ca-in
<glossing>	exist 3s:rp/p coll water INFL:rp/p speak give 3sm:rp/p-3n
<translation>	There are streams that he indicates regarding them , 

<line_26>	to nain cain ta , to nain 
<segmentation>	_ na-in _ _ _ na-in
<glossing>	be:p 3s:rp/p-3n that:n:distal emph be:p 3s:rp/p-3n
<translation>	` They are there , they are there ' , 

<line_27>	cain ta nain quem ca' na . 
<segmentation>	_ _ na-in _ _ _
<glossing>	that:n:distal emph 3s:rp/p-3n ref this:n 3s:rp/p
<translation>	he ( says ) regarding them , thus it is . 

<line_28>	Mija na mijac , xi' napa' xumu pain ta
<segmentation>	_ _ _ _ na-pa' ximi-u _ _
<glossing>	much 3s:rp/p wild:pig small 3s:rp/p-1s heart-1s prep:3n emph
<translation>	` The pigs are too much , I can't breathe because of them ' , 

<line_29>	'ac ca na . Xec pa' non quem , mi' pin
<segmentation>	_ _ _ _ _ na-on _ _ _
<glossing>	travel 3sm 3s:rp/p day kill 3s:rp/p-3sm ref give completely
<translation>	then he ( says ) . The next day they kill him , then he

<line_30>	mami' 'ac ca na quem . Mao na jamicon pain
<segmentation>	_ _ _ _ _ _ _ jami-con _
<glossing>	again travel 3sm 3s:rp/p ref go:s 3s:rp/p spirit-3sm prep:3n
<translation>	dies ( passes out ) again . His spirit goes 

<line_31>	tamatarain quem , mao 'ac cain na pira , mi'
<segmentation>	tamatara-in _ _ _ ca-in _ _ _
<glossing>	spirit-3n ref go:s travel 3sm-3n 3s:rp/p far give 
<translation>	to their spirits , then he goes far away , 

<line_32>	pin 'ac ca na . 'Awaran 'awaran 'awaran 'arawan . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	completely travel 3sm 3s:rp/p cry:p cry:p cry:p cry:p
<translation>	then he passes out ( lit . dies ) . ( They ) wail and wail .

<line_33>	'In na ximicon quem . Mi' 'ina ta , 
<segmentation>	_ _ ximi-con _ _ _ _
<glossing>	return 3s:rp/p heart-3sm ref give 1s:rp/p emph
<translation>	His heart returns . ` I passed out ' ( lit . died ) , 

<line_34>	mao 'ina pain jami mijac ta , mija 
<segmentation>	_ _ _ jami-0 _ _ _
<glossing>	go:s 1s:rp/p prep:3n spirit-3n wild:p emph much
<translation>	` I went because of the spirits of the wild pigs , it was much 

<line_35>	na ca 'o xut capa' ta na ca
<segmentation>	_ _ _ _ ca-pa' _ _ _
<glossing>	3s:rp/p INFL:nrp/p lead walk:s 3sm-1s emph 3s:rp/p INFL:nrp/p
<translation>	that they took me all over the place ' , he ( says ) when 

<line_36>	tomi' ca . 'Ac ne ma' 'ac ne ma' 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	speak 3sm travel 3n that:prox:hearer travel 3n that:prox:hearer
<translation>	he speaks . Then it goes on , then it goes on , 

<line_37>	'ac ne ma' 'ac ne ma' . 
<segmentation>	_ _ _ _ _ _
<glossing>	travel 3n that:prox:hearer travel 3n that:prox:hearer
<translation>	then it goes on , then it goes on .

<line_38>	'Iri ma' na curucun . 'Iri' ma' na curucun . 
<segmentation>	_ _ _ cwere-con _ _ _ cwere-con
<glossing>	truly exist 3s:rp/p body-3sm truly exist 3s:rp/p body-3sm
<translation>	He gradually loses weight ( lit . his flesh gradually exists ) . He gradually loses weight ( lit . his flesh gradually exists ) . 

<line_39>	Xaxi' ta' 'iri na pain ne , 'ac ca
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	this 1s:rf already:p 3s:rp/p prep:3n rec:past like INFL:nrp/p
<translation>	` I will become thin ' , when he ( says ) because of them , when

<line_40>	mi' ta' 'i na ne . 'Ac ca ma'
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	give 1s already:s 3s:rp/p rec:past travel 3sm that:prox:hearer
<translation>	it's like he says , ` I will die . ' Then he goes on , 

<line_41>	'ac ca ma' . Mi' pin 'ac ca na 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	travel 3sm that:prox:hearer give completely travel 3sm 3s:rp/p
<translation>	then it goes on . Then he dies . 

<line_42>	quem . 'Arawan pin 'ac cocon na quem , 'awaran
<segmentation>	_ _ _ _ caca-on _ _ _
<glossing>	ref cry:p completely travel 3pm-3sm 3s:rp/p ref cry:p 
<translation>	Then they wail over him , and ( they ) wail 

<line_43>	'arawan 'arawan . E' pin 'ac cocon na quem . 
<segmentation>	_ _ _ _ _ caca-on _ _
<glossing>	cry:p cry:p live completely travel 3pm-3sm 3s:rp/p ref
<translation>	and wail . Then they live him ( bring him back to life ) . 

<line_44>	Tomi' 'ac ca na . Wap jein ca' mao mahu'
<segmentation>	_ _ _ _ _ je-in _ _ _
<glossing>	speak travel 3sm 3s:rp/p whip 2p:rf-3n this:n neg 2p:1s:rp/p
<translation>	Then he speaks . ` Please beat them away from me , 

<line_45>	pain , xi' pa' xumu pain ta 'ac ca na . 
<segmentation>	_ _ _ ximi-0 _ _ _ _ _
<glossing>	prep:3n small 1s:obj heart-1s prep:3n emph travel 3sm 3s:rp/p 
<translation>	I can't breathe ( lit . my heart is small ) because of them ' , then he ( says ) . 

<line_46>	Pa' 'ac cacain na con quem . 'Ac ne 
<segmentation>	_ _ caca-in _ _ _ _ _
<glossing>	kill travel 3pm-3n 3s:rp/p prep:3sm ref travel 3n
<translation>	Then they kill them because of him . Then it

<line_47>	ma' 'ac ne ma' . Xio ra
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer travel 3n that:prox:hearer cold 2s:rf
<translation>	goes on , then it goes on . ` Get well ' , 

<line_48>	'iri non ne . Pixija na . . . , 
<segmentation>	_ na-on _ _ _
<glossing>	already:p 3s:rp/p-3sm rec:past bathe:with:hot:water 3s:rp/p
<translation>	When they ( say ) to him . They bathe ( him ) with hot water . . . 

<line_49>	cominain nanain carawa ca to' xio ne carawa
<segmentation>	comi-nain nana-in _ _ _ _ _ _
<glossing>	water-3n 3p:rp/p-3n animal INFL:nrp/p hit cold 3n animal
<translation>	` the water of ( the spirits ) , ' they ( say ) of the thing that causes ( him ) to get well , 

<line_50>	ma' , jaminain pan . 
<segmentation>	_ jami-nain _
<glossing>	that:prox:hearer spirit-3n emph
<translation>	it's the spirits of ( the wild pigs ) themselves . 

<line_51>	Poc poc na com , 'ac ca poc poc ne na , 'ac
<segmentation>	_ _ _ _ _ _ _ _ _ _ _
<glossing>	boil boil 3s:rp/p water like INFL:nrp/p boil boil 3n 3s:rp/p like
<translation>	The water boils , it seems like it boils , 

<line_52>	ca xain tamana ne na com ma'
<segmentation>	_ _ _ _ _ _ _
<glossing>	INFL:nrp/p hot much 3n 3s:nrp/p water that:prox:hearer
<translation>	it seems like the water is very hot ,

<line_53>	'om ca xain ne . Xio na nanain 
<segmentation>	_ _ _ _ _ _ nana-in
<glossing>	not:exist INFL:nrp/p hot 3n cold 3s:rp/p 3p:rp/p-3n
<translation>	it's not hot . ` It is cold ' , ( say )

<line_54>	caxicon jami ma' . 'An tom pe 
<segmentation>	caji-con jami-0 _ _ _ _
<glossing>	strangeness-3sm spirit-3n that:prox:hearer takers burn be:s
<translation>	their bad spirits . Then they put ( water )

<line_55>	ja' 'ac cocon na . 
<segmentation>	_ _ caca-on _
<glossing>	splash travel 3pm-3sm 3s:rp/p
<translation>	on to heat and bathe him . 

<line_56>	'Om ta mi' ma ta na , quereme rain me
<segmentation>	_ _ _ _ _ _ _ ra-in _
<glossing>	not:exist INFL:rf give 2s emph 3s:rp/p courageous 2s:rf-3n emph
<translation>	` You won't die , ' they ( say ) , ` be courageous regarding it ' ,

<line_57>	na . Mi' non pain towaxinain , 
<segmentation>	_ _ na-on _ towaxi-nain
<glossing>	3s:rp/p give 3s:rp/p-3sm prep:3n palm:coconut:species-3n
<translation>	they ( say ) . They give him their palm coconut , 

<line_58>	mi' non pain mawirain . E' pin 'ac
<segmentation>	_ na-on _ mawira-in _ _ _
<glossing>	give 3s:rp/p-3sm prep:3n plant:species-3n live completely travel
<translation>	they give him its mawin plant . Then he lives

<line_59>	ca na . 'Am towe pin ta' na , towe
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	3sm 3s:rp/p finally:s fat completely 1s:rf 3s:rp/p fat
<translation>	( regains consciousness ) . He finally ( says ) , ` I will get fat ' , 

<line_60>	pin 'ac ca na . Quep xec pin 'ac ca
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	completely travel 3sm 3s:rp/p do day completely travel 3sm
<translation>	then he gets fat . Then he heals

<line_61>	na co tucuninim' ma' . 'Am caxi
<segmentation>	_ _ _ _ _ _
<glossing>	3s:rp/p INFL:m/frp/p shaman that:prox:hearer finally:s sick
<translation>	who is a shaman . Finally

<line_62>	ta' na wari' con . 
<segmentation>	_ _ _ _
<glossing>	1s:rf 3s:rp/p person prep:3sm
<translation>	a person ( says ) , ` I will be sick ' , regarding him . 

<line_63>	Quep 'ac ca na , cut 'ac cain na 'oro
