# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/TL/TL5042.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
den . 1740_1949
da . 1949_2078
hast . 2078_2270
noch . 2270_2510
nicht . 2510_2738
guck . 2738_2938
mal . 2938_3212
was . 3212_3363
ist . 3363_3460
denn . 3460_3549
das . 3549_3629
für . 3629_3864
einer . 3864_4120
ja . 6212_6451
warum . 6451_6840
hat . 6840_7030
er . 7030_7133
eine . 7133_7400
in . 7400_7460
der . 7460_7580
Hand . 7580_8050
das . 11187_11365
ist . 11365_11530
ein . 11530_11697
Bauarbeiter . 11697_12694
wo . 14258_14382
arbeiten . 14382_14750
die . 14750_14887
Bauerbeiter . 14887_15569
meistens . 15569_16240
genau . 18960_19415
und . 19750_19860
wo . 19860_19970
ist . 19970_20130
die . 20130_20390
und . 23330_23530
hast . 23530_23710
n . 23710_23840
gefunden . 23840_24470
sehr . 26291_26575
schön . 26575_26885
ja . 28530_28890
da . 28890_29010
steht . 29010_29428
er . 29428_29548
ne . 29548_29681
da . 30430_30660
steht . 30660_31050
der . 31050_31209
Bauarbeiter . 31209_32441
ja . 44023_44280
wenn . 44280_44359
er . 44359_44448
Pech . 44448_44678
hat . 44678_44856
kracht . 44856_45180
er . 45180_45228
zusammen . 45228_45671
was . 46570_46720
haben . 46720_46827
wir . 46827_46934
denn . 46934_47080
da . 47080_47186
oben . 47186_47520
noch . 47520_47840
was . 47840_48001
ist . 48001_48170
denn . 48170_48360
nach . 48360_48640
dem . 48640_48817
Bauarbeiter . 48817_49570
ist . 51351_51524
denn . 51524_51683
das . 51683_52029
da . 52029_52188
die . 57080_57190
Zapfsäule . 57190_58161
ne . 58161_58404
und . 61340_61530
was . 61530_61670
ist . 61670_61770
das . 61770_61920
letzte . 61920_62400
schaffst . 62400_62660
du . 62660_62720
des . 62720_62831
auch . 62831_63090
noch . 63090_63360
ja . 67895_68032
lass . 68032_68218
es . 68218_68333
mal . 68333_68570
lieber . 68570_68834
und . 68834_69002
zeig . 69002_69286
mir . 69286_69415
mal . 69415_69570
was . 69570_69756
das . 69756_70070
hier . 70070_70283
ist . 70283_70425
was . 70425_70629
ist . 70629_70854
das . 70854_71151
was . 71260_71400
macht . 71400_71586
der . 71586_71679
Mann . 71679_71944
na . 76970_77102
der . 77102_77440
was . 83779_83982
putzt . 83982_84293
der . 84293_84612
deshalb . 87553_87850
heisst . 87850_88112
der . 88112_88230
Mann . 88230_88430
Fensterputzer . 88430_89388
und . 92800_92937
wo . 92937_93047
ist . 93047_93229
der . 93229_93366
Mann . 93366_93540
auf . 93540_93712
dem . 93712_93863
grossen . 93863_94306
Bild . 94306_94691
ja . 102179_102330
jetzt . 102330_102485
hast . 102485_102755
ihn . 102755_102817
gefunden . 102817_103499
ne . 103499_103712
so . 106010_106250
da . 106570_106690
haben . 106690_106850
wir . 106850_106940
ja . 106940_107120
alles . 107120_107400
identifiziert . 107400_108466
stimmts . 109281_109840
siehst . 171868_172178
so . 172178_172342
ein . 172342_172502
Kleid . 172502_172830
auf . 172830_172976
dem . 172976_173189
grossen . 173189_173560
Bild . 173560_174004
dann . 176130_176277
schau . 176277_176574
doch . 176574_176733
mal . 176733_176990
nach . 176990_177415
ja . 183660_184017
des . 184017_184190
ist . 184190_184310
ja . 184310_184390
auch . 184390_184495
ein . 184495_184660
Mikrofon . 184660_185408
hast . 187470_187630
denn . 187630_187770
das . 187770_187920
Kleid . 187920_188279
gefunden . 188279_188882
vielleicht . 191172_191531
hats . 191531_191740
jemand . 191740_192041
an . 192041_192330
da . 198075_198381
ist . 198381_198536
das . 198536_198713
Kleid . 198713_199090
die . 199090_199285
hats . 199285_199701
an . 199701_199949
ist . 287826_287986
auch . 287986_288123
das . 288123_288332
Mikrofon . 288332_289045
was . 289790_289910
kommt . 289910_290090
denn . 290090_290200
als . 290200_290480
nächstes . 290480_291154
auf . 293032_293241
deinen . 293241_293688
Bildern . 293825_294322
hier . 294322_294734
was . 296070_296240
ist . 296240_296391
denn . 296391_296490
das . 296490_296700
nächste . 296700_297109
in . 297109_297241
der . 297241_297357
Reihe . 297357_297773
guck . 299466_299798
mal . 299798_300006
nach . 300006_300635
ein . 306710_306900
Kasper . 306900_307498
ist . 307498_307773
des . 307773_308021
der . 309235_309359
ist . 309359_309488
ganz . 309488_309705
schwierig . 309705_310170
zu . 310170_310343
finden . 310343_310981
tatsächlich . 313533_314171
da . 314220_314317
ist . 314317_314450
er . 314450_314543
schon . 314543_314858
hast . 315070_315256
aber . 315256_315420
gut . 315420_315664
aufgepasst . 315664_316475
was . 317760_317950
kommt . 317950_318216
noch . 318216_318640
