# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2000
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/FoxBoyer/TD_PL-II_C30.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Geburtstag .
Jacke .
streiten .
Ring .
Bild .
Schmetterling .
Bank .
Trampolin .
Roller .
Buch .
Spritze .
Jäger .
Schiff .
König .
Glas .
Auto .
blau .
kaputt .
Schwein .
Sack .
Pflaster .
Trecker .
Schrank .
Apfel .
Zange .
Schere .
Geschenk .
Fenster .
Brille .
Wurst .
Gras .
Schlange .
Hexe .
Frosch .
quak .
Zwerg .
Pferd .
Gießkanne .
Wippe .
Kleid .
Nuss .
Giraffe .
Korb .
Schlüssel .
Dusche .
Gitarre .
Tasche . 2542_3355
Gabel . 4104_4922
Hund . 5520_6266
Topf . 8669_9370
Lampe . 9664_10465
Vogel . 10750_11602
Licht . 13155_13801
Sonne . 13804_14955
Pullover . 15198_16071
Stuhl . 16266_17034
Marienkäfer . 18668_20021
Taucher . 20452_21308
Haus . 21658_22321
rot . 24211_25419
Junge . 25620_26351
Telefon . 26553_27489
Spinne . 28754_29534
Hase . 34439_35198
Katze . 35444_36132
Tasse . 36492_37189
Eichhörnchen . 38790_39961
Bett . 40194_40885
Trommel . 41314_42099
Löwe . 44136_44818
Teller . 45072_45604
Motorrad . 45848_46825
Schnecke . 48682_49392
Zitrone . 49716_50660
Nest . 51193_52143
Rutsche . 72561_73420
Becher . 74443_75305
Feder . 76196_76933
Brief . 79920_80387
Baum . 81355_81878
Zebra . 82173_83046
drei . 85702_86151
Knöpfe . 86051_87155
Fisch . 87957_88700
Milch . 88984_89884
Polizei . 92377_93314
Flasche . 93720_94379
Krokodil . 94794_95764
grün . 96193_97023
Elefant . 97286_98218
Blume . 98506_99128
Gespenst . 99128_100214
Drache . 102817_103539
Banane . 103735_104801
gelb . 105831_106327
Bagger . 109062_109911
