# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/Parents/LD/LD6061.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
okay . 37622_38188
des . 38314_38654
Mama . 38706_39015
des . 39015_39176
spielen . 39176_39456
Vallerie . 39456_39892
und . 39892_40083
ich . 40083_40233
und . 40233_40379
du . 40379_40514
guckst . 40514_40940
zu . 40940_41181
nur . 56067_56257
nicht . 56257_56428
schreien . 56428_57195
Mama . 69831_70086
guck . 70086_70377
mal . 70377_70507
kann . 70507_70778
des . 70778_70948
hier . 70948_71059
auch . 71059_71239
so . 71239_71665
oh . 74301_74522
Valli . 74522_74732
pass . 74732_75008
bitte . 75008_75259
mal . 75259_75389
auf . 75389_75775
weil . 78171_78341
wenn . 78341_78492
man . 78492_78652
drückt . 78652_79043
dann . 79043_79239
tut . 79239_79574
mir . 79574_79740
des . 79740_79970
natürlich . 79970_80752
weh . 80847_81158
ich . 83745_83910
mach . 83910_84115
hier . 84115_84541
noch . 84541_84857
eine . 84857_85063
Reihe . 85063_85629
du . 110329_110535
fängst . 110535_110971
an . 110971_111347
sprich . 117251_117687
mal . 117687_117843
deutlicher . 117843_118620
aber . 126108_126394
du . 126394_126484
sollst . 126484_126815
deutlicher . 126815_127346
sprechen . 127346_127857
finde . 127857_128188
ich . 128188_128419
Schmetterling . 130103_131286
und . 131286_131812
Kamel . 132103_132739
Stadion . 151515_152603
Saxophon . 153510_154387
Mama . 154387_154502
ich . 154502_154613
habs . 154613_154813
gut . 154813_155004
ich . 155004_155094
kann . 155094_155309
des . 155309_155495
lesen . 155495_155780
und . 155780_155876
du . 155876_155951
musst . 155951_156166
mir . 156166_156247
nichts . 156247_156377
sagen . 156377_156788
in . 161284_161409
einer . 161409_161560
Toilette . 161560_162562
Müllwagen . 172717_173885
und . 175073_175353
Eisenbahn . 175353_176321
Malerin . 190009_191098
Saxophon . 191838_193066
Saxophon . 208404_209742
Saxophon . 209983_211351
habe . 211542_211702
habe . 211702_211953
ich . 211953_212063
mir . 212063_212233
gemerkt . 212233_212755
Mama . 212755_213181
ähm . 214243_214699
Flughafen . 215632_216885
Müllwagen . 217346_218564
Krokodil . 228197_229988
Polizistin . 230363_231560
ah . 251399_251584
des . 251584_251770
der . 251770_251930
Bikini . 251930_252497
und . 252497_252592
nicht . 252592_252727
das . 252727_252792
Krokodil . 252792_253785
des . 254542_254797
ist . 254797_254953
des . 254953_255123
Krokodil . 255123_255965
ja . 257474_257634
ach . 260145_260351
des . 260446_260692
doch . 260692_260882
der . 260882_261068
Bikini . 261068_261960
Krokodil . 264506_265699
Krokodil . 265699_266833
Bikini . 267328_268379
Bikini . 268708_269593
jetzt . 269593_269973
haben . 269973_270221
wirs . 270221_270616
Wohnwagen . 272076_273228
Polizistin . 273494_274531
Tomate . 289509_290589
Kokosnuss . 291450_292492
Pistole . 308384_309383
Tomate . 310116_310882
die . 311396_311543
spricht . 311543_311971
so . 311971_312157
Pistole . 312314_313151
spricht . 313242_313579
die . 313579_313708
Tomate . 313708_314379
Valerie . 319817_320317
warum . 320317_320583
hast . 320583_320792
du . 320792_320873
denn . 320873_321216
den . 321216_321449
Vulkan . 321449_321896
aufgedeckt . 321896_322577
deck . 326421_326607
was . 326607_326806
auf . 326806_327287
mach . 339334_339662
es . 355263_355430
heisst . 355430_355682
nicht . 355682_355834
Gunrilla . 355834_356596
Gorilla . 356596_357642
Postauto . 359517_360664
Müllwagen . 360849_361658
ich . 361658_361834
decke . 361834_362172
immer . 362172_362491
den . 362491_362719
Müllwagen . 362719_363285
auf . 363285_363728
hört . 365708_365974
die . 365974_366099
alles . 366099_366370
was . 366370_366499
mir . 366499_366634
jetzt . 366634_366738
sprechen . 366738_367206
sogar . 369773_370023
das . 370023_370195
was . 370195_370395
du . 370395_370510
sprichst . 370510_370914
achso . 371729_371954
des . 371954_372068
sind . 372068_372215
die . 372215_372318
drei . 372318_372554
die . 372554_372647
fehlen . 372647_373016
Malerin . 381928_383578
Vulkan . 385324_386167
mach . 387201_387451
Valli . 387451_387801
Valerie . 389481_389853
mach . 389853_390203
Polizeiauto . 399837_400728
Polizeiauto . 400821_401793
Trampolin . 402554_403212
Trampolin . 403941_404728
Eisenbahn . 405768_406630
Papagei . 407741_408424
also . 409618_409858
Papagei . 409858_410322
sitzt . 410322_410569
in . 410569_410658
einer . 410658_410719
Eisenbahn . 410719_411177
oder . 411177_411395
was . 411395_411720
Stadion . 417990_418805
blos . 418805_419299
Malerin . 419896_420604
Malerin . 420707_421404
Müllwagen . 422262_423067
Flughafen . 424479_425322
Mist . 425322_425844
Müllwagen . 447898_448840
Müllwagen . 449451_450604
Postauto . 452769_453931
Papagei . 454594_455490
Matrose . 481363_482207
Matrose . 482369_483247
pups . 484715_485170
nicht . 485170_485543
Kokosnuss . 486060_487100
Pistole . 487558_488341
des . 497177_497343
eine . 497343_497495
Pistole . 497664_498177
Pistole . 498177_498804
und . 498804_498890
keine . 498890_499134
Kanone . 499134_499565
Pistole . 499565_500125
spiel . 501926_502302
da . 502302_502412
bitte . 502412_502693
nicht . 502693_502898
rum . 502898_503109
Packet . 536660_537324
Packet . 537718_538375
Kokosnuss . 539535_540216
Kokosnuss . 540302_541174
Fliege . 542149_543048
Gorilla . 543818_544494
Polizistin . 556440_557773
Teddybär . 558880_559626
das . 559745_559947
ist . 559947_560097
ja . 560097_560235
hier . 560235_560437
alles . 560437_560684
durcheinandern . 560684_561430
heisst . 572569_572853
Radfahrer . 572853_573685
Ratfahrer . 573685_574465
und . 574761_574813
nicht . 574813_574927
Radfahrer . 574927_575471
Radfahrer . 575471_576088
Flughafen . 588408_589732
Kamel . 591156_591780
guck . 596024_596220
so . 596220_596394
Kamel . 596663_596981
Kamel . 596981_597577
macht . 599498_599822
die . 599822_600036
Teddy . 606891_607414
Teddy . 607414_608135
Flughafen . 608823_609530
Flughafen . 609530_610380
Postauto . 611031_611752
Postauto . 611752_612676
Eisenbahn . 613881_614920
Polizistin . 615859_616804
ja . 621537_621687
Polizistin . 632309_633410
Gorilla . 633917_634492
Papagei . 648355_649159
Papagei . 649159_650064
Eisenbahn . 650960_651884
Polizistin . 653113_654168
endlich . 662848_663301
haben . 663301_663411
wir . 663411_663463
die . 663463_663558
Polizisten . 663558_664310
weg . 664310_664591
die . 664591_664851
nervt . 665802_666276
nämlich . 666276_666679
deck . 668123_668257
ich . 668257_668422
nämlich . 668422_668649
immer . 668649_668820
auf . 668820_669015
ist . 670416_670550
eine . 670550_670685
Fliege . 670685_671535
Fliege . 672724_673455
Fliege . 673455_674299
Giraffe . 675082_675797
Eisenbahn . 676274_677149
Mist . 677149_677745
daneben . 677910_678360
ja . 680029_680133
so . 680133_680304
Giraffe . 680384_680784
Giraffe . 680784_681255
des . 681255_681368
war . 681368_681512
ja . 681512_681622
praktisch . 681622_682093
sind . 690728_691015
ja . 691015_691125
drei . 691125_691654
Eisenbahn . 698662_699341
Eisenbahn . 699341_700157
wo . 701686_701830
ist . 701830_701949
die . 701949_702123
Gitarre . 702123_702661
warum . 705037_705306
hast . 705306_705652
du . 705652_705768
hast . 705768_706059
habt . 706059_706328
ihr . 706328_706380
des . 706380_706484
mit . 706484_706643
reingemischt . 706643_707217
wer . 715635_715779
hat . 715779_715956
gewonnen . 715956_716503
ups . 717130_717684
die . 721437_721597
Luisa . 721597_722204
Dalkowski . 722204_722935
hat . 722935_723226
beim . 723226_723422
Memory . 723422_723938
gewonnen . 723938_724890
Valerie . 730250_730954
ist . 730954_731296
zweiter . 731296_731827
Sieger . 731827_732318
Mama . 738303_738639
gell . 738639_738935
ich . 738935_739145
wa . 739145_739320
Mama . 739676_739977
gell . 739977_740223
die . 740223_740328
Luisa . 740328_740799
Dalkowski . 740799_741561
ist . 741561_741731
Sieger . 741731_742288
den . 752057_752337
den . 752337_752668
mag . 752869_753174
ich . 753174_753315
doch . 753315_753500
spielen . 753500_754041
den . 754828_754984
spiel . 754984_755209
ich . 755209_755345
doch . 755345_755595
ich . 757685_757906
ich . 757906_758096
will . 758096_758242
die . 758242_758377
Zebras . 758512_758948
spielen . 758948_759295
das . 783117_783694
ist . 783869_784431
Naami . 784967_785669
und . 788741_788891
das . 788891_789308
ist . 789403_789708
Namii . 789708_790355
das . 796921_797352
ist . 797467_797898
Biimo . 798049_798600
und . 801066_801257
und . 804369_804545
das . 804545_804931
ist . 804931_805271
Bimoo . 805447_806038
das . 811286_811522
ist . 811692_811968
Miidano . 811968_812665
das . 814599_814780
ist . 814780_815005
Miidano . 815005_815672
und . 818970_819120
das . 819120_819451
ist . 819451_819757
Miidano . 819757_820624
das . 823175_823371
ist . 823491_823717
Miidano . 823717_824508
und . 824508_824679
das . 824679_824945
ist . 824945_825200
Midaano . 825200_825852
wie . 837265_837380
heisst . 837380_837646
