# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2000
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/FoxBoyer/TD_PL-II_C02.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Pferd .
Tasche . 28667_29450
Gabel . 31995_32747
Hund . 35194_35820
Topf . 39920_40862
Lampe . 42542_43270
Vogel . 64115_64864
Licht . 69931_70722
Sonne . 76505_77438
Pullover . 86327_87054
Stuhl . 88688_90130
Marienkäfer . 92591_93867
rot . 96116_97291
Taucher . 103499_104244
Haus . 113369_114194
Junge . 131374_132018
Telefon . 135518_136365
Spinne . 137850_138666
Hase . 155432_156098
Katze . 158166_159062
Tasse . 163057_163901
Eichhörnchen . 168727_169721
Bett . 171729_172293
Trommel . 174794_175724
Löwe . 195594_196566
Teller . 197375_198087
Motorrad . 198538_199614
Schnecke . 205344_206504
Zitrone . 214819_215810
Nest . 217800_218748
Rutsche . 223352_223960
Feder . 231679_232317
Becher . 246234_246912
Brief . 250396_251855
Baum . 253531_254194
Zebra . 254633_255550
Knöpfe . 260722_262019
drei . 263364_264374
Fisch . 266717_267278
Milch . 271915_272682
Polizei . 280108_281164
Flasche . 281877_282916
Krokodil . 283613_284665
grün . 293638_294292
Elefant . 298989_299857
Blume . 300713_301275
Gespenst . 301228_302632
Drache . 311258_312063
Banane . 312709_313670
Bagger . 313999_314663
gelb . 316753_317544
Geburtstag . 325492_327011
Jacke . 332351_333007
streiten . 335562_336620
Ring . 351457_351954
Bild . 353688_354339
Schmetterling . 356929_357868
Roller . 361865_362557
Trampolin . 364513_365869
Bank . 366833_367490
Jäger . 377081_377808
Spritze . 379666_380833
Buch . 382635_383286
Schiff . 388666_389267
König . 390461_391501
Glas . 393467_394353
Auto . 404627_405397
blau . 408281_409143
blau . 410555_411291
Schwein . 414223_414844
kaputt . 416084_416897
Schwein . 419735_420376
Sack . 422315_422723
Pflaster . 429401_430349
Tacktor . 434440_435756
Schrank . 436505_437253
Apfel . 440270_441092
Zange . 442635_443375
Schere . 443747_444526
Geschenk . 450276_451095
Fenster . 460410_461352
Brille . 463541_464159
Wurst . 466596_467534
Gras . 468046_468705
Schlange . 469226_470042
Hexe . 476873_478008
Hexe . 483713_484197
Frosch . 500395_501420
Zwerg . 501896_502634
quak . 503989_504931
quak . 505751_506386
Wippe . 513909_514593
Gießkanne . 529470_530259
Kleid . 533996_534972
Nuss . 535580_536199
Giraffe . 537210_538096
Schlüssel . 542511_543298
Korb . 543571_544160
Dusche . 554010_554725
Gitarre . 555507_556578
