# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/RL/RL6061.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
soll . 6023_6209
ichs . 6209_6381
jetzt . 6381_6596
sagen . 6596_7179
Robin . 8010_8460
Liesenfeld . 8460_9823
wieso . 13551_13718
muss . 13718_14015
man . 14015_14187
das . 14187_14364
immer . 14364_14579
sagen . 14579_15267
ich . 31696_31896
ich . 32451_32585
Biimo . 32953_33665
der . 36772_37092
hei . 38177_38555
wer . 38555_38870
ist . 38870_39052
des . 39052_39860
Bimoo . 45930_46905
den . 66149_66278
bring . 66278_66713
ich . 66890_67215
als . 67215_67593
hallo . 68185_68697
Dobaa . 68697_69462
krieg . 70136_70446
ich . 70446_70661
dich . 70661_71010
Dobaa . 71010_72363
Robin . 74858_75284
Liesenfeld . 75284_76431
Dobaa . 81368_82215
ich . 82334_82563
bin . 82563_82822
Dobaa . 82822_83405
Dooba . 86038_87181
bin . 87181_87506
ich . 87506_87855
Biimo . 99360_99919
Baadoni . 102075_102859
Badonii . 106496_107797
wie . 117791_117877
heißt . 117877_118140
des . 118140_118341
Naami . 123962_124933
Namii . 126811_127370
los . 129340_129794
gib . 129794_130305
her . 130305_130774
wie . 135721_135802
heißt . 135802_136251
der . 136251_136691
Midanoo . 143130_143718
Miidano . 144803_146337
oh . 146686_146820
der . 147126_147374
muss . 147374_147628
auch . 147628_148206
zu . 148206_148588
gehn . 148588_149129
dir . 149129_149583
der . 150340_150558
will . 150558_150792
hier . 150792_151060
hin . 151060_151289
Biimo . 156609_157125
hallo . 162484_163038
Dobaa . 163038_164085
kennt . 168114_168415
ihr . 168415_168554
mich . 168554_168846
schon . 168846_169328
ja . 175475_175949
hier . 181656_181866
ein . 195604_195881
Bär . 195881_196904
aber . 197329_197626
du . 197626_197731
bist . 197731_198056
ein . 198056_198304
Pinguin . 198304_199064
zehn . 199399_199786
brauchst . 199786_200398
du . 200398_200479
gell . 200479_200785
Pinguin . 200785_201674
Biber . 212190_212873
der . 213600_213710
heißt . 213710_213925
Biber . 213925_214460
braune . 220105_221262
Bär . 221262_221869
ich . 222581_222730
weiß . 222730_223059
es . 223059_223504
Bimoo . 227127_227663
Bimoo . 231826_232863
Biimo . 235482_236415
Bimoo . 239521_240162
und . 245320_245597
des . 245597_246218
ist . 246218_246543
und . 248269_248412
der . 248412_248790
Dobaa . 251887_253163
guck . 253288_253551
dich . 253551_253962
Dooba . 257695_258326
nein . 268416_268698
du . 268698_268789
darf . 268789_269166
des . 269166_269300
nicht . 269300_269463
verraten . 269463_270887
Pinguin . 273913_274396
Badoni . 278401_279032
Baadoni . 287335_288248
Badonii . 292378_293147
Baadoni . 296006_297487
Robin . 300432_300829
Liesenfeld . 300829_301918
jetzt . 303070_303271
können . 303271_303553
sie . 303553_303697
haben . 304074_304308
des . 304308_304461
nochmal . 304461_304772
eingetippt . 304772_305642
Robin . 310226_310628
Liesenfeld . 310628_311784
Biimo . 320890_321468
Miidano . 325823_327099
Midanoo . 329479_330507
Miidano . 335526_336764
oh . 338203_338666
kleine . 349570_350368
Naami . 356309_357514
ich . 364091_364124
will . 364124_364368
aber . 364368_364640
bo . 364774_365128
des . 365654_365778
darf . 365778_366275
man . 366275_366514
lautlos . 366514_367379
Robin . 369310_369664
Liesenfeld . 369664_371156
du . 389329_389635
guckst . 389635_390290
aufn . 390290_390624
Zettel . 390624_390925
und . 390925_391155
sagst . 391155_391762
des . 392101_392302
der . 392541_392675
Zettel . 392675_393067
ist . 393067_393215
dein . 393215_393439
Rechner . 393439_393913
und . 394238_394333
ich . 394333_394548
