# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/LL/LL5011L.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
anmachen . 25417_26024
da . 26024_26460
was . 36614_36790
ist . 36790_36980
des . 36980_37206
rote . 37206_37657
und . 40008_40178
was . 40178_40414
ist . 40414_40529
des . 40529_40815
rote . 40815_41326
des . 56017_56252
ist . 56252_56473
Biimo . 56473_57170
und . 61595_61831
der . 61831_62197
Bimoo . 62197_62833
der . 67485_67735
heisst . 67735_68187
Bimoo . 68187_69314
heisst . 72026_72447
Biimo . 72447_72973
es . 82782_82857
heisst . 82857_83193
Namii . 83193_84161
Namii . 90797_91358
und . 91734_91799
des . 91799_91919
heisst . 91919_92230
Naami . 92230_92827
und . 95799_95944
der . 95944_96325
kleine . 96325_97298
heisst . 97298_98861
Midanoo . 100014_100756
der . 101127_101428
heisst . 101428_102159
Miidano . 105693_106986
Bimoo . 185242_185618
heissen . 185618_185984
beide . 185984_186365
Biimo . 186365_186836
Biimo . 186836_187398
Bimoo . 194388_194841
heisst . 194841_195091
der . 195091_195222
Eisbär . 195387_195803
und . 202294_202364
das . 202364_202530
haben . 202530_202650
wir . 202650_202760
nein . 203427_203953
die . 204164_204244
kann . 204244_204610
ich . 204610_204746
schon . 204746_205051
weiss . 227912_228298
ich . 228298_228523
nicht . 228523_229044
ja . 277638_277889
des . 277889_278069
sind . 278069_278204
die . 278204_278249
schwierigsten . 278249_279147
Namen . 279147_279698
sind . 279698_280325
Lena . 283247_284059
und . 327705_327826
was . 327826_328011
ist . 328011_328212
des . 328212_328477
rote . 328477_328973
da . 328973_329364
weil . 333875_334026
man . 334026_334256
es . 334256_334351
abends . 334838_335359
noch . 335359_335800
kann . 335950_336321
mach . 337314_337494
es . 337494_337584
jetzt . 337584_337830
aus . 337830_338301
des . 342351_342531
heisst . 342531_343153
Lena . 343153_343830
des . 343870_344070
heisst . 344070_344672
Leni . 344672_345589
und . 346942_347113
des . 347113_347343
heisst . 347343_347799
Popo . 347880_348631
Bimoo . 361824_362480
wollte . 362550_362856
ich . 362856_362976
sagen . 362976_363593
