# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/VZ/VZ5093.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Mama . 800984_801625
Nase . 1040735_1041167
Auge . 1041801_1042234
Auge . 1046983_1047406
Auge . 1047523_1047948
Nase . 1047948_1048585
Mund . 1048585_1049251
Kopf . 1050200_1050635
ist . 1050635_1050999
kugelrund . 1050999_1051796
Auge . 1052762_1053246
Auge . 1053246_1053871
Nase . 1053871_1054540
Mund . 1054540_1055319
und . 1055945_1056170
mein . 1056170_1056480
Kopf . 1056480_1056815
ist . 1056815_1057120
kugelrund . 1057120_1057814
Blume . 1117525_1118034
genau . 1118034_1118557
