# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2000
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Biling/PhonBLA/deu/Nils/010608.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Mami . 159299_159950
Mama . 160600_188950
Bär . 217299_235700
Bär . 254100_266800
Papi . 279500_322350
Nein . 365201_371550
Libro . 377900_509400
Kater . 640901_704300
Mama . 767699_800400
Katze . 833100_856250
Nein . 879400_890400
Libro . 901401_1025900
Mono . 1150400_1190900
Mono . 1231400_1285350
Nein . 1339300_1393251
Bär . 1447201_1451851
Bär . 1456501_1515100
Bär . 1573699_1581650
Bär . 1589600_1593650
Mono . 1597700_1611450
Bär . 1625201_1666601
Bär . 1708001_1708401
Bär . 1708800_1747637
