# language_name_wals:	Gooniyandi
# language_name_glotto:	Gooniyandi
# iso639_3:	gni
# year_composed:	1982
# year_published:	1984
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	vowel length is indicated by ":", and "..." indicates a pause. Up and down arrows, as well as so-called en dashes (↑↓–) are used for rising, falling and level tones respectively.
# short_description:	Citing from McGregor (1984), p. 479: "The following is a short version of a traditional myth about fire, told by Dave Lamey in 1982 for inclusion in a school reader."
# source:	McGregor, William B. (1984). A Grammar of Kuniyanti: An Australian Aboriginal language of Southern Kimberley, Western Australia. PhD thesis submitted to the University of Sydney.
# copyright_short:	Copyright and use of this thesis must be used in accordance with the provisions of the Copyright Act 1968.
# copyright_long:	Reproduction of material protected by copyright may be an infringement of copyright and copyright owners may be entitled to take legal action against persons who infringe their copyright. Section 51 (2) of the Copyright Act permits an authorized officer of a university library or archives to provide a copy (by communication or otherwise) of an unpublished thesis kept in the library or archives, to a person who satisfies the authorized officer that he or she requires the reproduction for the purposes of research or study. The Copyright Act grants the creator of a work a number of moral rights, specifically the right of attribution, the right against false attribution and the right of integrity. You may infringe the author’s moral rights if you: - fail to acknowledge the author of this thesis if you quote sections from the work; - attribute this thesis to another author;  subject this thesis to derogatory treatment which may prejudice the author’s reputation. For further information contact the University’s Copyright Service. sydney.edu.au/copyright
# sample_type:	whole
# comments:	Citing from McGregor (1984), p. 471: "The texts are divided into tone units, indicated by slashes, and sentences, which correspond to the numbered lines." Underlining is used in the original texts for stressed syllables, this is not provided here. In glosses, white spaces are removed between stems and morphological markers, in order to get the word-to-gloss alignments which in the original texts are provided by tabs, e.g. "big -LOC" is given as "big-LOC" here. Additionally, a white space is replaced by a dot if two separate glosses refer to the same orthographic word in the Goonyiandi text, e.g. "kirnajpirri" corresponds to "they sat" coded as "they.sat". Note that, unfortunately, the glosses are often incomplete in the sense that a word which has been glossed before is left unglossed when it appears again, e.g. "marlami" in sentence (3). In such cases, we add an underscore "_" to the glossed line to indicate that there is a gloss missing.

<line_1>	yuwulu karntiwa kirnajpirri pulkawulka↑ /
<glossing>	man many they.sat old.men
<translation>	There were lots of old men sitting around .

<line_2>	warangpirri↑ maatiya nyamaniya kampa pijngarniwirrangi↑ /
<glossing>	they.sat cold-LOC big-LOC water it.emerged-on.them
<translation>	They sat ; in the very cold time rain came .

<line_3>	 maati↓ / pilankiti marlami↓ / majurru marlami↓ / kaliku marlami↓ / winhi warangpirri yuwulu↓ / ngamu ngarrangkarni↓ /
<glossing>	cold blanket without matches _ calico _ only they.sat man before long.ago
<translation>	It was cold . They had no blankets , no matches , no tents . People just had nothing .

<line_4>	niyajiya warangpirri↑ / palngarna↓ /
<glossing>	this-LOC they.sat outside
<translation>	They sat around in the open .

<line_5>	kampangka yilijpina↓ / karntiwa↑ / maati tijjiwina↑ /
<glossing>	water-ERG it.rained.on.them many cold it.broke.them
<translation>	It rained on everyone , and made them cold .

<line_6>	niyajiya↑ / yuwarni lamparti yuwulu↑ / yingi↑ / jilnginti↓ / niyajingka wartjiwirrangi↑ / tutujiwirrani- / maati- / yuwuluyarntingka↑ / pulkawulkangka↑ / parntanyiparntanyingka↓ /
<glossing>	this-LOC one little _ name [name] this-ERG he.went.up.to.them they.were.shivering cold _ old.men-ERG old.women-ERG
<translation>	There , a little man called Jilnginti came up to them , who were all shivering with cold , the old men and women .

<line_7>	niyingka tuwungarniwirrangi↓ /
<glossing>	that-ERG he.got.it-on.them
<translation>	He took it from them .

<line_8>	kintiwa yalawanyali kirraringa↑ / tuwuya tirippinti↓ /
<glossing>	upstream close-REP he.ran.away.with.it cave-LOC he.entered
<translation>	He ran a little way upstream with it and went into a cave .

<line_9>	mikawinmi palyuwa↑ / ngirntiya wayanti ngurntuka kirraringa↑ /
<glossing>	they.said behind this-LOC fire someone-ERG he.ran.away.with.it
<translation>	They said behind " Who's run off with the fire ? "

<line_10>	pukangka kinharntikawami↑ / kintiwa kirraringa niyajiyirra↓ /
<glossing>	child-ERG you.know-ERG-maybe upstream he.ran.away.with.it this-ALL
<translation>	It was that child you know , he ran off upstream with it to this place .

<line_11>	palyuwa pirlajpinminhi↑ / niyajiya tuwuya kintiwa↑ / nhinnhinpirra kirilingarringka- / kurlartangarringka↓ /
<glossing>	behind they.followed.him this-LOC cave-LOC upstream they.poked.around stick-COMIT-ERG spear-COMIT-ERG
<translation>	They followed behind and poked up into the cave with sticks , with spears .

<line_12>	kintiwa niyaji nyakpiwirra↑ / wayanti kintiwanyali warangnga↓ /
<glossing>	upstream this they.pierced.him.iteratively fire upstream-REP he.held.it
<translation>	They pricked him again and again ( but ) he still held the fire up in the cave .

<line_13>	yilpa niyaji warangji paapirri↓ / wila↑ /
<glossing>	for.good this he.sat inside finish
<translation>	He stayed for good inside ( the cave ) . That's all .
