# language_name_wals:	Gooniyandi
# language_name_glotto:	Gooniyandi
# iso639_3:	gni
# year_composed:	1982
# year_published:	1984
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	vowel length is indicated by ":", and "..." indicates a pause. Up and down arrows, as well as so-called en dashes (↑↓–) are used for rising, falling and level tones respectively.
# short_description:	Citing from McGregor (1984), p. 471: "This text was recorded 'on site', at a waterhole on the Fitzroy River, where the events described took place. It tells of a hunting trip the speaker had gone on with two friends a number of years previously. (If, as is likely, the place referred to in line (79) is the Fitzroy Crossing ration station, the events must have occurred sometime between end of the Second War and 1951 - v. Kolig 1981:23). This story was told by Jack Bohemia in 1982."
# source:	McGregor, William B. (1984). A Grammar of Kuniyanti: An Australian Aboriginal language of Southern Kimberley, Western Australia. PhD thesis submitted to the University of Sydney.
# copyright_short:	Copyright and use of this thesis must be used in accordance with the provisions of the Copyright Act 1968.
# copyright_long:	Reproduction of material protected by copyright may be an infringement of copyright and copyright owners may be entitled to take legal action against persons who infringe their copyright. Section 51 (2) of the Copyright Act permits an authorized officer of a university library or archives to provide a copy (by communication or otherwise) of an unpublished thesis kept in the library or archives, to a person who satisfies the authorized officer that he or she requires the reproduction for the purposes of research or study. The Copyright Act grants the creator of a work a number of moral rights, specifically the right of attribution, the right against false attribution and the right of integrity. You may infringe the author’s moral rights if you: - fail to acknowledge the author of this thesis if you quote sections from the work; - attribute this thesis to another author;  subject this thesis to derogatory treatment which may prejudice the author’s reputation. For further information contact the University’s Copyright Service. sydney.edu.au/copyright
# sample_type:	whole
# comments:	Citing from McGregor (1984), p. 471: "The texts are divided into tone units, indicated by slashes, and sentences, which correspond to the numbered lines." Underlining is used in the original texts for stressed syllables, this is not provided here. In glosses, white spaces are removed between stems and morphological markers, in order to get the word-to-gloss alignments which in the original texts are provided by tabs, e.g. "this -LOC" is given as "this-LOC" here. Additionally, a white space is replaced by a dot if two separate glosses refer to the same orthographic word in the Goonyiandi text, e.g. "pakiyirri↑" corresponds to "we lay" coded as "we.lay". Note that, unfortunately, the glosses are often incomplete in the sense that a word which has been glossed before is left unglossed when it appears again, e.g. "wantajpirrayi" in sentence (8) and (9). In such cases, we add an underscore "_" to the glossed line to indicate that there is a gloss missing.

<line_1>	/ ngirntajiya walyarraya pakiyirri↑ / ngarlutu yuwulu pakiyirrirri↓ /
<glossing>	this-LOC sand-LOC we.lay three men we.lay
<translation>	Here , on the sand we camped , there were three of us Aborigines .

<line_2>	... a ... wiliwili ... jurntu↑ / yutjiti↑ / ngarlutu jurntu yutjiti↓ /
<glossing>	um fishing.line fishing.line we.put.it three _ _
<translation>	Um , we put in fishing lines , three lines we set .
<comment>	wiliwili and jurntu are both used in reference to fishing lines . It is not clear in what respect the terms differ .

<line_3>	mirtjinmi↓ / lalangkarrayu↓ /
<glossing>	we.tied.it crocodile-DAT
<translation>	We tied up the lines ( to a tree ) for crocodiles .

<line_4>	maningka pakiyirri:– /
<glossing>	night we.lay
<translation>	We camped the night .

<line_5>	mungaya↓ / milawawinmi pitiyurrungka↓ / nganyi muyu pakingi↓ /
<glossing>	morning they.were.looking they-DU-ERG I asleep I.lay
<translation>	In the morning , ( while ) the ( other ) two were looking ( at the lines ) , I was sleeping .

<line_6>	... a ... rirrwinpirrayi↓ / ngarlutu rirrwinpirrayi– /
<glossing>	um they.(2).pulled.them.in three _
<translation>	Um , they pulled them in , the three lines .

<line_7>	yuwarni kalanyi rirrwirrayi:– / kartpirriniyi↓ / yanya rirrnyaliwiti– / kartpirrini↓ / yanya↓ / ngampirrinyali rirrwiti↓ / kartpirrini↓ /
<glossing>	one first they.pulled.it they.hit.it other they.pulled.it.again _ _ again-REP they.pulled.it _
<translation>	They pulled in one ( crocodile ) first , and killed it ; they pulled in another , and killed it , and again they pulled in another , and killed it .

<line_8>	jingirnali wantajpirrayi↓ /
<glossing>	from.the.west they.(2).carried.it
<translation>	They brought them back from the west .

<line_9>	wantajpirrayi:: ngirntajiyayu↓ /
<glossing>	_ this-ALL
<translation>	They brought it back here .

<line_10>	mun ... ngany ... / nganyingka manyi wupila↓ / nalija↓ /
<glossing>	_ _ I-ERG food I.cooked.it tea
<translation>	I was cooking the breakfast , tea .

<line_11>	wayanti jatjiti↓ / nyamani↓ /
<glossing>	fire we.lit.it big
<translation>	We lit a fire , a big one .

<line_12>	kurrku kirra:pingarri manyjiyinmi↓ / wili↓ /
<glossing>	hole lo——ng we.made.it finish
<translation>	We dug a lo——ng hole .

<line_13>	lirri kajpirrayi: wili↓ /
<glossing>	guts they.cut.it finish
<translation>	They cut out its guts .

<line_14>	mirlinyulu tuwuwaniwirrayi:: wili↓ /
<glossing>	liver-etc. they.(2).got.it _ 
<translation>	The ( other ) two got out the liver etc.

<line_15>	lirri ngapayirri↓ /
<glossing>	guts we.were.eating
<translation>	We were eating the guts .

<line_16>	wupiyirra:: lirri ngapjirra↓ /
<glossing>	we.cooked.it _ we.ate.it
<translation>	We cooked the guts and ate them .

<line_17>	jilywiri↑ / wuppitiyi↓ / ngapnga↓ / kurrkuya↓ /
<glossing>	guts they.(2).cooked.it it.cooked hole-LOC
<translation>	They ( the other two ) cooked it : it cooked in the hole .

<line_18>	ngamani ... yurru↓ / ngarlutu niyiyarnti kirtpirrini– / kurrkuya↓ /
<glossing>	big -DU three that-PL they.left.it hole-LOC
<translation>	Two big ... the three ( crocodiles ) they left in the ( cooking ) hole .

<line_19>	kirtpirrini: wili↓ / ngapnga↓ /
<glossing>	_ _ it.cooked
<translation>	They left them , and let them cook .

<line_20>	likayirra↓ / likayirra:: lanykiya↓ / tinaya↓ / murlakpirli↓ /
<glossing>	we.waited _ midday dinner-LOC it.cooked
<translation>	We waited . We waited til midday , dinner , when it had cooked .

<line_21>	kurlawirrarni↓ / yutpiti palngarna- /
<glossing>	they.lifted.it.out they.put.it outside
<translation>	They lifted it out and put it aside .

<line_22>	wampa kunyjirra:: kawirlawani↓ /
<glossing>	later we.waited it.got.cold
<translation>	We waited until it got cold .

<line_23>	kajkajjirra:: thikiyikiyirra kajkajjirra:↓ / wili↓ /
<glossing>	we.chopped.it.up little.pieces-ALL we.chopped.it.up _
<translation>	We chopped it up . We chopped it to little pieces .

<line_24>	thikiyikirni pakiwirri↓ /
<glossing>	_-SEQ they.lay
<translation>	Now they lay in little pieces .

<line_25>	ngapjirra↑ / ngapjirra:: wili↓ /
<glossing>	_ _ _
<translation>	We ate and ate , and stopped .

<line_26>	yapja mikanyali pakiyi- /
<glossing>	some like.that-REP it.lay
<translation>	Some still remained .

<line_27>	niyinhingi warangjirri:↓ / wampa ngapjirra niyaji walwarrangka↓ /
<glossing>	then we.sat later/still we.ate.it this crocodile
<translation>	Then we sat , still we were eating the crocodile .

<line_28>	walwarrangka ngapjirra: wili↓ / kiripjiti↓ /
<glossing>	_ _ _ we.finished.it
<translation>	We ate the crocodile , and finished it up .

<line_29>	mikawinmingarrakiyi thirru jukpanmawu↑ / lilingku niyi- / ngaarri↓ /
<glossing>	they.said-to.me kangaroo we'll.hunt.roos to.the.west that rock
<translation>	They said to me " Lets go hunting roos to the west , at that hill " .
<comment>	juk- refers to a method of hunting kangaroos in which the animal is chased towards a group of hunters hiding and waiting with spears .

<line_30>	yuwu↑ /
<glossing>	yes
<translation>	" Yes " ( I replied )

<line_31>	jinali mirnmirtjirra:: wili↓ / pinyitiyirra↓ /
<glossing>	spear we.tied.it _ hard-ALL
<translation>	We tied up spears , tightly .

<line_32>	wijjirra: japirri↓ /
<glossing>	we.rubbed.it sharp
<translation>	We rubbed them sharp .

<line_33>	wijjirra wili jaap-- / ngurntungurnu ... japirri↓ / wijjirra: wili↓ /
<glossing>	we.rubbed.it _ _ what's.it.called sharp _ _
<translation>	We rubbed them sh ... what's it called ? Sharp . We rubbed them .
<comment>	The speaker almost said jaapala ( Kriol , from English ' sharp ' ) in the first tone unit , but quickly corrected himself .

<line_34>	lilingku↑ / jukjinmirri niyi- / lilingku ngaarri↑ / marliwa ngaarri jurlku↓
<glossing>	to.west we.hunted.it that to.west rock [name] _ round
<translation>	We hunted them in the west at that hill , Marliwa , the round hill .

<line_35>	nginyjingka jurrawawu↑ / mikayinminhi karntiwirringka↓ /
<glossing>	you-ERG you'll.chase.them we.told.him two-ERG
<translation>	" You chase them " , we two told him .

